PublishDate,Sentence,Score
2018-04-17T08:09:00.000Z,面板雙虎之一群創 (3481) 無預警宣布不舉辦線上法說會，但仍會提供書面資料給法人、媒體，引發展望不佳疑慮，衝擊今日面板族群走弱，包括友達 (2409) 、華映 (2475) 、彩晶( 6116)皆墨，也成為大盤拖油瓶之一。,-1
2018-04-17T07:14:00.000Z,群創 (3481) 無預警宣布不舉辦線上法說會，引發展望不佳疑慮，衝擊今日面板族群走弱，面板雙虎跌幅逼近4%、華映 (2475) 跌幅更高達7%。,-4
2018-04-18T06:34:00.000Z,  電子各族群方面，面板的友達 (2409) 、群創 (3481) 走穩，中止跌勢。,-2
2018-04-18T02:36:00.000Z,  電子各族群方面，面板的友達 (2409) 、群創 (3481) 走揚，中止跌勢。,-1
2018-04-20T10:37:00.000Z,觀察外資及陸資賣超前10名其他個股，蘋果股價重挫拖累相關概念股遭大賣，其中鴻海 (2317) 賣超7708張，可成 (2474) 賣超5887張，緯創 (3231) 賣超4879張；面板廠群創 (3481) 、記憶體族群的南亞科 (2408) 及華邦電 (2344) 、被動元件族群的華新科 (2492) 也遭殃，分別賣超1.1萬張、7047張、4675張、4987張。,-5
2018-04-20T07:07:00.000Z,科技股因智慧手機需求下滑走弱，拖累周四美股四大指數齊收黑，台股今日在台積電 (2330) 下修財測震撼彈衝擊股價爆量下殺6%，使大立光 (3008) 、鴻海 (2317) 、聯發科 (2454) 、友達 (2409) 、群創 (3481) 等權值股臉色鐵青，拖累指數開低走低，盤中重挫近200點，連續跌破10900點、10800點、短中期均線及半年線，終場加權指數下跌191.84點為10779.38點，收在今日相對低點，成交值放大至1553.36億元；周線翻黑，本周下挫186.01點。,-13
2018-04-20T07:07:00.000Z,　台積電法說跌破市場眼鏡，衝擊股價爆量重挫6%，拖累聯電 (2303) 、世界先進 (5347) 等晶圓代工廠跟進走弱，股王大立光 (3008) 展開3400元保衛戰，鴻海 (2317) 亦下挫1%，權值股聯發科 (2454) 、可成 (2474) 、南亞科 (2408) 、面板雙虎友達 (2409) 、群創 (3481) 全面走軟；盤面上以中小型題材股扮演撐盤要角，被動元件股大毅 (2478) 及IC設計股威盛 (2388) 、敦泰 (3545) 和蘋果PCB供應商華通 (2313) 、燿華 (2367) 及嘉聯益 (6153) 逆勢走高。,-3
2018-04-20T06:04:00.000Z,蘋果iPhone銷量前景令人擔憂，使得相關權值股全數走跌，其餘權值股亦是跌多漲少，聯發科 (2454) 、友達 (2409) 、群創 (3481) 全數走跌，反倒是非蘋陣營的宏達電 (2498) 股價逆勢抗跌小漲。,-2
2018-04-26T07:12:00.000Z,　權值股今日漲跌互見，股王大立光 (3008) 一度攻回3300元，台積電 (2330) 持續探低，鴻海 (2317) 止跌回穩守住80元，聯發科 (2454) 法說前股價下修，面板雙虎友達 (2409) 、群創 (3481) 亦弱勢震盪；被動元件股重回主流，龍頭股國巨 (2327) 駁斥行賄日商村田，股價止跌反彈，華新科 (2492) 、禾伸堂 (3062) 同步勁揚；風電族群上緯 (3708) 、台船 (2208) 、世紀鋼 (9958) 、新光鋼 (2031) 與中鋼構 (2013) 與生醫股和康生 (1783) 、科妍 (1786) 、晟德 (4123) 同步打落跌停為盤面弱勢指標；塑化股在台塑 (1301) 領軍下相對有撐，二線股國喬 (1312) 強彈4%創下逾10年新高價。,-2
2018-04-26T06:07:00.000Z,  權值股今日漲跌互見，未發揮明顯穩盤作用，股王大立光 (3008) 反彈小漲，在3300元附近進行攻防，台積電 (2330) 弱勢震盪，鴻海 (2317) 則是守住80元大關小漲震盪，聯發科 (2454) 法說前股價保守，一度下跌3.5%，最低觸抵321元，面板雙虎友達 (2409) 、群創 (3481) 亦弱勢震盪，靜待下午友達即將登場的法說會。,0
2018-04-26T02:29:00.000Z,  大型權值股今表現普遍溫吞，股王大立光 (3008) 跳上3300元大關，漲幅一度達1.5%，台積電 (2330) 、聯電 (2303) 壓回震盪，台積電更跌破昨日低點，鴻海 (2317) 則在漲幅0.5%~1%附近狹幅跳動，面板雙虎友達 (2409) 、群創 (3481) 聯袂走跌，持續受到賣壓調節，大陸面板廠京東方首季財報不理想，市場也相當關注友達今日下午即將登場的法人說明會，屆時將對產業做出更明確說明。,2
2018-04-27T03:22:00.000Z,群創 (3481) 來到11.25元，上漲3.21%。,1
2018-04-27T03:22:00.000Z,群創 (3481) 來到11.25元，上漲3.21%。,1
