PublishDate,Sentence,Score
2017-09-22T07:15:00.000Z,　宏達電 (2498) 出售Pixel手機成員暨專利授權給Google，交易總金額約折合新台幣330億元，可望貢獻EPS高達40元，今日跳空漲停鎖到底，帶動集團股威盛 (2388) 同步攻頂，供應鏈位速 (3508) 逆勢大漲；蘋果iPhone 8/8 Plus今日開賣，惟蘋果股價持續走跌，拖累大立光 (3008) 、台積電 (2330) 、鴻海 (2317) 、和碩 (4938) 及華通 (2313) 等蘋概股一片愁雲慘霧，光學元件股玉晶光 (3406) 、亞光 (3019) 再度轉弱雙雙大跌5%；矽晶圓族群台勝科 (3532) 受惠矽晶圓看漲，今日衝上5個月新高價，帶動合晶 (6182) 同步走高。,6
2017-09-22T06:14:00.000Z,  台股今在蘋果概股一片綠油油的情況下，僅剩少數題材股逆勢有撐，今相對抗跌族群為矽晶圓族群，主要原因為半導體矽晶圓供給依舊吃緊，預估明年8吋及12吋矽晶圓價格續揚，台勝科 (3532) 寫下近5個月新高價，合晶 (6182) 也一度上漲逾3.5%。,0
2017-09-22T03:57:00.000Z,　今天雖然有宏達電 (2498) 因為手機部門賣給Google，宏達電及威盛 (2388) 今天股價跳空漲停，但蘋果股價持續走跌，大立光 (3008) 、台積電 (2330) 、鴻海 (2317) 、和碩 (4938) 及華通 (2313) 等蘋果概念股同步走跌，大立光盤中失守5550元，昨天好不容易止跌的光學元件股今天又倒成一片，玉晶光 (3406) 、亞光 (3019) 等同步走跌，資金轉向具特定題材的個股如：凡甲 (3526) 、界霖 (5285) 、台勝科 (3532) 、合晶 (6182) 等，在群龍無首下，台股指數開低走低，盤中大跌逾100點，失守10500點，截至11點30分為止，加權股價指數為10482.1點，下跌96.34點，成交量為766.89億元；OTC指數為142.38點，下跌1.37點，成交量為265.86億元。,-3
2017-09-30T02:06:00.000Z,台勝科 (3532) 股價跌深反彈，今早站回10日線！外資近期有回補跡象，持股比已經近5成。,0
2017-09-30T02:06:00.000Z,  受惠於半導體矽晶圓產業景氣回升，台勝科上半年營收年增17%、EPS為1.01元，相較於去年同期EPS 0.48元有顯著成長，矽晶圓產業由過去幾年的供過於求轉為賣方市場，2017年上半年矽晶圓價格平均漲幅約10~20%，預計下半年季漲幅5~10%，全年估計漲幅3~4成。,7
2017-09-30T02:06:00.000Z,先前市場不時傳出矽晶圓擴廠之雜音，目前僅Sumco規畫2019年新增11萬片12吋矽晶圓產能(占市場供給2%)，預期矽晶圓多頭走勢將延續至2019年，目前市場預估台勝科今明兩年的EPS分別為2017、2018年EPS為2~3、4~5元。,1
2017-09-30T02:06:00.000Z,  台勝科為台塑 (1301) 、日商Sumco分別持有43.1%、48.3%的專業矽晶圓廠，其中Sumco為全球矽晶圓第二大供應商，挾其技術資源及台灣晶圓代工之優勢，亦成為Sumco在台之重要供應鏈，市占率約6%。,4
2017-09-30T02:06:00.000Z,  台勝科營收結構8吋wafer40%、12吋wafer60%。,0
2017-09-30T02:06:00.000Z,台勝科 (3532) 股價跌深反彈，今早站回10日線！外資近期有回補跡象，持股比已經近5成。,0
2017-09-30T02:06:00.000Z,  受惠於半導體矽晶圓產業景氣回升，台勝科上半年營收年增17%、EPS為1.01元，相較於去年同期EPS 0.48元有顯著成長，矽晶圓產業由過去幾年的供過於求轉為賣方市場，2017年上半年矽晶圓價格平均漲幅約10~20%，預計下半年季漲幅5~10%，全年估計漲幅3~4成。,7
2017-09-30T02:06:00.000Z,先前市場不時傳出矽晶圓擴廠之雜音，目前僅Sumco規畫2019年新增11萬片12吋矽晶圓產能(占市場供給2%)，預期矽晶圓多頭走勢將延續至2019年，目前市場預估台勝科今明兩年的EPS分別為2017、2018年EPS為2~3、4~5元。,1
2017-09-30T02:06:00.000Z,  台勝科為台塑 (1301) 、日商Sumco分別持有43.1%、48.3%的專業矽晶圓廠，其中Sumco為全球矽晶圓第二大供應商，挾其技術資源及台灣晶圓代工之優勢，亦成為Sumco在台之重要供應鏈，市占率約6%。,4
2017-09-30T02:06:00.000Z,  台勝科營收結構8吋wafer40%、12吋wafer60%。,0
