PublishDate,Sentence,Score
2017-03-03T07:21:00.000Z,美股下挫，亞股跟跌，台股早盤亦下跌19.54點，以9672.26點開出，隨後在主流電子族群及台積電 (2330) 、鴻海 (2317) 、大同 (2371) 、TPK-KY (3673) 、玉晶光 (3406) 、儒鴻 (1476) 等權值龍頭股紛紛走弱，加上台幣大貶逾2角的情勢下，空軍穩佔上風，大盤指數一度跌至9633.88點，摔出月線，盤面僅靠造紙類股強漲近5%及部分小型股逆漲撐盤，終場大盤指數下跌43.59點，收在9648.21點，成交值大減至840.08億元。,-4
2017-03-03T07:21:00.000Z,美股下挫，亞股跟跌，台股早盤亦下跌19.54點，以9672.26點開出，隨後在主流電子族群及台積電 (2330) 、鴻海 (2317) 、大同 (2371) 、TPK-KY (3673) 、玉晶光 (3406) 、儒鴻 (1476) 等權值龍頭股紛紛走弱，加上台幣大貶逾2角的情勢下，空軍穩佔上風，大盤指數一度跌至9633.88點，摔出月線，盤面僅靠造紙類股強漲近5%及部分小型股逆漲撐盤，終場大盤指數下跌43.59點，收在9648.21點，成交值大減至840.08億元。,-4
2017-03-20T06:57:00.000Z,投信作帳行情熱，台股擺尾翻紅守穩9900點！  儘管萬點關前，台積電 (2330) 、大立光 (3008) 、台達電 (2308) 、富邦金 (2881) 、國泰金 (2882) 等權值股歇兵，致使台股今天以低盤開出，但熱錢持續湧入，股匯市雙升的格局未變，投信季底作帳及內資力挺的中小型股再扮維繫多頭的要角，友訊 (2332) 、威剛 (3260) 等多檔個股強攻漲停板，蘋果概念股的台郡 (6269) 、鴻準 (2354) 、可成 (2474) ，以及穩懋 (3105) 、TPK-KY (3673) 、華新科 (2492) 、台勝科 (3532) 、環球晶圓 (6488) 、台燿 (6274) 、彰源 (2030) 、華建 (2530) 、精材 (3374) 及健策 (3653) 等中小型股強攻，帶動平盤下震盪的台股指數在尾盤強力拉升由黑翻紅，再創2015年4月24日以來新高。,13
2017-03-22T07:13:00.000Z,  今日以中小型具題材的電子股撐盤，TPK-KY (3673) 、晶電 (2448) 逆勢開高，法人加碼的華邦電 (2344) 亦翻紅。,2
2017-03-22T06:58:00.000Z,中小型具題材股TPK-KY (3673) 、晶電 (2448) 等強勢撐盤，網通股在財報、股利題材爆發下成多頭明燈，下午舉辦法說的台通 (8011) 領軍喊衝，仲琦 (2419) 亮燈漲停，帶動友訊 (2332) 、建漢 (3062) 等同步走揚；太陽能族群烏雲密布，新日光 (3576) 、碩禾 (3691) 聯袂下挫逾2%。,7
2017-03-22T03:24:00.000Z,股王大立光 (3008) 最低來到4685元，下跌2.59%；不過，蘋果觸控面板供應商宸鴻 (3673) 邀陸廠歐菲光入股，盤中來到98.5元，大漲逾8.83%。,-1
2017-03-22T01:55:00.000Z,  今日以中小型具題材的電子股撐盤，TPK-KY (3673) 、晶電 (2448) 逆勢開高，法人加碼的華邦電 (2344) 盤中亦翻紅。,2
2017-03-27T03:03:00.000Z,截至10時45分，加權股價指數小漲2.99點、為9905.97點、成交值新台幣405.96億元，指數早盤一度觸及10日線9877點支撐，台積電 (2330) 、大立光 (3008) 、鴻海 (2317) 3巨頭力守平盤之上，蘋果概念股包括TPK-KY (3673) 、玉晶光 (3406) 奮力上漲，維繫多頭人氣。,5
2017-03-30T06:32:00.000Z,另外 GIS-KY、TPK-KY、晶技、精元、達方、順德、嘉聯益也漲逾 1%。,1
2017-03-30T06:32:00.000Z,另外 GIS-KY、TPK-KY、晶技、精元、達方、順德、嘉聯益也漲逾 1%。,1
