PublishDate,Sentence,Score
2017-08-02T05:53:00.000Z,加權股價指數終場上漲81.98點、漲幅0.79%、收在10519.27點、成交值新台幣1217.5億元，蘋概股成為盤面焦點，除大立光外，台積電 (2330) 、鴻海 (2317) 、台郡 (6269) 、可成 (2474) 、華通 (2313) 、美律 (2439) 、GIS-KY (6456) 一片紅通通。,4
2017-08-02T02:54:00.000Z,10時50分，加權股價指數上漲63點、為10500點、成交值新台幣633億元，除了大立光衝高外，蘋概色彩濃厚的台積電 (2330) 、鴻海 (2317) 、可成 (2474) 、玉晶光 (3406) 、美律 (2439) 、台郡 (6269) 、GIS-KY (6456) 、康控-KY (4943) 表現也相對凸出，成為台股多頭焦點。,5
2017-08-02T01:17:00.000Z,外資在7月的前5大賣超名單分別為:台積電 (2330) 、友達 (2409) 、GIS-KY (6456) 、台達電 (2308) 、可成 (2474) 。,-1
2017-08-04T03:52:00.000Z,蘋果財報佳，蘋果供應鏈受矚目，光學鏡頭供應商，股王大立光 (3008) 盤中在5705元上下游走，系統組裝服務廠鴻海 (2317) 也貼近平盤價119元，晶圓代工龍頭台積電 (2330) 價位多在平盤213.5元附近，觸控面板廠宸鴻 (3673) 攻上114.5元漲停價，業成 (6456) 最高來到313元，續創掛牌以來新高。,4
2017-08-02T05:53:00.000Z,加權股價指數終場上漲81.98點、漲幅0.79%、收在10519.27點、成交值新台幣1217.5億元，蘋概股成為盤面焦點，除大立光外，台積電 (2330) 、鴻海 (2317) 、台郡 (6269) 、可成 (2474) 、華通 (2313) 、美律 (2439) 、GIS-KY (6456) 一片紅通通。,4
2017-08-02T02:54:00.000Z,10時50分，加權股價指數上漲63點、為10500點、成交值新台幣633億元，除了大立光衝高外，蘋概色彩濃厚的台積電 (2330) 、鴻海 (2317) 、可成 (2474) 、玉晶光 (3406) 、美律 (2439) 、台郡 (6269) 、GIS-KY (6456) 、康控-KY (4943) 表現也相對凸出，成為台股多頭焦點。,5
2017-08-02T01:17:00.000Z,外資在7月的前5大賣超名單分別為:台積電 (2330) 、友達 (2409) 、GIS-KY (6456) 、台達電 (2308) 、可成 (2474) 。,-1
2017-08-04T03:52:00.000Z,蘋果財報佳，蘋果供應鏈受矚目，光學鏡頭供應商，股王大立光 (3008) 盤中在5705元上下游走，系統組裝服務廠鴻海 (2317) 也貼近平盤價119元，晶圓代工龍頭台積電 (2330) 價位多在平盤213.5元附近，觸控面板廠宸鴻 (3673) 攻上114.5元漲停價，業成 (6456) 最高來到313元，續創掛牌以來新高。,4
2017-08-07T06:56:00.000Z,蘋果觸控面板供應商TPK-KY宸鴻 (3673) 奔125.5元漲停價，在法人說明會後連拉兩支漲停板；GIS-KY業成 (6456) 最高來到347元，差一檔漲停，續創掛牌以來新高價。,5
2017-08-07T02:43:00.000Z,上週爆量走揚的宸鴻TPK-KY (3673) 今天開盤登上成交量第一名，觸及漲停125.5元；另一檔觸控面板股GIS-KY (6456) 也大漲4.5%，最高330.5元。,4
2017-08-09T01:51:00.000Z,  11.GIS-KY (6456) ：H1獲利表現強勁，受3外資青睞調升目標價，早盤漲逾4%。,5
2017-08-15T07:06:00.000Z,　盤面上，蘋概股三巨頭大立光 (3008) 、台積電 (2330) 、鴻海 (2317) 扮多頭先鋒，帶動面板雙虎友達 (2409) 、群創 (3481) 以及Q2繳佳績的觸控族群GIS-KY (6456) 、TPK-KY (3673) 閃閃發光；網通股H2營運看俏，聯亞 (3081) 、眾達-KY (4977) 強勢領漲，引領合勤控 (3704) 、神準 (3558) 、智邦 (2345) 、仲琦 (2419) 、譁裕 (3419) 等聯袂勁揚。,5
2017-08-15T03:01:00.000Z,觸控面板族群Q2繳出亮麗成績單，GIS-KY (6456) 挾著鴻海集團資源，H1每股盈餘7.6元，穩居觸控面板獲利王，TPK-KY (3673) 也維持獲利表現，今日股價雙雙強攻，漲幅分別逾4.5%、3%。,6
2017-08-30T07:02:00.000Z,　電子股方面，受到iPhone8上市在即激勵蘋果股價飆高，蘋概三巨頭台積電 (2330) 、大立光 (3008) 、鴻海 (2317) 聯手喊衝，帶動GIS-KY (6456) 、和碩 (4938) 、廣達 (2382) 等維持紅盤；旺宏 (2337) 挾缺貨題材及減資行情再度爆量上攻，帶動記憶體族群華邦電 (2344) 、南亞科 (2408) 同步收高；MLCC供給持續吃緊，國巨 (2327) 及華新科 (2492) 雙雙登上歷史新高價，引領低價族群信昌電 (6173) 、凱美 (5317) 盤中同登漲停板，整體亮麗走勢成為大盤焦點。,12
2017-08-30T07:02:00.000Z,　電子股方面，受到iPhone8上市在即激勵蘋果股價飆高，蘋概三巨頭台積電 (2330) 、大立光 (3008) 、鴻海 (2317) 聯手喊衝，帶動GIS-KY (6456) 、和碩 (4938) 、廣達 (2382) 等維持紅盤；旺宏 (2337) 挾缺貨題材及減資行情再度爆量上攻，帶動記憶體族群華邦電 (2344) 、南亞科 (2408) 同步收高；MLCC供給持續吃緊，國巨 (2327) 及華新科 (2492) 雙雙登上歷史新高價，引領低價族群信昌電 (6173) 、凱美 (5317) 盤中同登漲停板，整體亮麗走勢成為大盤焦點。,12
