PublishDate,Sentence,Score
2018-01-03T07:11:00.000Z,　2018年第二個交易日，台股由台積電 (2330) 扮領漲先鋒，帶動聯電 (2303) 、聯發科 (2454) 等半導體股走高；受到12吋矽晶圓供貨吃緊影響，供應鏈環球晶 (6488) 、台勝科 (3532) 、合晶 (6182) 攜手喊衝；DRAM族群受到美光股價大漲鼓舞，南亞科 (2408) 、華邦電 (2344) 聯袂勁揚；挾漲價題材的被動元件族群續旺，國巨 (2327) 漲停飆天價，帶動華新科 (2492) 、禾伸堂 (3026) 、智寶 (2375) 同步攻頂。,12
2018-01-03T06:10:00.000Z,國巨 (2327) 集團旗下奇力新 (2456) 與美磊 (3068) 今天暫停交易，市場揣測，奇力新將與美磊進行策略合作，不排除奇力新收購美磊。,1
2018-01-03T06:10:00.000Z,國巨在市場買盤湧入帶動下，股價強攻漲停，達389元。,7
2018-01-03T06:04:00.000Z,  台股今早在台積電跳空開高，大立光 (3008) 、可成 (2474) 等蘋概股早盤續穩，以及挾漲價題材的被動元件相關族群續衝，國巨 (2327) 漲停再創新天價，華新科 (2492) 、禾伸堂 (3026) 同步攀高，以及也具漲價預期的矽晶圓股由環球晶 (6488) 領軍，合晶 (6182) 、中美晶 (5483) 同漲助陣。,9
2018-01-03T03:19:00.000Z,國巨 (2327) 集團旗下奇力新 (2456) 與美磊 (3068) 3日暫停交易，市場揣測，奇力新將與美磊進行策略合作，不排除奇力新收購美磊。,1
2018-01-03T03:19:00.000Z,國巨在市場買盤湧入帶動下，股價強攻漲停，達389元。,7
2018-01-04T07:13:00.000Z,國巨集團旗下奇力新 (2456) 宣布合併美磊 (3068) ，法人看好兩家公司合併效益，激勵股價雙雙鎖漲停，今日表現最為搶眼。,6
2018-01-03T07:11:00.000Z,　2018年第二個交易日，台股由台積電 (2330) 扮領漲先鋒，帶動聯電 (2303) 、聯發科 (2454) 等半導體股走高；受到12吋矽晶圓供貨吃緊影響，供應鏈環球晶 (6488) 、台勝科 (3532) 、合晶 (6182) 攜手喊衝；DRAM族群受到美光股價大漲鼓舞，南亞科 (2408) 、華邦電 (2344) 聯袂勁揚；挾漲價題材的被動元件族群續旺，國巨 (2327) 漲停飆天價，帶動華新科 (2492) 、禾伸堂 (3026) 、智寶 (2375) 同步攻頂。,12
2018-01-03T06:10:00.000Z,國巨 (2327) 集團旗下奇力新 (2456) 與美磊 (3068) 今天暫停交易，市場揣測，奇力新將與美磊進行策略合作，不排除奇力新收購美磊。,1
2018-01-03T06:10:00.000Z,國巨在市場買盤湧入帶動下，股價強攻漲停，達389元。,7
