PublishDate,Sentence,Score
2017-01-05T03:20:00.000Z,統一證券表示，台股4日維持短線反彈格局，但上檔累計套牢賣壓不易有效消化。,-2
2017-01-10T07:05:00.000Z,台股今日由股王大立光當家，配合國泰金、富邦金與兆豐金等金融族群趨堅，化解台塑四寶、統一等權值股拉回壓力，指數終場力守5日線之上。,2
2017-01-13T07:03:00.000Z,反觀食品股有年節銷售行情，老大哥統一 (1216) 上漲逾1%，聯華食 (1231) 創高後守住，大飲 (1213) 、卜蜂 (1215) 、黑松 (1234) 攜手齊揚，類股指數收漲0.6%。,1
2017-01-13T04:39:00.000Z,統一全球新科技基金經理人林子欽表示，由兩大廠的法說談話內容研判，科技產業例行的首季存貨小調整，幅度會有多少仍需謹慎看待，需求則有待進一步觀察。,2
2017-01-25T07:37:00.000Z,  美系外資點名12檔台股在年後布局，包括：台積電 (2330) 、大立光 (3008) 、台化 (1326) 、中信金 (2891) 、統一超 (2912) 、億豐 (8464) 、緯創 (3231) 、川湖 (2059) 、寶雅 (5904) 、樺漢 (6414) 、百和 (9938) 、日友 (8341) 。,0
2017-01-25T04:21:00.000Z,（中央社記者韓婷婷台北2017年1月25日電）104年度最新上市櫃董事酬金出爐，食品業龍頭統一企業 (1216) 平均每位董事一年領取高達6266萬元，居所有上市櫃公司之冠，打敗股王大立光的4942萬及市值王台積電的4930萬元。,1
2017-01-25T04:21:00.000Z,主戰場在中國大陸的食品業龍頭統一，近幾年靠著新產品表現優異，帶動業績持續增長，前年統一賺141億元，每股盈餘（EPS）賺2.48元，提撥其中的2.75%分給董事當作酬金，平均每位董事領到3086萬元。,1
2017-01-25T04:21:00.000Z,統一提撥給董事的酬金雖然不是所有公司最高，但若加計員工酬金，則跳升至6266萬元，高居上市櫃公司之冠，酬金占公司獲利比重也提高至5.58%；統一強調董事酬金一切依章程規定，依當年度獲利定額分派。,2
2017-01-25T04:21:00.000Z,超商全家便利商店董事平均領1500萬元，雖然較上市超商龍頭統一超的2189.22萬元來得少一些，但已是上櫃公司第三高；其他如譜瑞-KY、世界先進、中光電等都有千萬元以上水準。,1
2017-01-25T00:34:00.000Z,台股猴年封關日，台積電 （2330） 出現近1.7萬張鉅額交易，總金額逾31億元，另可成 （2474） 、統一超 （2912） 及大立光 （3008） 等大型權值股，也各有1.6～8億元不等的鉅額交易，使得昨（24）日鉅額交易暴增至近51億元，改寫近期罕見新高。,2
2017-01-25T00:34:00.000Z,"　據統計，昨天鉅額交易的個股包括：統一、儒鴻、正新、台達電、日月光、台積電、瑞昱、可成、玉山金、統一超、大立光、台灣大及遠傳等，合計鉅額交易張數達30,428張，總金額50.84億元。",0
2017-01-25T07:37:00.000Z,  美系外資點名12檔台股在年後布局，包括：台積電 (2330) 、大立光 (3008) 、台化 (1326) 、中信金 (2891) 、統一超 (2912) 、億豐 (8464) 、緯創 (3231) 、川湖 (2059) 、寶雅 (5904) 、樺漢 (6414) 、百和 (9938) 、日友 (8341) 。,0
2017-01-25T04:21:00.000Z,（中央社記者韓婷婷台北2017年1月25日電）104年度最新上市櫃董事酬金出爐，食品業龍頭統一企業 (1216) 平均每位董事一年領取高達6266萬元，居所有上市櫃公司之冠，打敗股王大立光的4942萬及市值王台積電的4930萬元。,1
2017-01-25T04:21:00.000Z,主戰場在中國大陸的食品業龍頭統一，近幾年靠著新產品表現優異，帶動業績持續增長，前年統一賺141億元，每股盈餘（EPS）賺2.48元，提撥其中的2.75%分給董事當作酬金，平均每位董事領到3086萬元。,1
2017-01-25T04:21:00.000Z,統一提撥給董事的酬金雖然不是所有公司最高，但若加計員工酬金，則跳升至6266萬元，高居上市櫃公司之冠，酬金占公司獲利比重也提高至5.58%；統一強調董事酬金一切依章程規定，依當年度獲利定額分派。,2
2017-01-25T04:21:00.000Z,超商全家便利商店董事平均領1500萬元，雖然較上市超商龍頭統一超的2189.22萬元來得少一些，但已是上櫃公司第三高；其他如譜瑞-KY、世界先進、中光電等都有千萬元以上水準。,1
2017-01-25T00:34:00.000Z,台股猴年封關日，台積電 （2330） 出現近1.7萬張鉅額交易，總金額逾31億元，另可成 （2474） 、統一超 （2912） 及大立光 （3008） 等大型權值股，也各有1.6～8億元不等的鉅額交易，使得昨（24）日鉅額交易暴增至近51億元，改寫近期罕見新高。,2
2017-01-25T00:34:00.000Z,"　據統計，昨天鉅額交易的個股包括：統一、儒鴻、正新、台達電、日月光、台積電、瑞昱、可成、玉山金、統一超、大立光、台灣大及遠傳等，合計鉅額交易張數達30,428張，總金額50.84億元。",0
