PublishDate,Sentence,Score
2017-05-31T07:27:00.000Z,台股加權指數今天開低走高後翻黑，終場收在10040.72點，下跌61.23點，跌幅0.61%，成交值放大到新台幣1225.79億元。,-3
2017-05-31T07:05:00.000Z,端午連假期間國際股市持穩，台股受制於MSCI調降權重於盤後生效，在蘋果三劍客台積電 (2330) 、鴻海 (2317) 與大立光 (3008) 等表現疲軟，加上金融股龍頭富邦金 (2881) 、國泰金 (2882) 弱勢演出，今日開低震盪走低，獲利了結賣壓湧出，盤中一度下探10025.88點，萬點大關岌岌可危，最後一盤爆出379億元大量，終場加權指數下跌61.23點為10040.72點，失守5日線，成交值放大至1225.8億元；月線上漲168.72點，呈現連6紅走勢。,-4
2017-05-31T06:34:00.000Z,台股端午節長假後開市，MSCI調降台股權重今日盤後生效，台積電 (2330) 開低走低，金融股指數收黑，台股收跌61點至10040點，最後一盤爆出379億元大量，全天量能增至1225億元。,-4
2017-05-31T06:34:00.000Z,  MSCI調降台股權重今(31)日盤後生效，尾盤有大換股動作；最後一盤爆出379億元大量，全天量能增至1225億元。,1
2017-05-31T06:15:00.000Z,台股終場下跌61.23點，以10040.7點作收，成交值新台幣1225.79億元。,-2
2017-05-31T07:27:00.000Z,台股加權指數今天開低走高後翻黑，終場收在10040.72點，下跌61.23點，跌幅0.61%，成交值放大到新台幣1225.79億元。,-3
2017-05-31T07:05:00.000Z,端午連假期間國際股市持穩，台股受制於MSCI調降權重於盤後生效，在蘋果三劍客台積電 (2330) 、鴻海 (2317) 與大立光 (3008) 等表現疲軟，加上金融股龍頭富邦金 (2881) 、國泰金 (2882) 弱勢演出，今日開低震盪走低，獲利了結賣壓湧出，盤中一度下探10025.88點，萬點大關岌岌可危，最後一盤爆出379億元大量，終場加權指數下跌61.23點為10040.72點，失守5日線，成交值放大至1225.8億元；月線上漲168.72點，呈現連6紅走勢。,-4
2017-05-31T06:34:00.000Z,台股端午節長假後開市，MSCI調降台股權重今日盤後生效，台積電 (2330) 開低走低，金融股指數收黑，台股收跌61點至10040點，最後一盤爆出379億元大量，全天量能增至1225億元。,-4
2017-05-31T06:34:00.000Z,  MSCI調降台股權重今(31)日盤後生效，尾盤有大換股動作；最後一盤爆出379億元大量，全天量能增至1225億元。,1
2017-05-31T06:15:00.000Z,台股終場下跌61.23點，以10040.7點作收，成交值新台幣1225.79億元。,-2
