PublishDate,Sentence,Score
2017-01-04T10:17:00.000Z,成交量前10名個股依次為：群創 (3481) 、元大滬深300正2（00637L）、友達 (2409) 、彩晶 (6116) 、富邦上証正2（00633L）、台積電 (2330) 、鴻海 (2317) 、光鋐 (4956) 、元大台灣50反1（00632R）、元大S&P原油正2（00672L）。,0
2017-01-05T08:16:00.000Z,成交量前10名個股依次為：群創 (3481) 、友達 (2409) 、元大滬深300正2（00637L）、彩晶 (6116) 、元大台灣50反1（00632R）、晶電 (2448) 、富邦上証正2（00633L）、永豐餘 (1907) 、榮成 (1909) 、中信金 (2891) 。,0
2017-01-06T08:26:00.000Z,成交量前10名個股依次為：群創 (3481) 、友達 (2409) 、彩晶 (6116) 、榮成 (1909) 、元大滬深300正2（00637L）、聯電 (2303) 、永豐餘 (1907) 、正隆 (1904) 、元大台灣50反1（00632R）、旺宏 (2337) 。,0
2017-01-09T11:48:00.000Z,成交量前10名個股依次為：彩晶 (6116) 、友達 (2409) 、群創 (3481) 、榮成 (1909) 、元大滬深300正2（00637L）、元大台灣50反1（00632R）、聯電 (2303) 、新光金 (2888) 、中石化 (1314) 、台積電 (2330) 。,0
2017-01-10T08:52:00.000Z,成交量前10名個股依次為：大同 (2371) 、群創 (3481) 、友達 (2409) 、彩晶 (6116) 、榮成 (1909) 、元大滬深300正2（00637L）、至上 (8112) 、元大S&P原油正2（00672L）、廣宇 (2328) 、旺宏 (2337) 。,1
2017-01-11T11:24:00.000Z,成交量前10名個股依次為：大同 (2371) 、元大滬深300正2（00637L）、緯創 (3231) 、新光金 (2888) 、友達 (2409) 、群創 (3481) 、陽明 (2609) 、長榮 (2603) 、彩晶 (6116) 、富邦上証正2（00633L）。,0
2017-01-12T10:26:00.000Z,成交量前10名個股依次為：大同 (2371) 、群創 (3481) 、友達 (2409) 、元大台灣50反1（00632R）、彩晶 (6116) 、元大金 (2885) 、台積電 (2330) 、新光金 (2888) 、中石化 (1314) 、元大滬深300正2（00637L）。,0
2017-01-13T09:56:00.000Z,成交量前10名個股依次為：友達 (2409) 、大同 (2371) 、群創 (3481) 、元大滬深300正2（00637L）、旺宏 (2337) 、台積電 (2330) 、緯創 (3231) 、彩晶 (6116) 、和鑫 (3049) 、中壽 (2823) 。,0
2017-01-17T11:32:00.000Z,成交量前10名個股依次為：大同 (2371) 、華邦電 (2344) 、元大滬深300正2（00637L）、榮成 (1909) 、富邦上証正2（00633L）、宏?? (2353) 、彩晶 (6116) 、緯創 (3231) 、群創 (3481) 、友達 (2409) 。,0
2017-01-17T11:32:00.000Z,成交值前10名個股依次為：大立光 (3008) 、台積電 (2330) 、玉晶光 (3406) 、大同 (2371) 、富邦上証正2（00633L）、鴻海 (2317) 、榮成 (1909) 、元大滬深300正2（00637L）、國泰金 (2882) 、華邦電 (2344) 。,0
2017-01-18T10:56:00.000Z,成交量前10名個股依次為：群創 (3481) 、大同 (2371) 、華邦電 (2344) 、友達 (2409) 、元大滬深300正2（00637L）、彩晶 (6116) 、榮成 (1909) 、亞光 (3019) 、富邦上証正2（00633L）、玉晶光 (3406) 。,0
2017-01-19T10:42:00.000Z,成交量前10名個股依次為：大同 (2371) 、群創 (3481) 、彩晶 (6116) 、華邦電 (2344) 、中信金 (2891) 、友達 (2409) 、玉晶光 (3406) 、元大滬深300正2（00637L）、華晶科 (3059) 、亞光 (3019) 。,0
2017-01-20T11:43:00.000Z,成交量前10名個股依次為：華邦電 (2344) 、群創 (3481) 、大同 (2371) 、中石化 (1314) 、友達 (2409) 、榮成 (1909) 、彩晶 (6116) 、元大滬深300正2（00637L）、華通 (2313) 、新光金 (2888) 。,0
2017-01-23T10:27:00.000Z,成交量前10名個股依次為：華邦電 (2344) 、大同 (2371) 、彩晶 (6116) 、元大台灣50反1（00632R）、群創 (3481) 、元大滬深300正2（00637L）、友達 (2409) 、台積電 (2330) 、榮成 (1909) 、中信金 (2891) 。,0
