PublishDate,Sentence
2019-11-26T02:15:20.000Z,"
7.聯電 (2303) ：5G題材護身，無懼昨遭外資倒貨賣超30052張，早盤股價仍續漲近1.5%。"
2019-11-26T02:15:00.000Z, 7.聯電 (2303) ：5G題材護身，無懼昨遭外資倒貨賣超30052張，早盤股價仍續漲近1.5%。
2019-12-03T07:03:00.000Z,旺宏 (2337) 本季雖整體營收可能比上季新高略減，但NOR Flash及SLC NAND Flash市場不淡，產品報價看穩支撐獲利，吸引外資連13日買超共計達110052張，投信法人也連5日買超共計14635張，股價續漲，以35.85元突破前波高點，更創下今年新高。
2019-12-03T07:03:00.000Z,旺宏 (2337) 本季雖整體營收可能比上季新高略減，但NOR Flash及SLC NAND Flash市場不淡，產品報價看穩支撐獲利，吸引外資連13日買超共計達110052張，投信法人也連5日買超共計14635張，股價續漲，以35.85元突破前波高點，更創下今年新高。
2020-08-02T01:03:46.000Z,致勝的關鍵在於基金選股靈活，較早掌握各產業優勢，例如世芯-KY、南電、美利達，是績效居冠的野村優質基金前三大持股，績效高達80％的富邦科技，則以祥碩、欣興、譜瑞-KY為前三大持股，台積電持股排名第七，僅3.88％。
2020-08-02T01:03:46.000Z,致勝的關鍵在於基金選股靈活，較早掌握各產業優勢，例如世芯-KY、南電、美利達，是績效居冠的野村優質基金前三大持股，績效高達80％的富邦科技，則以祥碩、欣興、譜瑞-KY為前三大持股，台積電持股排名第七，僅3.88％。
2020-11-05T04:04:58.000Z,盤中零股開放第一週，台積電 (2330-TW) 成交金額以逾 15 億元奪冠；然而富邦科技 (0052-TW) ETF 經理人呂其倫提醒，相較買 ETF，盤中零股交易仍有隱藏眉角需要注意，買賣零股與一般股票不同，流動性跟成交價未必如意，而 ETF 有造市商維護，買多買少都有流動性。
2020-11-05T04:04:58.000Z,"
目前台股 ETF 中，富邦科技 ETF 對台積電持股高達 7 成，第二、三大持股分別為聯發科、聯電，比起單押一檔台積電，又多了一些分散，可說是一網打盡台灣科技股菁英。"
2021-01-21T08:25:27.000Z,台股漲翻天，有投資台積電的 ETF 人氣跟著飆高，漲幅也完勝大盤，其中，持有台積電權重占比高達 74% 的富邦科技 ETF(0052-TW) 今年以來已強 23.82%，是波段漲幅唯一超過兩成的台積電概念 ETF，以今天來說，所有上市櫃 ETF 漲幅前 10 名的 ETF 幾乎都是正向二倍的 ETF，但富邦科技 ETF 受惠護國神山強漲，硬是以上漲 4.44% 衝進漲幅第 6 名，表現驚人。
2021-01-21T08:25:27.000Z,值得一提的還有，今天所有上市櫃 ETF 漲幅前 10 大的 ETF 中，除了富邦科技 ETF 是原型 ETF，聚焦美國尖牙股的統一 FANG+ETF(00757-TW) 也以上漲 4.23%、突圍擠進漲幅第 8 名，主樣是成份股網飛發布超越預期的亮麗財報，昨晚大漲逾 16%，谷歌與阿里巴巴漲幅也逾 5%，拉抬尖牙股 ETF 也強強滾。
2021-02-17T07:53:13.000Z,富邦科技(0052)ETF經理人楊貽甯表示，與其盤中買台積電的零股，不如選擇成分股有超過7成是台積電的富邦科技ETF(0052)，與台積電每股高達600元相較，除了入手價十分親民之外，最重要的是ETF有造市商維護，買多買少都有流動性，要定期定額投資也非常方便，想要投資台積電，選擇有「小台積」之稱的富邦科技ETF(0052)應該對小資族更有利。
