PublishDate,Sentence
2017-03-23T23:51:00.000Z,日盛證券股份有限公司等14家發行人於106年3月23日分別向臺灣證券交易所提出以富邦金融控股股份有限公司普通股股票等為標的之80檔權證發行之申請，其中2家發行人增額發行4檔權證，經審核後尚符合規定，將發給同意函。
2017-03-23T23:51:00.000Z,日盛證券股份有限公司等14家發行人於106年3月23日分別向臺灣證券交易所提出以富邦金融控股股份有限公司普通股股票等為標的之80檔權證發行之申請，其中2家發行人增額發行4檔權證，經審核後尚符合規定，將發給同意函。
2017-05-24T07:00:00.000Z,川普公布預算案符合預期，周二美股三大指數收紅，台股延續昨日強攻萬點態勢，今日多頭再接再厲，由鴻海 (2317) 集團點火，配合汽車、光觀、食品、鋼鐵等傳產股助攻，帶動指數開高走高，盤中一度攻抵10059.74點，超越前波高點10058點，終場加權指數上漲36.58點為10044.42點，續創17年來新高，成交值縮為793.3億元。
2017-05-24T07:00:00.000Z,台股在端節長假前夕送出大禮，今日由高價小型股扮攻堅主軸，搭配台塑化、廣達 (2382) 與聯發科等權值股穩盤，盤中高點10059.74點與收盤指數10044.42點，雙創近17年來新高水準，惟單日成交值僅793.3億元，呈現價量背離窘境。
2017-05-24T06:20:00.000Z,（中央社記者張建中台北2017年5月24日電）台股持續走高，盤中一度突破16日創下的10058.59點高點，達10059.74點，刷新17年來新高，只是終場漲幅縮小，收漲36.58點；其中，以汽車類股表現最強。
2018-03-14T03:00:00.000Z,截至10時40分，加權股價指數下跌35.83點、為10059.80點、成交值新台幣586.90億元，電子權值股包括台積電 (2330) 、鴻海 (2317) 在外資調節下走跌，金融、傳產順勢接棒，原物料族群包括二線塑化、二線鋼鐵挺身而出。
2020-12-23T10:14:26.000Z,同業的南韓三星電子 (005930-KR)，近來也計畫在美國擴張生產能力，目前也似乎打算在德州擴廠。
2021-07-26T23:49:18.000Z,英特爾(Intel，美股代碼INTC)週一宣布，旗下工廠將開始為高通(美股代碼QCOM)製造晶片，並制定擴大公司代工業務的路線圖，以便在2025年前趕上台積電(2330)和三星電子(韓股代碼005930)等競爭對手。
2021-08-03T02:27:00.000Z,MoneyDJ XQ全球贏家系統報價顯示，今年截至週一，三星電子(005930.KS)股價累計挫跌2.10%。
2021-08-03T02:27:00.000Z,MoneyDJ XQ全球贏家系統報價顯示，今年截至週一，三星電子(005930.KS)股價累計挫跌2.10%。
2021-12-16T00:47:37.000Z, 位於馬薩諸塞州比爾裡卡的Entegris為台積電和三星電子(韓股代碼005930)等主要的晶片製造商提供材料。
