PublishDate,Sentence
2017-01-09T11:48:00.000Z,產業別指數方面，漲幅以造紙類指數上漲14.43%為最大，跌幅以油電燃氣類指數下跌2.53%為最大，未含金融類指數上漲103.90點，漲幅約為1.33%，未含電子類指數上漲109.05點，漲幅約為0.83%，未含金融電子類指數上漲87.06點，漲幅約為0.77%。
2017-01-23T10:27:00.000Z,產業別指數方面，漲幅以造紙類指數上漲6.96%為最大，跌幅以油電燃氣類指數下跌3.55%為最大，未含金融類指數下跌27.07點，跌幅約為0.34%，未含電子類指數下跌146.24點，跌幅約為1.10%，未含金融電子類指數下跌104.65點，跌幅約為0.91%。
2017-01-24T10:34:00.000Z,產業別指數方面，漲幅以觀光類指數上漲3.44%為最大，跌幅以食品類指數下跌0.47%為最大，未含金融類指數上漲106.13點，漲幅約為1.34%，未含電子類指數上漲140.37點，漲幅約為1.07%，未含金融電子類指數上漲141.22點，漲幅約為1.25%。
2017-01-24T10:34:00.000Z,產業別指數方面，漲幅以觀光類指數上漲3.44%為最大，跌幅以食品類指數下跌0.47%為最大，未含金融類指數上漲106.13點，漲幅約為1.34%，未含電子類指數上漲140.37點，漲幅約為1.07%，未含金融電子類指數上漲141.22點，漲幅約為1.25%。
2017-02-08T01:15:00.000Z,MoneyDJ新聞 2017-02-08 09:15:00 記者 郭妍希 報導中國智慧機廠來勢洶洶，陸廠OPPO去年第四季出貨量市佔率更奪下亞太冠軍，將三星電子(Samsung Electronics)和蘋果(Apple Inc.)拋在後頭。
2017-03-22T02:14:00.000Z,英特爾、美光於2015年7月29日宣布開發出新世代記憶體技術「3D Xpoint」，儲存的資料比DRAM高出十倍，讀寫速度與耐受度更是NAND型快閃記憶體的1千倍之多，如此革新的技術讓三星電子(Samsung Electronics Co.)、SK Hynix大為緊張。
2017-06-23T11:12:00.000Z,其中，台積電發行市值將減少約新台幣1815億元，影響程度最大；受影響指數幅度較高者分別是加權股價指數減少約62.7點、未含金融保險股指數減少約61.1點、電子類指數減少約4.6點、機電類指數減少約25.3點、半導體類指數減少約3.5點。
2017-07-17T03:41:00.000Z,據了解兩家韓廠是Interflex和Youngpoong Electronics。
2017-07-28T04:46:00.000Z,MoneyDJ新聞 2017-07-28 12:46:37 記者 郭妍希 報導三星電子(Samsung Electronics)今年第2季繳出亮眼成績單，營業利益創下歷史高、一口氣超越蘋果(Apple Inc.)。
2017-07-31T05:13:00.000Z,"MoneyDJ新聞 2017-07-31 13:13:14 記者 蔡承啟 報導微控制器(MCU)巨擘瑞薩電子(Renesas Electronics)28於日股盤後公布上季(2017年4-6月)財報：因車用需求夯，提振合併營收較去年同期大增30.4%至1,981億日圓、合併營益成長1.2%至188億日圓、合併純益飆增171.3%至271億日圓。"
