PublishDate,Sentence
2017-01-04T06:13:00.000Z,日本網站Gadget通信4日報導，根據來自中國的消息顯示，三星可摺疊智慧手機將以「Galaxy X」的名稱於今年Q3-Q4期間開賣。
2017-01-04T06:13:00.000Z,Gadget通信引述韓媒ETNews去年12月8日的報導指出，三星正在研發2款摺疊式智慧手機產品，其中一款為使用2片平面面板、可像書本一樣對折的「雙螢幕」智慧手機；一款為使用一片可撓式OLED面板、面板本身可進行摺疊的「摺疊式」智慧手機。
2017-01-04T06:13:00.000Z,ETNews指出，三星會在2017年初期先行推出「雙螢幕」智慧機、藉此測試市場反應，因此預估會和Galaxy Round一樣、僅少量生產，之後才會推出「摺疊式」智慧手機產品。
2017-01-04T06:13:00.000Z,三星之前也採取過類似作法，替曲面螢幕機種鋪路。
2017-01-04T06:13:00.000Z,2013年三星發布「Galaxy Round」弧形智慧機，採少量生產，試驗反應。
2017-01-04T06:13:00.000Z,專利文件說明相當詳盡，比以往曝光文件都更為清楚，暗示三星研發過程或許已經進入最後階段。
2017-01-04T06:13:00.000Z,日本總和情報網站Gadget速報去年5月14日轉述SamMobile的報導指出，三星2017年總計將推出5款旗艦智慧手機產品，除了Galaxy S8系列和Galaxy Note系列新機之外，預估將還推出可摺疊式智慧手機產品Galaxy X。
2017-01-05T04:50:00.000Z,過去十多年來，發表CES主題演說的重量級人物包括微軟兩位執行長比爾蓋茲(Bill Gates)、Steve Ballmer以及英特爾(Intel)、三星(Samsung)、高通(Qualcomm)等重量級廠商。
2017-01-09T05:51:00.000Z,BMW自駕部資深副總Elmar Frickenstein表示，BMW、英特爾以及Delphi希望在2021年以前創造出標準化自駕系統，藉此降低成本並加快開發、普及化速度。
2017-01-11T00:36:00.000Z,"蘋果(Apple)盛傳會在今年(2017年)問世的iPhone上開始採用OLED面板，而三星計畫擴增越南OLED面板產能是為了滿足iPhone需求？華爾街日報(WSJ)去年11月28日報導，知情人士透露，蘋果初期大部分OLED面板將仰賴三星供應，不過蘋果已要求LG Display(LGD)、Japan Display Inc(JDI)和夏普(Sharp)擴增產能，以便在2018年供應OLED面板給蘋果；其中一位知情人士指出，夏普為滿足蘋果OLED需求、恐需砸下50億美元(約5,600億日圓)進行投資。"
