PublishDate,Sentence,Score
2018-07-02T07:12:00.000Z,台股早盤延續上周五強彈氣勢，在被動元件族群華新科 (2492) 、奇力新 (2456) 、信昌電 (6173) 、國巨 (2327) 攜手領軍，以及股王大立光 (3008) 、聯電 (2303) 同步點火下，指數一度強攻至10886點站上季線，惟矽晶圓族群環球晶 (6488) 、台勝科 (3532) 遭空頭狙擊、台積電 (2330) 變臉翻黑，以及金融及傳產股聯袂走跌，拖累指數由紅翻黑，尾盤更遭大單賣出壓低指數，終場加權指數下跌58.97點為10777.94點，10800點及季線大關得而復失，成交值為1425.81億元。,-1
2018-07-02T06:02:00.000Z,蘋概股三巨頭漲跌互見，台積電 (2330) 盤中翻黑，終場下跌2.5元，收在214元，跌幅逾1%，大立光 (3008) 上漲70元，收4560元，漲幅逾1.5%，鴻海 (2317) 下跌2.2元，收81元，跌幅2.64%。,-2
2018-07-02T03:41:00.000Z,內資強攻，台股一度收復季線！美股連兩天反彈，台股也延續上周五強勢大漲180點長紅氣勢，在6月合併營收可望持續有亮眼表現的被動元件—華新科 (2492) 、奇力新 (2456) 、信昌電 (6173) 、國巨 (2327) ，以及股王大立光 (3008) 、聯電 (2303) 及台積電 (2330) 領軍下，台股指數以紅盤開出，更一度強攻至10886點，站上季線，不過矽晶圓的環球晶 (6488) 、台勝科 (3532) 、鴻海 (2317) 等走弱，且中場過後，台積電壓回平盤，金融及傳產類股走跌，加上亞股普遍拉回，拖累台股指數由紅翻黑，季線再度失守，截至11點20分為止，加權股價指數為10829.46點，下跌7.45點，成交量為855.45億元；OTC指數為153.87點，上漲0.34點，成交量為233.91億元。,3
2018-07-02T03:14:00.000Z,蘋概股三巨頭漲跌互見，台積電 (2330) 盤中上漲1元，至217.5元，漲幅0.46%，大立光 (3008) 上漲100元，至4590元，漲幅逾2.23%，鴻海 (2317) 下跌0.9元，至82.3元，跌幅1.08%。,-1
2018-07-03T02:55:00.000Z,美股持續受到中美貿易戰影響，周一早盤走弱，但在科技類股轉強帶動下，四大指數全面收紅，在美股收高帶動，台股開盤走高，一度觸及季線，但在大立光 (3008) 、鴻海 (2317) 及壽險金控股翻黑，指數壓回到平盤附近，預估成交金額約1600億元。,3
2018-07-04T07:36:00.000Z,股王大立光 (3008) 以4450元收盤，跌1.7%。,-1
2018-07-04T02:44:00.000Z,主要電子權值股走勢整理，台積電 (2330) 來到216元，小漲0.7%，鴻海 (2317) 來到81.1元，小漲0.5%，股王大立光 (3008) 來到4520元，小跌0.2%。,0
2018-07-02T07:12:00.000Z,台股早盤延續上周五強彈氣勢，在被動元件族群華新科 (2492) 、奇力新 (2456) 、信昌電 (6173) 、國巨 (2327) 攜手領軍，以及股王大立光 (3008) 、聯電 (2303) 同步點火下，指數一度強攻至10886點站上季線，惟矽晶圓族群環球晶 (6488) 、台勝科 (3532) 遭空頭狙擊、台積電 (2330) 變臉翻黑，以及金融及傳產股聯袂走跌，拖累指數由紅翻黑，尾盤更遭大單賣出壓低指數，終場加權指數下跌58.97點為10777.94點，10800點及季線大關得而復失，成交值為1425.81億元。,-1
2018-07-02T06:02:00.000Z,蘋概股三巨頭漲跌互見，台積電 (2330) 盤中翻黑，終場下跌2.5元，收在214元，跌幅逾1%，大立光 (3008) 上漲70元，收4560元，漲幅逾1.5%，鴻海 (2317) 下跌2.2元，收81元，跌幅2.64%。,-2
2018-07-02T03:41:00.000Z,內資強攻，台股一度收復季線！美股連兩天反彈，台股也延續上周五強勢大漲180點長紅氣勢，在6月合併營收可望持續有亮眼表現的被動元件—華新科 (2492) 、奇力新 (2456) 、信昌電 (6173) 、國巨 (2327) ，以及股王大立光 (3008) 、聯電 (2303) 及台積電 (2330) 領軍下，台股指數以紅盤開出，更一度強攻至10886點，站上季線，不過矽晶圓的環球晶 (6488) 、台勝科 (3532) 、鴻海 (2317) 等走弱，且中場過後，台積電壓回平盤，金融及傳產類股走跌，加上亞股普遍拉回，拖累台股指數由紅翻黑，季線再度失守，截至11點20分為止，加權股價指數為10829.46點，下跌7.45點，成交量為855.45億元；OTC指數為153.87點，上漲0.34點，成交量為233.91億元。,3
2018-07-02T03:14:00.000Z,蘋概股三巨頭漲跌互見，台積電 (2330) 盤中上漲1元，至217.5元，漲幅0.46%，大立光 (3008) 上漲100元，至4590元，漲幅逾2.23%，鴻海 (2317) 下跌0.9元，至82.3元，跌幅1.08%。,-1
2018-07-03T02:55:00.000Z,美股持續受到中美貿易戰影響，周一早盤走弱，但在科技類股轉強帶動下，四大指數全面收紅，在美股收高帶動，台股開盤走高，一度觸及季線，但在大立光 (3008) 、鴻海 (2317) 及壽險金控股翻黑，指數壓回到平盤附近，預估成交金額約1600億元。,3
2018-07-04T07:36:00.000Z,股王大立光 (3008) 以4450元收盤，跌1.7%。,-1
2018-07-04T02:44:00.000Z,主要電子權值股走勢整理，台積電 (2330) 來到216元，小漲0.7%，鴻海 (2317) 來到81.1元，小漲0.5%，股王大立光 (3008) 來到4520元，小跌0.2%。,0
2018-07-05T07:07:00.000Z,　台股三王表現方面，台積電 (2330) 、鴻海 (2317) 表現弱勢，大立光 (3008) 強守各均線之上，太陽能族群獲買盤點火呈現破底翻走勢，新日光 (3576) 亮燈漲停，帶動昇陽科 (3561) 、昱晶 (3514) 及益通 (3452) 、綠能 (3519) 等逆勢走高，被動元件三巨頭國巨 (2327) 、華新科 (2492) 、禾伸堂 (3026) 午盤過後遭空頭重擊跌勢慘重，禾伸堂 (3026) 更以跌停作收。,1
2018-07-05T07:07:00.000Z,美中貿易大戰即將開打，國際資金持續撤出新興市場，使亞股今日氣色不佳，台股在台積電、聯發科、台化等權值股帶頭下跌，及國泰金及富邦金等金融股表現弱勢，加上股后國巨尾盤由紅翻黑重挫逾5%拖累下，使台股一路跌破年線、10700點及10600點等關卡，所幸股王大立光、台塑化及中華電 (2312) 等集團股力撐盤勢，使指數終場得以守住10600點關卡。,-10
2018-07-05T02:58:00.000Z,中美貿易大戰即將開打，截至10時50分，加權股價指數下跌29.02點、為10692.85點、成交值新台幣583.4億元，量能明顯萎縮，台積電 (2330) 、鴻海 (2317) 持續有賣壓湧現，產業結構具優勢的被動元件類股表現相對強勢，股王大立光 (3008) 轉強反彈，國泰金 (2882) 、富邦金 (2881) 也為發揮撐盤力道，指數小跌，不過仍向下摜破10700點整數支撐。,0
2018-07-13T07:15:00.000Z,"中貿易戰利空逐漸淡化，周四美股四大指數收紅，那斯達克創下歷史新高！股王大立光 (3008) 法說報喜及美國參院投票通過限制川普關稅權力，激勵台股今日同步開高，盤中在三王大立光 (3008) 、台積電 (2330) 、鴻海 (2317) 同步點火，配合金融傳產龍頭股競相表態，推升指數一路上攀，一舉收復月線、季線及10,800點關卡，終場指數上漲126.16點為10864.54點，成交值放大至1413.73億元，周線翻紅大漲255.97點。",10
