PublishDate,Sentence,Score
2018-02-01T07:11:00.000Z,　蘋果明日將公布財報，蘋概股三天王台積電 (2330) 、大立光 (3008) 、鴻海 (2317) 今日率先表態，激勵光學股玉晶光 (3406) 、華晶科 (3059) 、新鉅科 (3630) 同步走揚；蘋果觸控面板供應商TPK-KY (3673) 下午舉行法說，股價開高走低收跌2.4%；記憶體族群旺宏 (2337) 法說釋出今年營運樂觀消息激勵跳空開高，帶動明日召開法說的華邦電 (2344) 向上挺進；半導體矽晶圓市場需求強勁，環球晶 (6488) 今明年接單滿載，在買盤力挺下走揚，中美晶 (5483) 亦撐在高檔。,11
2018-02-01T07:11:00.000Z,　蘋果明日將公布財報，蘋概股三天王台積電 (2330) 、大立光 (3008) 、鴻海 (2317) 今日率先表態，激勵光學股玉晶光 (3406) 、華晶科 (3059) 、新鉅科 (3630) 同步走揚；蘋果觸控面板供應商TPK-KY (3673) 下午舉行法說，股價開高走低收跌2.4%；記憶體族群旺宏 (2337) 法說釋出今年營運樂觀消息激勵跳空開高，帶動明日召開法說的華邦電 (2344) 向上挺進；半導體矽晶圓市場需求強勁，環球晶 (6488) 今明年接單滿載，在買盤力挺下走揚，中美晶 (5483) 亦撐在高檔。,11
2018-02-05T02:17:00.000Z,  25.玉晶光 (3406) ：上周五外資轉賣超，股價跌3.69%。,-2
2018-02-06T07:07:00.000Z,大立光 (3008) 1月合併營收寫下去年2月以來低點，今天盤中失守3500元關卡並打入跌停板，光學元件股也全面重挫，玉晶光 (3406) 、亞光 (3019) 、新鉅科 (3630) 皆來到跌停板。,-5
2018-02-06T07:07:00.000Z,GIS-KY (6456) 、TPK-KY (3673) 、欣興 (3037) 、國巨 (2327) 、華邦電 (2344) 、玉晶光 (3406) 、亞光 (3019) 、全新 (2455) 、台勝科 (3532) 、燿華 (2367) 、創意 (3443) 等，主要權值股以及本波強勢題材股，都觸及跌停。,-2
2018-02-06T05:44:00.000Z,　台股今日大跌行情，包含大立光、GIS-KY (6456) 、TPK-KY (3673) 、欣興 (3037) 、國巨 (2327) 、華邦電 (2344) 、玉晶光 (3406) 、亞光 (3019) 、全新 (2455) 、康控-KY (4943) 、智原 (3035) 、京鼎 (3413) 、禾伸堂 (3026) 、台勝科 (3532) 、燿華 (2367) 、創意 (3443) 等，主要權值股以及本波強勢題材股，今日盤中低點都觸及跌停。,-2
2018-02-06T02:17:00.000Z,  25.玉晶光 (3406) ：外資昨賣超391張，股價跌8%。,-2
2018-02-07T07:20:00.000Z,6日外資趁大立光重挫買進541張，大立光今盤中強彈攻漲停板，終場收3655元、漲幅6.87%，帶動玉晶光 (3406) 、台郡 (6269) 、臻鼎-KY (4958) 、穩懋 (3105) 等連袂彈升。,7
2018-02-13T02:08:00.000Z,　謝金河舉例，像是三個月前康控 (4943) 漲到624元，現在掉到236元，股價跌掉3分之2；玉晶光 (3406) 先前漲到596元，如今跌至213元，股價掉了64%；最明顯的是精材 (3374) ，因為是台積電 (2330) 子公司，在業績虧損累累的情況下，市場以指紋辨識題材，將股價炒到106.5元，但其實在50元左右，精材董事長已經出面示警說公司沒有那麼好，可是沒人聽得下，如今不到三個月，精材已殺到51.6元，追高的投資人很慘。,-1
2018-02-21T07:12:00.000Z,股王大立光 (3008) 盤中站回4000元關卡，玉晶光 (3406) 、台郡 (6269) 、華通 (2313) 、良維 (6290) 及新日興 (3376) 同步大漲。,2
