PublishDate,Sentence,Score
2018-01-29T07:08:00.000Z,　台股今日由雙王大立光 (3008) 、台積電 (2330) 扮領頭羊，二線光學族群受到大立光走高鼓舞，揚明光 (3504) 、亞光 (3019) 同步大漲，觸控雙雄GIS-KY (6456) 和TPK-KY (3673) 重回iPhone供應鏈激勵股價雙雙強彈；IC設計族群在聯家軍智原 (3035) 強勢衝高領軍下，矽統 (2363) 、新唐 (4919) 聯袂漲停表現相對強勢；任天堂遊戲機Switch全球賣翻天，原相 (3227) 、威盛 (2388) 樂開懷。,13
2018-01-29T03:17:00.000Z,此外，觸控雙雄GIS-KY （6456） 和TPK-KY （3673） 重回iPhone觸控面板供應鏈，今日也是挾量上攻，GIS-KY大漲半根停板、TPK-KY則是重返百元關卡。,2
2018-01-29T01:45:00.000Z,  5.TPK-KY (3673) ：去年營收恢復成長，今年有新款iPhone觸控訂單助攻營運，早盤漲逾4.5%。,3
2018-01-31T07:13:00.000Z,周二美股連2日收黑，道瓊指數大跌362點，拖累台股今日跟進跳空開低，一度回探月線及11000點關，在精神領袖台積電 (2330) 領軍突圍下，法說行情暖身的旺宏 (2337) 、TPK-KY (3673) 雙雙勁揚，激勵電子類指率先翻紅，傳產、金融股亦紛紛回神，帶領指數由黑翻紅一路往上拉升，惟最後一盤遭大單摜壓，指數漲幅略為回吐，終場加權指數上漲27.01點為11103.79點，仍守住11100及月線大關，成交值為1329.16億元；月線連2紅、本周大漲460點。,12
2018-01-31T07:13:00.000Z,　電子股表現方面，權王台積電今日突圍上攻帶領台股由黑翻紅，旺宏及TPK-KY雙雙強彈為法說行情暖身，鴻海 (2317) 股臨會討論富士康互聯網上海A股上市案，惟多頭不捧場致股價收低，宏達電 (2498) 與Google交易的11億美元Q1將入帳，估可貢獻首季EPS約39元，今年全年已確保轉虧為盈，惟尾盤賣壓出籠股價翻黑，月線得而復失；炒作疑雲再起的比特幣摔下萬元大關，挖礦概念族群世芯-KY (3661) 、撼訊 (6150) 、華擎 (3515) 臉色鐵青。,2
2018-01-31T06:10:00.000Z,  繼周二大跌百點，今日再度跳空開低，最低打到11000點左右，但權值最高的台積電 (2330) 逆勢上漲，下午即將舉行法說的旺宏 (2337) 、周四法說登場的TPK-KY (3673) 也上攻，電子類股指數率先翻紅，鴻海 (2317) 股價亦守在90元關卡之上。,3
2018-01-31T06:10:00.000Z,  台股盤勢方面，受到美股周二續挫，台股周三早盤回探11000點，但在台積電穩定上揚，今日下午法說登場的旺宏，TPK-KY宸鴻法說會將在本周四登場，兩檔早盤股價均逆勢上攻；電子類股指數翻紅，帶動台股早即翻紅。,4
2018-01-31T02:11:00.000Z,周二美股連續第2日收黑，台股繼周二大跌百點，今日再度跳空開低；但權值最高的台積電 (2330) 逆勢上漲，即將舉行法說的旺宏 (2337) 、TPK-KY (3673) 也都上攻，電子類股指數率先翻紅，鴻海 (2317) 股價亦有撐。,3
2018-01-31T02:11:00.000Z,  受到美股周二續挫，台股周三早盤回探11000點，但在台積電穩定上揚，今日下午法說登場的旺宏，TPK-KY宸鴻法說會將在本周四登場，兩檔早盤股價均逆勢上攻；以及宏碁 (2353) 、欣興 (3037) 帶量上漲。,4
2018-01-31T02:06:00.000Z,  11.TPK-KY (3673) ：去年營收表現亮眼，並可望轉盈，惟市場觀望周四法說會釋出更多訊息，早盤小漲逾2%。,3
2018-01-31T07:13:00.000Z,周二美股連2日收黑，道瓊指數大跌362點，拖累台股今日跟進跳空開低，一度回探月線及11000點關，在精神領袖台積電 (2330) 領軍突圍下，法說行情暖身的旺宏 (2337) 、TPK-KY (3673) 雙雙勁揚，激勵電子類指率先翻紅，傳產、金融股亦紛紛回神，帶領指數由黑翻紅一路往上拉升，惟最後一盤遭大單摜壓，指數漲幅略為回吐，終場加權指數上漲27.01點為11103.79點，仍守住11100及月線大關，成交值為1329.16億元；月線連2紅、本周大漲460點。,12
2018-01-31T07:13:00.000Z,　電子股表現方面，權王台積電今日突圍上攻帶領台股由黑翻紅，旺宏及TPK-KY雙雙強彈為法說行情暖身，鴻海 (2317) 股臨會討論富士康互聯網上海A股上市案，惟多頭不捧場致股價收低，宏達電 (2498) 與Google交易的11億美元Q1將入帳，估可貢獻首季EPS約39元，今年全年已確保轉虧為盈，惟尾盤賣壓出籠股價翻黑，月線得而復失；炒作疑雲再起的比特幣摔下萬元大關，挖礦概念族群世芯-KY (3661) 、撼訊 (6150) 、華擎 (3515) 臉色鐵青。,2
2018-01-31T06:10:00.000Z,  繼周二大跌百點，今日再度跳空開低，最低打到11000點左右，但權值最高的台積電 (2330) 逆勢上漲，下午即將舉行法說的旺宏 (2337) 、周四法說登場的TPK-KY (3673) 也上攻，電子類股指數率先翻紅，鴻海 (2317) 股價亦守在90元關卡之上。,3
2018-01-31T06:10:00.000Z,  台股盤勢方面，受到美股周二續挫，台股周三早盤回探11000點，但在台積電穩定上揚，今日下午法說登場的旺宏，TPK-KY宸鴻法說會將在本周四登場，兩檔早盤股價均逆勢上攻；電子類股指數翻紅，帶動台股早即翻紅。,4
2018-01-31T02:11:00.000Z,周二美股連續第2日收黑，台股繼周二大跌百點，今日再度跳空開低；但權值最高的台積電 (2330) 逆勢上漲，即將舉行法說的旺宏 (2337) 、TPK-KY (3673) 也都上攻，電子類股指數率先翻紅，鴻海 (2317) 股價亦有撐。,3
2018-01-31T02:11:00.000Z,  受到美股周二續挫，台股周三早盤回探11000點，但在台積電穩定上揚，今日下午法說登場的旺宏，TPK-KY宸鴻法說會將在本周四登場，兩檔早盤股價均逆勢上攻；以及宏碁 (2353) 、欣興 (3037) 帶量上漲。,4
2018-01-31T02:06:00.000Z,  11.TPK-KY (3673) ：去年營收表現亮眼，並可望轉盈，惟市場觀望周四法說會釋出更多訊息，早盤小漲逾2%。,3
