PublishDate,Sentence
2017-06-01T00:57:00.000Z,3.觸控族群拉回修正，淳安 (6283) 、TPK-KY (3673) 、正達 (3149) 、安可 (3615) 等下跌。
2017-06-01T00:57:00.000Z,3.觸控族群拉回修正，淳安 (6283) 、TPK-KY (3673) 、正達 (3149) 、安可 (3615) 等下跌。
2019-03-20T07:12:00.000Z,　電子股表現方面，半導體股相對有撐，晶圓代工龍頭台積電 (2330) 拉尾收最高242元，並登上5個月新高價，台勝科 (3532) 、南亞科 (2408) 、環球晶 (6488) 擁高股息題材表現亮眼，股王大立光 (3008) 早盤扮演多方領頭羊，帶動光學股正達 (3149) 及晶彩科 (3535) 、亞光 (3019) 、佳凌 (4976) 等綻放光芒，惟大立光午盤後遭空軍突襲，失守4700元。
2019-03-21T07:05:00.000Z,晶彩科 (3535) 、正達 (3149) 、佳凌 (4976) 齊步漲停或觸及漲停，揚明光 (3504) 、今國光 (6209) 、中揚光 (6668) 等光電股也各擁利基而滿面紅光。
2019-04-16T07:02:00.000Z,大陸最大的LED製造商三安光電可能成為下一個被美國制裁的大陸企業，外資看好晶電 (2448) 可望受惠，盤中股價強攻漲停板，光磊 (2340) 、佳能 (2374) 、東貝 (2499) 、大立光 (3008) 、和鑫 (3049) 、正達 (3149) 等皆有不俗表現，類股指數上漲1.4%。
2019-04-16T06:42:00.000Z, 盤面上，郭董選不選總統雖仍未定調，惟鴻家軍已先登高搖旗，今日包括台揚 (2314) 量能翻三倍收漲停30.35元，亞太電 (3682) 爆出7.1萬餘張大量、收漲停8.45元，建漢 (3062) 衝出1.8萬餘張成交量、收漲停18.2元，其餘正達 (3149) 、廣宇 (2328) 、GIS-KY (6456) 、京鼎 (3413) 、訊芯-KY (6451) 、乙盛-KY (5243) 等也聯袂強升，而鴻海盤中也一度衝上91.4元波段新高，鴻家軍可謂是今日最夯指標。
2019-06-17T07:02:00.000Z,玉晶光 (3406) 營運亮眼，以及其他亞光 (3019) 、華晶科 (3059) 、正達 (3149) 、GIS-KY (6456) 、明基材 (8215) 等光電股皆力挺多方，其類股收漲1.19%，漲幅第五名。
2019-08-21T03:31:00.000Z,　另據統計，採取半年配的35家上市公司則包括國巨、精英、華邦電、所羅門、虹光精密、浩鑫、鼎元、可成科技、瑞軒、幸福水泥、鮮活果汁-KY、上曜、宏洲纖維、宜進、寶隆國際、榮成紙業、南港輪胎、皇普建設、聯邦銀行、和鑫、正達國際、玉晶光、牧德、碩天科技、如興、材料-KY、雙鍵、禾聯碩、豐祥-KY、遠雄建設、大豐電、佳必琪、矽格、台數科及長華電材等。
2020-08-04T04:12:00.000Z,"
&nbsp;
（封面圖／東森新聞）
更多東森財經新聞報導
<a href=""https://fnc.ebc.net.tw/FncNews/stock/123157?from=yahooFNC"" target=""_blank"" rel=""nofollow noopener"">聯電創16年高 壓回有驚無險？ 天國一輝解禁 生技重返榮耀？</a>
<a href=""https://fnc.ebc.net.tw/FncNews/stock/123149?from=yahooFNC"" target=""_blank"" rel=""nofollow noopener"">「雙聯一積」開高震盪 台股回測12600 分析師：健康輪動完美格局</a>
<a href=""https://fnc.ebc.net.tw/FncNews/stock/123142?from=yahooFNC"" target=""_blank"" rel=""nofollow noopener"">二哥又發飆了！"
2020-08-04T04:12:00.000Z,"
&nbsp;
（封面圖／東森新聞）
更多東森財經新聞報導
<a href=""https://fnc.ebc.net.tw/FncNews/stock/123157?from=yahooFNC"" target=""_blank"" rel=""nofollow noopener"">聯電創16年高 壓回有驚無險？ 天國一輝解禁 生技重返榮耀？</a>
<a href=""https://fnc.ebc.net.tw/FncNews/stock/123149?from=yahooFNC"" target=""_blank"" rel=""nofollow noopener"">「雙聯一積」開高震盪 台股回測12600 分析師：健康輪動完美格局</a>
<a href=""https://fnc.ebc.net.tw/FncNews/stock/123142?from=yahooFNC"" target=""_blank"" rel=""nofollow noopener"">二哥又發飆了！"
2020-11-09T01:46:11.000Z,"
美國選舉大勢底定，台股今天在美國大選不確定因素落幕下，多方火力全開，以上漲80點、13053點開出，隨即在科技股勁揚帶動下一度衝上13149點，漲幅擴大到176點，不僅站上萬三關卡，也再度改寫歷史新高。"
2021-06-18T05:27:25.000Z,羅秉成強調，能買的疫苗大家使盡全力、舉全國之力做這件事都不為過，「何來阻撓之說」，對此希望外界不要多有傳聞及預測，認為此事應該齊心合力促成，不要有其他橫生枝節或過多政治上的揣測，才能真正有益於真正達到「買得到疫苗、用得到疫苗」的目標。
2021-11-30T23:38:43.000Z,累計前10月稅前獲利2957.9億元、年增232.6億元或8.5％，續創僅次於2019年3149.8億元的同期次高。
2021-11-30T23:38:43.000Z,累計前10月稅前獲利2957.9億元、年增232.6億元或8.5％，續創僅次於2019年3149.8億元的同期次高。
