PublishDate,Sentence
2017-01-18T06:23:00.000Z,早盤台積電等大型電子股並不強勁，賴中低價股維持人氣；大同成為飆股，帶動中低價電子股齊攻，華邦電 (2344) 、旺宏 (2337) 等記憶體股續強；一樣是中低價主流，還有友達 (2409) 、群創 (3481) 上攻，彩晶 (6116) 、奇美材 (4960) 等面板相關全面走揚。
2017-05-09T06:49:00.000Z,  盤面上，友達 (2409) 4月營收受部分客戶的季底拉貨比較保守與新台幣持續升值的影響，年增7.6%、月減10.5%，昨夜ADR重挫8.23%，衝擊今日友達帶量重挫逾4.5%，拖累群創 (3481) 跟跌逾4%，加上彩晶 (6116) 、奇美材 (4960) 、今國光 (6209) 、亞光 (3019) 等紛紛大跌，股王大立光 (3008) 也於盤中翻黑走弱，光電類指今日跌0.7%，成為台股拖油瓶。
2017-05-11T06:14:00.000Z,主要電子權值股扮演台股衝破萬點要角，台積電 (2330) 收在207.5元，漲0.97%；股王大立光 (3008) 收在4960元，小漲0.3%。
2017-07-07T06:13:00.000Z,  台股今日電子股來說，大型權值股並未發揮領盤作用，台積電、友達、台塑化 (6505) 、聯發科等多呈現貼息走勢，盤面僅靠6月業績股零星點火；股王大立光 (3008) 小跌震盪，終場收在4960元，面板雙虎友達 (2409) 、群創 (3481) 也連袂走跌，跌幅在2%~2.5%區間震盪；台積電 (2330) 、聯發科 (2545) 亦呈現震盪整理，目前市場法人圈有消息指出，受到非蘋陣營需求不佳，台積電第3季營運表現恐不如預期，營收季增僅14~16%，在智慧型手機市場不如預期下，也恐拖累聯發科出現旺季不旺。
2017-07-10T06:55:00.000Z,今天台股在上週五美國科技股絕地大反攻強勢上漲帶動下，指數以小紅開出，不過台積電 (2330) 除息後遲遲未填息，衝擊到中小型股除權息行情，建錩 (5014) 、強盛 (1463) 、奇力新 (2456) 、豐泰 (9910) 、麗嬰房 (2911) 、中鴻 (2014) 、智邦 (2345) 、遠傳 (4904) 、奇美材 (4960) 等走弱，讓台股由紅翻黑，所幸即將在13日舉行法說會的大立光 (3008) 及台積電股價回穩，尤其是大立光轉強，不僅重登5000元關卡，尾盤時更攻上5095元，再創台股新天價，中壽 (2823) 及碩禾 (3691) 等盤中股價強攻漲停板，鴻海 (2317) 、美律 (2439) 等收高，讓台股一度重回月線。
2017-07-10T03:42:00.000Z,  今天台股以平高盤開出，盤中雖然受到傳產股的豐泰 (9910) 、麗嬰房 (2911) 、中鴻 (2014) 等，以及智邦 (2345) 、遠傳 (4904) 、奇美材 (4960) 等下跌衝擊，台股指數一度由紅翻黑，但6月合併營收表現優於預期，將於本周舉行法說會的大立光 (3008) 率先轉強，重登5000元關卡，並直逼上市新高價，且台積電、鴻海及美律 (2439) 走高，帶動台股指數止穩，守住10300點，多空在月線附近激戰，截至11點25分為止，加權股價指數為10307.26點，上漲10.01點，成交量為491.73億元；OTC指數為134.37點，上漲0.2點，成交量為133.03億元。
2017-09-19T02:54:00.000Z,面板股友達 (2409) 、群創 (3481) 陷入整理，下跌約1.9%、2.6%；面板週邊零組件的奇美材 (4960) 上漲約1.3%。
2017-12-04T10:23:00.000Z,證交所統計，今年截至12月1日止，外資累計買超1815.74億元，總持股市值13兆1750.11億元，占全體上市股票市值41.72%，較11月24日減少4960.32億元。
2017-12-04T10:23:00.000Z,證交所統計，今年截至12月1日止，外資累計買超1815.74億元，總持股市值13兆1750.11億元，占全體上市股票市值41.72%，較11月24日減少4960.32億元。
2018-06-30T03:44:00.000Z,　騰訊市值較去年增加2240億美元、增幅高達82.3％，來到4960億美元，排名全球市值第5大，也是大陸市值最大的企業。
2018-06-30T03:44:00.000Z,　騰訊市值較去年增加2240億美元、增幅高達82.3％，來到4960億美元，排名全球市值第5大，也是大陸市值最大的企業。
2019-01-15T02:15:00.000Z, 14.誠美材 (4960) ：14日召開董事會，董事提出臨時動議，改選葉美麗擔任董事長，現任董事長何昭陽無預警遭到撤換，何昭陽表示將全力反擊，股價漲2.75%。
2019-01-21T02:06:00.000Z, 7.誠美材 (4960) ：董座之爭未平歇，惟外資上周五仍回頭買超721張，早盤人氣不墜，股價一舉突破票面，最高達10.3元。
2019-01-25T07:06:00.000Z,偏光片上游材料供應吃緊，今年營運不看淡，明基材 (8215) 、誠美材 (4960) 攜手勁彈。
2019-01-28T06:52:00.000Z,市場平淡看待全球總經及產業利空，讓全球股市及台股呈現利空鈍化驚驚漲格局，台股今天再由台積電 (2330) 領軍攻高，誠美材 (4960) 等強攻漲停板作收，GIS-KY (6456) 、工具機的亞德客-KY (1590) 、直得 (1597) 及上銀 (2049) ，以及台半 (5425) 、明基材 (8215) 等中小型股聯袂收高，帶動台股尾盤擺強勢登上萬點，終場加權股價指數為10013.33點，上漲43.72點，成交量為926.09億元；OTC指數為129.67點，上漲0.53點，成交量為274.88億元。
2019-01-28T02:12:00.000Z, 20.誠美材 (4960) ：偏光片上游材料供應吃緊，偏光片廠看好今年偏光片供應緊俏，股價一度漲4.46%。
2019-01-29T02:27:00.000Z,誠美材 (4960) 挾著偏光片需求吃緊題材，股價漲2.25%。
