PublishDate,Sentence
2017-06-29T00:58:00.000Z,※未來注意事項1.週四(6/28)重點除權、息公司：震旦行 (2373) 、安勤 (3479) 、力旺 (3529) 、達興材料 (5234) 、台名 (5878) 、上福 (6128) 、山林水 (8473) 、全銓 (8913) 、好樂迪 (9943) 等。
2018-01-20T07:01:00.000Z,　另有包括玉山金、台新金、京城銀、勝一、凱羿-KY、良維、中美冠科-KY、達興材料、直得、朋億、日馳、博智、華韡、福邦證、動力-KY、北基、巨虹、駿吉-KY等共20檔個股市值同樣創新高。
2019-02-19T07:15:00.000Z,美股周一因華盛頓日休市，投資人看好美中貿易談判將取得突破性進展，亞股早盤普遍走揚，台股在權王台積電 (2330) 休兵，股王大立光 (3008) 領軍蘋概及光電股衝鋒，包括鴻海 (2317) 、玉晶光 (3406) 、新日興 (3376) 、嘉澤 (3533) 、智原 (3035) 、今國光 (6209) 、揚明光 (3504) 、萬達光電 (5220) 、天瀚 (6225) 、達興材料 (5234) 、泰谷 (3339) 等綻放光芒，支撐指數站穩半年線並力守高檔，由於投資人居高思危，市場轉趨觀望，終場加權股價指數上漲6.98點為10152.26點，成交值為1013.92億元。
2019-02-19T07:15:00.000Z,　蘋概三天王鴻海 (2317) 獲郭董連3月加碼持股推升股價走堅，台積電狹幅盤整、大立光穩在紅盤，蘋概及光電股聯袂喊衝，包括玉晶光 (3406) 連拉2根漲停，新日興 (3376) 、嘉澤 (3533) 、智原 (3035) 、今國光 (6209) 、揚明光 (3504) 、萬達光電 (5220) 、天瀚 (6225) 、達興材料 (5234) 、泰谷 (3339) 等光芒萬丈。
2019-02-19T06:48:00.000Z,美股昨夜休市，台股今日受惠昨外資於期、現貨同步加碼的帶動下，指數小幅開高，惟權值龍頭台積電 (2330) 撐盤多日後疲態顯露，削弱多頭上攻士氣，盤面由股王大立光 (3008) 擔任主帥，玉晶光 (3406) 、智原 (3035) 、達興材料 (5234) 、台船 (2208) 等各擁題材積極上攻，支撐大盤指數整場守在高檔、高低點僅差30餘點，呈現高檔狹盤格局，終場集中市場收10152.26點，漲6.98點，總成交值縮減至1013.92億元；店頭市場收136.41點，漲0.47點，總成交值338.45億元。
2019-02-19T02:12:00.000Z, 24.達興 (5234) ：昨外資買超助攻，今早順利突破百元大關後多頭氣勢如虹，盤中成交量達5300張、股價頻頻觸及漲停108元。
2019-02-20T02:10:00.000Z, 16.達興 (5234) ：1月營收創新高，今年營運成長動能看好，股價漲近6.5%。
2019-02-22T23:47:00.000Z,　該15檔周線、月線及季線多頭排列標的，大致都屬電子類股，包含半導體廠台積電、旺宏和群聯、光電廠亞光、玉晶光、達興材料與明基材、電子零組件廠燿華、台光電、台郡及台燿、機殼廠可成、機器人概念股廣明、貿易百貨股益航、金融股上海商銀。
2019-02-22T23:47:00.000Z,　本周台股強漲258.14點、漲幅2.56％，15檔技術及籌碼面兼優表現不俗，周漲幅全數勝過大盤，其中，又以玉晶光、達興材料、廣明、旺宏及益航5檔漲勢最為可觀，周漲幅皆達10％以上。
2019-02-22T23:47:00.000Z,　觀察最新公布1月合併營收，益航、明基材、達興材料、群聯與燿華均榮登雙率雙增排行榜，表現搶眼。
2019-04-11T01:34:00.000Z,　新增的32位百元股新成員，分別為奇力新 (2456) 、中租-KY (5871) 、健鼎 (3044) 、易華電 (6552) 、訊芯-KY (6451) 、健策 (3653) 、台光電 (2383) 、瑞儀 (6176) 、新日興 (3376) 、信邦 (3023) 、鼎炫-KY (8499) 、裕融 (9941) 、揚明光 (3504) 、GIS-KY (6456) 、晶心科 (6533) 、鋼聯 (6581) 、緯穎 (6669) 、晶睿 (3454) 、眾達-KY (4977) 、漢唐 (2404) 、康控-KY (4943) 、寶齡富錦 (1760) 、上緯投控 (3708) 、矽創 (8016) 、臻鼎-KY (4958) 、柏文 (8462) 、牧德 (3563) 、台塑 (1301) 、達興材料 (5234) 、振樺電 (8114) 、台化 (1326) 、大統益 (1232) 。
2020-11-06T02:04:19.000Z,本周以來連續第五天上漲，外資連續3天共買超25234張。
2021-03-17T23:45:19.000Z,台積電大聯盟包括愛普、映泰、昇貿、雍智科技、晟銘電、世芯-KY、光罩、崇越、力旺、亞翔、達興材料、公準、華立、萬潤、創意、弘塑等16檔，17日多有1～4％不等的漲幅，其中，愛普因3D先進封裝技術，已有多家客戶導入，下半年可望量產，股價更拉至漲停板價847元，創歷史新高。
