PublishDate,Sentence
2018-08-31T02:12:00.000Z, 2.台表科 (6278) ：外資連日擴大買超，激勵股價持續上攻，早盤股價衝近7個月新高、達31.8元。
2018-09-03T07:01:00.000Z,里昂點名貿易戰中台系半導體受惠股，台表科 (6278) 逆漲。
2018-08-31T02:12:00.000Z, 2.台表科 (6278) ：外資連日擴大買超，激勵股價持續上攻，早盤股價衝近7個月新高、達31.8元。
2018-09-03T07:01:00.000Z,里昂點名貿易戰中台系半導體受惠股，台表科 (6278) 逆漲。
2018-11-19T07:15:00.000Z,　股王大立光回神站回3200元，高點觸及3235元，續挑戰月線關卡，帶動華通 (2313) 、康控-KY (4943) 等蘋概股以及佳凌 (4976) 、台表科 (6278) 、TPK-KY (3673) 、GIS-KY (6456) 、宏齊 (6168) 、玉晶光 (3406) 等光電股衝鋒。
2019-01-21T07:10:00.000Z,PCB族群買氣強強滾，台表科 (6278) 強攻漲停，台光電 (2383) 、台燿 (6274) 、聯茂 (6213) 、嘉聯益 (6153) 緊跟在後。
2019-01-21T02:06:00.000Z, 8.台表科 (6278) ：上周五三大法人聯手轉買超992張，激勵早盤量增價漲逾4%。
2019-01-30T07:18:00.000Z,所幸蘋果財報傳來好消息，激勵蘋果鏈玉晶光 (3406) 、穩懋 (3105) 、台郡 (6269) 、臻鼎-KY (4958) 、台表科 (6278) 紅通通。
2019-01-30T07:18:00.000Z,所幸蘋果財報傳來好消息，激勵蘋果鏈玉晶光 (3406) 、穩懋 (3105) 、台郡 (6269) 、臻鼎-KY (4958) 、台表科 (6278) 紅通通。
2019-02-11T06:46:00.000Z, 農曆年前退場的資金積極搶進蘋果概念股、散熱、5G及風電相關個股，市場看好的神盾 (6462) 、台表科 (6278) 、嘉晶 (3016) 、泰鼎-KY (4927) 、興能高 (6558) 、亞德客-KY (1590) 、美時 (1795) 、廣明 (6188) 、M31 (6643) 及雙鴻 (3324) 強攻漲停板作收，超眾 (6230) 、健策 (3653) 及聯茂 (6213) 同步攀高，在權值股及中小型股聯袂走強下，台股指數一度大漲約百點，不過尾盤時，金融類股等走跌，且華航 (2610) 罷工拖累觀光類股及運輸類股，台股指數小幅壓回，所幸仍驚險守住萬點關卡，為金豬紅盤日留下收紅及登萬點的雙喜，成交量也放大至1300億元，呈現價量齊揚，終場加權股價指數為10004.25點，上漲71.99點，成交量為1319.69億元；OTC指數為131.71點，上漲1.8點，成交量為318.96億元。
