PublishDate,Sentence,Score
2017-04-06T07:05:00.000Z,　股王大立光 (3008) 看淡4月營收衝擊市場信心，股價應聲重挫4%，拖累光學元件族群玉晶光 (3406) 摔落300元，亞光 (3019) 及新鉅科 (3630) 同步走弱，僅先進光 (3362) 逆勢走高；權值股台積電 (2330) 、鴻海 (2317) 、聯發科 (2454) 、華碩 (2357) 等全面壓回修正；環球晶 (6488) 及合晶 (6182) 受惠矽晶圓價格上漲，帶動股價逆勢走揚；光通訊族群在產業前景暢旺下扮演抗跌指標，光聖 (6442) 、華星光 (4979) 聯袂勁揚。,6
2017-04-07T00:58:00.000Z,2.光學鏡頭拉回修正，玉晶光 (3406) 、亞光 (3019) 、今國光 (6209) 、新鉅科 (3630) 下跌。,-1
2017-04-17T07:10:00.000Z,台股今天以紅盤開出後，因台塑化 (6505) 及康控-KY (4943) 、邑錡 (7402) 、博磊 (3581) 、台勝科 (3532) 等中小型股強攻漲停板，帶動指數一度站回9760點，但大立光 (3008) 開盤後立刻走低，光學元件股—亞光 (3019) 、光燿科 (3428) 及新鉅科 (3630) 主流族群走弱，加上台積電 (2330) 、蘋果概念股及部分中小型股跌勢難止，讓台股一度急殺，不僅一度失守9700點關卡，亦跌破季線。,0
2017-04-18T07:06:00.000Z,　盤面上，電子權值股台積電 (2330) 、鴻海 (2317) 、聯發科 (2454) 等表現持穩；光學族群先進光 (3362) 亮燈漲停再創上櫃新天價，激勵聯一光 (3441) 、光燿科 (3428) 同步攻頂，新鉅科 (3630) 、亞光 (3019) 亦同步走高；非蘋旗艦機齊發，手機零組件廠進入拉貨旺季，華冠 (8101) 強鎖漲停，美律 (2439) 、毅嘉 (2402) 聯手強彈；陸光纖需求今年看增，帶動光通訊族群波若威 (3163) 強攻漲停，光聖 (6442) 、統新 (6426) 、眾達-KY (4977) 攜手勁揚。,10
2017-04-19T06:54:00.000Z,　台股今日隨美股走跌，權值大軍台積電 (2330) 、鴻海 (2317) 、大立光 (3008) 同步走疲；雙D族群友達 (2409) 、群創 (3481) 、南亞科 (2408) 、華邦電 (2344) 盤中亦不敵賣壓紛紛翻黑；光學元件二線廠光燿科 (3428) 、先進光 (3362) 雙雙攻頂，帶動新鉅科 (3630) 及佳凌 (4976) 同步走高，成為照亮台股的明燈。,1
2017-04-20T00:59:00.000Z,o強勢股：1.光學鏡頭持續強勢，先進光 (3362) 、光燿科 (3428) 、新鉅科 (3630) 、佳凌 (4976) 等上漲。,2
2017-04-21T07:02:00.000Z,　電子股今日吹起反攻號角，股王大立光 (3008) 盤中衝上天價4885元，激勵光學族群華晶科 (3059) 亮燈漲停、揚明光 (3504) 跟進飆高，帶動二線族群聯一光 (3441) 、新鉅科 (3630) 、亞光 (3019) 群起攻之；被動元件族群表現亦相當搶眼，國巨 (2327) 強勢大漲，帶動華新科 (2492) 、凱美 (5317) 、禾伸堂 (3026) 齊攻漲停。,10
2017-04-21T06:27:00.000Z,  在大立光的強勢引領下，華晶科 (3059) 亮燈漲停來到26.2元，揚明光 (3504) 攻堅飆漲逾8%，激勵光學二線廠響起反攻號角，聯一光 (3441) 午盤在買盤急拉下，股價強攻漲停板至31.9元，新鉅科 (3630) 、亞光 (3019) 和光燿科 (3428) 亦同步走高。,8
2017-04-26T06:58:00.000Z,　電子股表現勇猛，成今日領漲先鋒，股王大立光 (3008) 登上5000元改寫台股歷史新頁，帶動光學股先進光 (3362) 、聯一光 (3441) 雙雙攻頂，玉晶光 (3406) 、新鉅科 (3630) 、今國光 (6209) 、亞光 (3018) 同步衝高；蘋概股表現亦亮眼，美律 (2439) 強鎖漲停，鴻海 (2317) 、TPK-KY (3673) 、GIS-KY (6456) 、台郡 (6269) 、致伸 (4915) 、嘉聯益 (6153) 、可成 (2474) 等齊步走揚；光通訊族群在基本面加持下持續喊燒，統新 (6426) 飆上漲停，聯亞 (3081) 、光聖 (6442) 、華星光 (4979) 聯袂勁彈；電子權值股台積電 (2330) 、聯發科 (2454) 、友達 (2409) 、群創 (3481) 、廣達 (2382) 表現偏弱壓低整理。,7
2017-04-26T06:58:00.000Z,　電子股表現勇猛，成今日領漲先鋒，股王大立光 (3008) 登上5000元改寫台股歷史新頁，帶動光學股先進光 (3362) 、聯一光 (3441) 雙雙攻頂，玉晶光 (3406) 、新鉅科 (3630) 、今國光 (6209) 、亞光 (3018) 同步衝高；蘋概股表現亦亮眼，美律 (2439) 強鎖漲停，鴻海 (2317) 、TPK-KY (3673) 、GIS-KY (6456) 、台郡 (6269) 、致伸 (4915) 、嘉聯益 (6153) 、可成 (2474) 等齊步走揚；光通訊族群在基本面加持下持續喊燒，統新 (6426) 飆上漲停，聯亞 (3081) 、光聖 (6442) 、華星光 (4979) 聯袂勁彈；電子權值股台積電 (2330) 、聯發科 (2454) 、友達 (2409) 、群創 (3481) 、廣達 (2382) 表現偏弱壓低整理。,7
