PublishDate,Sentence,Score
2018-06-04T06:29:00.000Z,台股終場上揚160.42點，以11109.50點作收，成交值新台幣1542.96億元，創下3月22日以來新高，台股接下來將挑戰今年1月23日11270點前波高點。,1
2018-06-04T06:29:00.000Z,台股終場上揚160.42點，以11109.50點作收，成交值新台幣1542.96億元，創下3月22日以來新高，台股接下來將挑戰今年1月23日11270點前波高點。,1
2018-06-05T04:30:00.000Z,至於股利則希望維持穩健且每年上揚的股利政策。,3
2018-06-13T05:48:00.000Z,"根據Yahoo Finance的資料顯示，截至台北時間13點30分為止，任天堂暴跌5.95%至39,230日圓，表現遠遜於東證一部指數(TOPIX)的上揚0.48%(13:30時報價)，稍早最低跌至38,360日圓(跌幅達8%)、創9個月來(2017年9月15日以來)新低紀錄。",-4
2018-06-13T00:51:00.000Z,根據嘉實XQ全球贏家系統報價，微軟12日上揚0.26%，收101.31美元；微軟6月6日收盤價102.49美元創下歷史新高紀錄。,2
2018-06-15T03:33:00.000Z,南韓券商紛紛下修第二季獲利預估，推測三星電子營益連續六季上揚的紀錄，將在本季畫下句點。,0
2018-06-15T03:33:00.000Z,唯一亮點是半導體部門，預料DRAM價格走高，會讓半導體銷售持續上揚。,1
2018-06-15T00:22:00.000Z,其中，特斯拉上漲3.75%、FB上揚2.29%、Nvidia上漲1.72%、亞馬遜上漲1.11%，再創新高，APPLE上漲0.05%、台積電ADR下跌1.15%。,3
2018-06-19T07:02:00.000Z,LED族群的光磊 (2340) 放量上揚，漲幅超過6.5%，鼎元 (2426) 在漲停板附近游走，強勢收最高價，艾笛森 (3591) 、東貝 (2499) 聯袂揚升；風力概念股的上緯投控 (3708) 盤中漲幅曾逾8%，伴隨離岸風電第二階段遴選競標將於月底公布，且看好離岸風電水下基礎市場前景，中鋼構 (2013) 、世紀鋼 (9958) 攜手漲停。,5
2018-06-19T07:02:00.000Z,電子類股以LED族群最抗跌，其中光磊接單順暢，股價登10年高點；艾笛森飆漲停21.6元，東貝、隆達、佰鴻、億光不受大盤跌勢影響，攜手上揚。,2
2018-06-19T05:38:00.000Z,"根據嘉實XQ全球贏家系統報價，截至台北時間19日13點05分為止，半導體巨擘三星電子勁揚1.07%至47,100韓圜、SK Hynix上揚0.95%至84,800韓圜。",1
2018-06-19T02:30:00.000Z,  盤面上，LED族群著前景不看淡，今日漲多跌少，光磊 (2340) 今日放量上揚，漲幅超過6.5%，鼎元 (2426) 今日開高後，一度衝上漲停板19.55元，隨後漲停雖被打開，但漲幅仍在7%以上，艾笛森 (3591) 、東貝 (2499) 聯袂揚升；風力概念股挾著離岸風電開發第二階段「競標制」今日開跑，上緯投控 (3708) 盤中漲幅曾逾8%，伴隨離岸風電第二階段遴選競標將於月底公布，且看好逾700座離岸風電水下基礎市場前景，加上需使用的相關鋼材相當可觀，盤中包括中鋼構 (2013) 、世紀鋼 (9958) 攜手攻上漲停，新光鋼 (2031) 跟漲近4%。,5
2018-06-20T06:06:00.000Z,但漲多的被動元件股國巨 (2327) 今早跌落千元大關，華新科 (2492) 重挫，僅帛漢 (3299) 、凱美等挾利多個股上揚。,1
2018-06-20T02:18:00.000Z,但漲多的被動元件股國巨 (2327) 跌落千元大關，華新科 (2492) 重挫，僅帛漢 (3299) 、凱美等挾利多個股上揚。,1
2018-06-22T04:29:00.000Z,費城半導體指數成分股美光(MU.US)6月21日逆勢上漲0.83%、收59.44美元，今年迄今上揚44.55%。,2
2018-06-25T06:42:00.000Z,5G、3D Sensing、工業4.0等都是看好族群，配合景氣上揚，指數可望緩步上攻。,1
2018-06-29T06:12:00.000Z,台股加權股價指數收在10836.91點，大漲182.63點，漲幅1.71%，成交值新台幣1396.91億元，電子股上揚1.91%，金融股漲1.19%。,3
2018-06-29T06:12:00.000Z,月線收黑下跌38.05點，季線收黑下跌82.58點，半年線收紅上揚194點。,-2
2018-06-29T06:12:00.000Z,主要電子權值股走堅帶動大盤上揚，台積電 (2330) 收在216.5元，漲2.12%。,2
2018-06-29T06:12:00.000Z,台股加權股價指數收在10836.91點，大漲182.63點，漲幅1.71%，成交值新台幣1396.91億元，電子股上揚1.91%，金融股漲1.19%。,3
2018-06-29T06:12:00.000Z,月線收黑下跌38.05點，季線收黑下跌82.58點，半年線收紅上揚194點。,-2
2018-06-29T06:12:00.000Z,主要電子權值股走堅帶動大盤上揚，台積電 (2330) 收在216.5元，漲2.12%。,2
