PublishDate,Sentence
2017-01-24T02:54:00.000Z,  新台幣匯率方面，受惠美新總統川普認為美元太過強勢，加上熱錢回流等影響，今日亞幣強勢，新台幣兌美元匯率早盤創去年10月6日以來新高，10:15，新台幣兌美元為31.347元，升值8.4分。
2017-04-06T02:21:00.000Z,  台股盤面今以具題材的中小型個股相對亮眼，元太 (8069) 由黑翻紅，漲幅逾1.5%，也帶動與其有策略聯盟的振曜 (6143) 同步大漲逾5%，另外，網通族群中的光通訊概念股也在產業前景暢旺下，扮演抗跌指標之一，光聖 (6442) 大漲5.5%，華星光 (4979) 漲幅也逾4.5%，波若威 (3163) 則走揚約2%。
2017-04-06T01:02:00.000Z,4.其他個股表現者，諸如群光 (2385) 、智邦 (2345) 、百和 (9938) 、元太 (8069) 、聯華 (1229) 、璟德 (3152) 、凌華 (6166) 、華夏 (1305) 等。
2017-04-20T00:59:00.000Z,4.其他個別修正或漲多拉回者，諸如和泰車 (2207) 、友達 (2409) 、英業達 (2356) 、華邦電 (2344) 、東元 (1504) 、微星 (2377) 、元太 (8069) 、裕民 (2606) 、同欣電 (6271) 、安泰銀 (2849) 。
2017-05-25T00:57:00.000Z,※未來注意事項1.週四(5/25)台股法說或業績發表會公司：東元 (1504) 、玉山金 (2884) 、可成 (2474) 、元太 (8069) 、迅得 (6438) 、欣普羅 (6560) 、勁豐 (6577) 等。
2017-06-02T00:59:00.000Z,5.其他個股表現者，諸如裕日車 (2227) 、台灣高鐵 (2633) 、佳世達 (2352) 、元太 (8069) 、綠悅-KY (1262) 、訊芯-KY (6451) 、日勝生 (2547) 、智冠 (5478) 、大宇資 (6111) 、劍麟 (2228) 等。
2017-06-02T00:59:00.000Z,5.其他個股表現者，諸如裕日車 (2227) 、台灣高鐵 (2633) 、佳世達 (2352) 、元太 (8069) 、綠悅-KY (1262) 、訊芯-KY (6451) 、日勝生 (2547) 、智冠 (5478) 、大宇資 (6111) 、劍麟 (2228) 等。
2017-07-14T06:37:00.000Z,  今日盤面多為零星中小型個股點火，集中在除權息、業績成長或是後市看好的個股，譁裕 (3419) 、辛耘 (3583) 等完成一日填息秀，統新 (6426) 也在今日完成填息，題材股方面，元太 (8069) 電子紙貨架標籤傳打進中國阿里巴巴旗下電商及京東方旗下超市，今盤中攻上近56個月新高；群聯 (8299) 也受惠NAND Flash價漲，股價攻上9年來新高。
2017-07-20T10:33:00.000Z,（中央社記者邱柏勝台北 2017年7月20日電）受韓元走貶、外資匯出等因素影響，今天新台幣走勢疲弱，終場以30.457元兌1美元作收，貶值6分，匯價連2貶並創逾1週新低，台北與元太外匯經紀公司總成交量擴增至13.43億美元。
2017-08-25T07:08:00.000Z,　蘋果發表會傳出9月12日登場，蘋概股三巨頭大立光 (3008) 、台積電 (2330) 、鴻海 (2317) 盤整觀望，二線光學股因亞光 (3019) 被處分盤交易+預收款券「極刑」慘殺跌停，拖累華晶科 (3059) 、今國光 (6209) 雙雙重挫逾半根停板，玉晶光 (3406) 則收漲2%，佳能 (2374) 挾近年轉型光學領域題材發威向上衝高；元太 (8069) 獲歐系外資喊上49元，今日衝破40元改寫逾5年新高價；宏達電 (2498) 傳出恐將VR事業分拆或出售整間公司，股價放量走高近半根停板。
