PublishDate,Sentence
2017-02-15T06:52:00.000Z,傳產股由原物料族群領軍強攻，鋼鐵股因國際鋼價看漲一片紅通通，燁興 (2007) 、第一銅 (2009) 、盛餘 (2029) 齊飆漲停，中鋼 (2002) 、東鋼 (2006) 、中鋼構 (2013) 、中鴻 (2014) 、美亞 (2020) 、燁輝 (2023) 等同步攻高；貨櫃、散裝航運今年可望擺脫谷底，益航 (2601) 、新興 (2605) 、裕民 (2606) 、中航 (2612) 、四維航 (5608) 攻上漲停，東森 (2614) 、台航 (2617) 、正德 (2641) 等攜手勁揚；塑化股以龍頭台塑 (1301) 衝高逾4%漲勢最猛。
2017-09-22T02:01:00.000Z,  6.東森(2614)：再與凱雷攜手，喊售東森電視，早盤衝高逾3%。
2018-02-22T06:25:00.000Z,  其餘題材股方面，英國石油公司指出，預計2040年電動車總數上看3.2億輛，帶動電動車概念股包括美琪瑪 (4721) 、康普 (4739) 、致茂 (2360) 等強勢走揚，為盤面逆勢領漲指標之一，另外，東森 (2614) 去年轉虧為盈，今年將配發股利，盤中由黑翻紅，創波段新高，收盤大漲近6.5%。
2019-11-07T07:15:42.000Z,而雙11進入倒數階段以及年底旺季，百貨、電商紛紛大展身手，東森 (2614) 、潤泰全 (2915) 、淘帝-KY (2929) 、富邦媒 (8454) 集合上攻，率先展開慶祝行情。
2019-11-07T07:15:00.000Z,而雙11進入倒數階段以及年底旺季，百貨、電商紛紛大展身手，東森 (2614) 、潤泰全 (2915) 、淘帝-KY (2929) 、富邦媒 (8454) 集合上攻，率先展開慶祝行情。
2020-03-10T01:57:00.000Z,  10.東森 (2614) ：宅經濟升溫，2月營收年增36.1%，前2月EPS 1.44元，早盤挾量大漲逾6%，躍過5日線、月線。
2020-05-12T23:40:32.000Z,"
◆和億揪東森，網上賣米其林餐。"
2020-06-29T23:41:05.000Z,"
◆東購高成長，東森國際進補。"
2020-06-29T23:41:05.000Z,"
◆東購高成長，東森國際進補。"
2020-07-31T01:16:00.000Z,"」
&nbsp;
（封面合成示意圖／翻攝自謝金河臉書／維基百科）
更多東森財經新聞報導
<a href=""https://fnc.ebc.net.tw/FncNews/headline/123017?from=yahooFNC"" target=""_blank"" rel=""nofollow noopener"">李登輝逝世 蔡英文不捨哀悼：國家莫大損失</a>
<a href=""https://fnc.ebc.net.tw/FncNews/headline/123016?from=yahooFNC"" target=""_blank"" rel=""nofollow noopener"">放下恩怨！"
2020-08-04T04:12:00.000Z,"
&nbsp;
（封面圖／東森新聞）
更多東森財經新聞報導
<a href=""https://fnc.ebc.net.tw/FncNews/stock/123157?from=yahooFNC"" target=""_blank"" rel=""nofollow noopener"">聯電創16年高 壓回有驚無險？ 天國一輝解禁 生技重返榮耀？</a>
<a href=""https://fnc.ebc.net.tw/FncNews/stock/123149?from=yahooFNC"" target=""_blank"" rel=""nofollow noopener"">「雙聯一積」開高震盪 台股回測12600 分析師：健康輪動完美格局</a>
<a href=""https://fnc.ebc.net.tw/FncNews/stock/123142?from=yahooFNC"" target=""_blank"" rel=""nofollow noopener"">二哥又發飆了！"
2020-08-04T01:51:00.000Z,"
&nbsp;
（封面圖／東森新聞）
更多東森財經新聞報導
<a href=""https://fnc.ebc.net.tw/FncNews/stock/123142?from=yahooFNC"" target=""_blank"" rel=""nofollow noopener"">二哥又發飆了！"
2020-07-31T01:16:00.000Z,"」
&nbsp;
（封面合成示意圖／翻攝自謝金河臉書／維基百科）
更多東森財經新聞報導
<a href=""https://fnc.ebc.net.tw/FncNews/headline/123017?from=yahooFNC"" target=""_blank"" rel=""nofollow noopener"">李登輝逝世 蔡英文不捨哀悼：國家莫大損失</a>
<a href=""https://fnc.ebc.net.tw/FncNews/headline/123016?from=yahooFNC"" target=""_blank"" rel=""nofollow noopener"">放下恩怨！"
2020-08-04T04:12:00.000Z,"
&nbsp;
（封面圖／東森新聞）
更多東森財經新聞報導
<a href=""https://fnc.ebc.net.tw/FncNews/stock/123157?from=yahooFNC"" target=""_blank"" rel=""nofollow noopener"">聯電創16年高 壓回有驚無險？ 天國一輝解禁 生技重返榮耀？</a>
<a href=""https://fnc.ebc.net.tw/FncNews/stock/123149?from=yahooFNC"" target=""_blank"" rel=""nofollow noopener"">「雙聯一積」開高震盪 台股回測12600 分析師：健康輪動完美格局</a>
<a href=""https://fnc.ebc.net.tw/FncNews/stock/123142?from=yahooFNC"" target=""_blank"" rel=""nofollow noopener"">二哥又發飆了！"
2020-08-04T01:51:00.000Z,"
&nbsp;
（封面圖／東森新聞）
更多東森財經新聞報導
<a href=""https://fnc.ebc.net.tw/FncNews/stock/123142?from=yahooFNC"" target=""_blank"" rel=""nofollow noopener"">二哥又發飆了！"
2020-08-12T07:51:00.000Z,"
&nbsp;
（封面圖／東森財經）&nbsp;
更多東森財經新聞報導
<a href=""https://fnc.ebc.net.tw/FncNews/stock/123526?from=yahooFNC"" target=""_blank"" rel=""nofollow noopener"">台股「斷電」失守12700 分析師：多頭調整非轉空</a>
<a href=""https://fnc.ebc.net.tw/FncNews/life/123516?from=yahooFNC"" target=""_blank"" rel=""nofollow noopener"">護國神山好威 台積電不但護台股還讓台南房價紅了</a>
<a href=""https://fnc.ebc.net.tw/FncNews/stock/123465?from=yahooFNC"" target=""_blank"" rel=""nofollow noopener"">權王壓盤台股盤下震盪 分析師：台積電未翻空 不要這麼嚴苛！"
2020-08-27T08:07:00.000Z,"」
&nbsp;
（封面圖／翻攝自youtube茜珊chienshannn）
更多東森財經新聞報導
<a href=""https://fnc.ebc.net.tw/FncNews/stock/124318?from=yahooFNC"" target=""_blank"" rel=""nofollow noopener"">長輩酸台積電「代工仔」不懂創品牌 內行神解：美國也投降</a>
<a href=""https://fnc.ebc.net.tw/FncNews/business/124316?from=yahooFNC"" target=""_blank"" rel=""nofollow noopener"">投資台積電就能穩賺不賠？ 網3字盛讚：後悔下車！"
2020-08-27T07:25:00.000Z,"
（封面圖／翻攝自google map）&nbsp;
更多東森財經新聞報導
<a href=""https://fnc.ebc.net.tw/FncNews/stock/124321?from=yahooFNC"" target=""_blank"" rel=""nofollow noopener"">30年經驗長輩給50萬把手教買股！"
2020-09-02T03:25:00.000Z,"
（封面圖／翻攝自謝金河臉書）
更多東森財經新聞報導
<a href=""https://fnc.ebc.net.tw/FncNews/headline/124477?from=yahooFNC"" target=""_blank"" rel=""nofollow noopener"">「豬事體大」這就是政治！"
2020-09-02T03:25:00.000Z,"
（封面圖／翻攝自謝金河臉書）
更多東森財經新聞報導
<a href=""https://fnc.ebc.net.tw/FncNews/headline/124477?from=yahooFNC"" target=""_blank"" rel=""nofollow noopener"">「豬事體大」這就是政治！"
2020-09-14T08:11:00.000Z,"
&nbsp;
（封面圖／東森財經資料照）
更多東森財經新聞報導
<a href=""https://fnc.ebc.net.tw/FncNews/business/125093?from=yahooFNC"" target=""_blank"" rel=""nofollow noopener"">美擴大「5G乾淨網路」計畫！"
2020-09-22T09:25:00.000Z,"
（封面圖／東森財經資料照）
更多東森財經新聞報導
<a href=""https://fnc.ebc.net.tw/FncNews/stock/125481?from=yahooFNC"" target=""_blank"" rel=""nofollow noopener"">晶圓雙雄挺身台股拚回月線 分析師：「2條線」不失守短線化險為安</a>
<a href=""https://fnc.ebc.net.tw/FncNews/headline/125394?from=yahooFNC"" target=""_blank"" rel=""nofollow noopener"">台積電考慮高雄設廠 高市府：全力協助廠商投資</a>
<a href=""https://fnc.ebc.net.tw/FncNews/business/125347?from=yahooFNC"" target=""_blank"" rel=""nofollow noopener"">台積電可望赴高雄投資！"
2020-09-26T03:13:00.000Z,"東森財經關心您</strong>
生命誠可貴，輕生不能解決問題，退一步想，可為生命找到出路！"
2020-09-26T03:13:00.000Z,"珍愛生命，請撥打1925自殺防治安心專線輕生防治諮詢安心專線：1925；張老師專線：1980
&nbsp;
（封面圖／翻攝自Google Maps）
更多東森財經新聞報導
<a href=""https://fnc.ebc.net.tw/FncNews/business/125746?from=yahooFNC"" target=""_blank"" rel=""nofollow noopener"">三級貧戶學徒做起！"
2020-09-26T03:13:00.000Z,"東森財經關心您</strong>
生命誠可貴，輕生不能解決問題，退一步想，可為生命找到出路！"
2020-09-26T03:13:00.000Z,"珍愛生命，請撥打1925自殺防治安心專線輕生防治諮詢安心專線：1925；張老師專線：1980
&nbsp;
（封面圖／翻攝自Google Maps）
更多東森財經新聞報導
<a href=""https://fnc.ebc.net.tw/FncNews/business/125746?from=yahooFNC"" target=""_blank"" rel=""nofollow noopener"">三級貧戶學徒做起！"
2020-11-10T06:32:00.000Z,"
&nbsp;
（封面圖／東森財經資料照）
更多東森財經新聞報導
<a href=""https://fnc.ebc.net.tw/fncnews/stock/127686?from=yahooFNC"" target=""_blank"" rel=""nofollow noopener"">電子失血 傳產、金融接棒奮起 分析師：聚焦「價值型」與「轉機」股</a>
<a href=""https://fnc.ebc.net.tw/fncnews/stock/127662?from=yahooFNC"" target=""_blank"" rel=""nofollow noopener"">聯電接單旺！"
2020-11-16T07:13:00.000Z,"
&nbsp;
（封面圖／東森新聞）
更多東森財經新聞報導
<a href=""https://fnc.ebc.net.tw/fncnews/stock/127974?from=yahooFNC"" target=""_blank"" rel=""nofollow noopener"">張忠謀身價水漲船高 退休持股市值大增逾300億元</a>
<a href=""https://fnc.ebc.net.tw/fncnews/business/127967?from=yahooFNC"" target=""_blank"" rel=""nofollow noopener"">紫光債務危機！"
2020-11-16T05:28:00.000Z,"
&nbsp;
（封面示意圖 非本人／unsplash）
更多東森財經新聞報導
<a href=""https://fnc.ebc.net.tw/fncnews/stock/127959?from=yahooFNC"" target=""_blank"" rel=""nofollow noopener"">台積衝472元天價！"
2020-11-20T02:29:00.000Z, ▼（圖／翻攝自Dcard） 網友看了則紛紛留言「有些文組不工作都能靠家裡活一輩子，要不是缺錢誰想讀電機」、「好了啦，不錯了，至少比我這爆肝公務員好」、「何止體力活，還很吃精神，離開要去哪」、「如果沒有有錢的父母或中樂透，相信我，9成以上的人會繼續」，但也有人直言「等到35歲也沒地方可以去了，所以你會一直待下去的」、「其他工作要你賣肝還賣不到年薪百萬」、「只能當輪班設備仔就這樣啊」、「能有設備輪不錯了，自以為是什麼頂尖人材嗎？」 （封面圖／東森財經資料照）更多東森財經新聞報導11月外資回來了！
2020-11-27T01:34:00.000Z, （封面圖／東森財經資料照）更多東森財經新聞報導網批北市公宅「驚嚇大禮包」 多領1個月年終「租金4萬秒變4萬7」鴻海取消實體尾牙「改線上進行」 劉揚偉：年終維持往常看卡通被甩！
2020-12-01T06:57:00.000Z, （封面示意圖 與本文無關／pixabay）更多東森財經新聞報導「台積電分紅」出爐！
2020-12-02T07:15:00.000Z, （封面圖／東森財經資料照）更多東森財經新聞報導30K薪水全給妻子！
2020-12-04T04:27:00.000Z, （封面圖／東森財經資料照） 更多東森財經新聞報導鴻海營收寫新高！
2020-11-27T01:34:00.000Z, （封面圖／東森財經資料照）更多東森財經新聞報導網批北市公宅「驚嚇大禮包」 多領1個月年終「租金4萬秒變4萬7」鴻海取消實體尾牙「改線上進行」 劉揚偉：年終維持往常看卡通被甩！
2020-12-01T06:57:00.000Z, （封面示意圖 與本文無關／pixabay）更多東森財經新聞報導「台積電分紅」出爐！
2020-12-02T07:15:00.000Z, （封面圖／東森財經資料照）更多東森財經新聞報導30K薪水全給妻子！
2020-12-04T04:27:00.000Z, （封面圖／東森財經資料照） 更多東森財經新聞報導鴻海營收寫新高！
2020-12-09T02:50:00.000Z,」 （封面圖／東森財經資料照）更多東森財經新聞報導不只鴻海！
2020-12-10T03:14:00.000Z, （封面圖／Pixabay）更多東森財經新聞報導台積電股價盤中下跌1.92％ 市值一度縮水2593億元晶圓代工產能全球瘋搶 日媒：不只台積電 聯電都滿到Q2AirPods Max遭嫌「又貴又重」依然秒殺售罄！
2020-12-11T04:41:00.000Z,（封面圖／東森財經資料照）證交所打臉開罰30萬！
2020-12-15T05:52:00.000Z, （封面圖／東森財經資料照）更多東森財經新聞報導蔣尚義轉戰中芯國際 劉德音：尊重祝福雙王破冰！
2020-12-16T02:15:00.000Z, （封面圖／翻攝自中芯國際）更多東森財經新聞報導金融股還能存！
2020-12-17T11:06:00.000Z,前台積電營運長蔣尚義回鍋中芯國際，引發中芯人事內訌，讓同樣具有台積電背景、現任中芯聯合執行長梁孟松不滿請辭，外界除了關心「一山難容二虎」的內幕，也好奇梁孟松離開後，會對中芯造成什麼影響？力積電（6770）董事長黃崇仁接受東森財經《理財達人秀》專訪時，則對此直言「中芯國際麻煩大了」。
2020-12-17T09:14:00.000Z, （封面示意圖／翻攝自中芯國際官網）更多東森財經新聞報導中芯國際高層大地震！
2020-12-18T08:02:00.000Z, （封面圖／東森財經資料照）更多東森財經新聞報導作品爆紅也沒用！
2020-12-22T04:19:00.000Z, （封面圖／東森財經資料照） 更多東森財經新聞報導人妻上美容院「欠200萬」 丈夫痛哭：月薪17K怎麼還？應徵上台積電！
2020-12-22T03:10:00.000Z, （封面圖／翻攝自中芯國際官網、集微網微博）更多東森財經新聞報導中芯遭美方制裁！
2020-12-28T02:45:00.000Z, （封面圖／東森財經資料照）更多東森財經新聞報導萬豪酒店變「朕豪酒店」？試營運前夕突改名 原因曝光台積電美5奈米廠 傳由「生哥」領軍統籌 初估投入600人高雄女居檢14天無症狀！
2021-01-04T05:35:00.000Z, （封面圖／東森財經資料照）更多東森財經新聞報導賓士離職男報復老闆！
2021-01-04T05:35:00.000Z, （封面圖／東森財經資料照）更多東森財經新聞報導賓士離職男報復老闆！
