PublishDate,Sentence
2018-09-21T07:13:00.000Z, 個股方面，基士德-KY (6641) 今日以每股75元上市，多頭挾著未來在大陸環保產業政策發展下，營運展望樂觀，今日跳空開高，晨盤最高一度衝至85.6元，漲幅逾13%，蜜月行情甜滋滋，終場漲幅達10%。
2018-11-12T01:59:00.000Z, 13.基士德-KY (6641) ：前三季淨利近倍增，每股盈餘5.6元，開盤走高，漲幅5%。
2019-03-15T07:09:00.000Z,而高殖利率、財報喜訊股也獲投資人傾心，事欣科 (4916) 、貿聯 (3665) 、聯茂 (6213) 、基士德-KY (6641) 、信錦 (1582) 、運錩 (2069) 股價皆喜孜孜。
2019-06-18T00:25:00.000Z,自2019年06月18日起至2019年06月21日暫停融券賣出四個營業日的證券如下：(1707)葡萄王、(1711)永光、(1906)寶隆、(2107)厚生、(2330)台積電、(2722)夏都、(2727)王品、(3048)益登、(3416)融程電、(4722)國精化、(6024)群益期、(6164)華興、(6641)基士德-KY。
2019-06-21T09:07:00.000Z,"108年6月24日除息影響加權股價指數108年6月24日計1707葡萄王、1711永光、1906寶隆、2107厚生、2330台積電、2722夏都、2727王品、3048益登、3416融程電、4722國精化、6024群益期、6164華興、6641基士德-KY等13檔股票除息交易，其中台積電發行市值將減少約2,074億元，占發行量加權股價指數約69.3點，前述13檔指數採樣股票除息後，減少市值占發行量加權股價指數約70.3點。"
2019-06-24T07:04:00.000Z,其中：台積電 (2330) 收漲0.21%、永光 (1711) 收漲0.91%、寶隆 (1906) 收漲1.15%、厚生 (2107) 收漲2.32%、夏都 (2722) 收漲2.64%、王品 (2727) 收漲0.75、益登 (3048) 收漲1.93%、國精化 (4722) 收漲0.71%、群益期 (6024) 收漲1.58%；華興 (6164) 收跌0.14%、葡萄王 (1707) 收跌0.47%、融程電 (3416) 收跌0.76%；基士德-KY (6641) 則持平。
2019-06-24T03:44:00.000Z,　台積電一早開盤一度小貼息，最低240元小跌0.5元，不過，很快就收復平盤並呈現小漲0.5元的走勢，其他今天也除息的個股，至上午10點半過後，包括葡萄王、永光、寶隆、夏都、厚生、國精化、群益期、基士德-KY等多數個股均賣力填息，填息股也多是傳產股為主。
2019-12-05T07:08:05.000Z,其他個股鮮活 (1256) 、傳奇 (4994) 、基士德-KY (6641) 等財報利多，股價也大步向前行。
2019-12-05T07:08:00.000Z,其他個股鮮活 (1256) 、傳奇 (4994) 、基士德-KY (6641) 等財報利多，股價也大步向前行。
2020-01-02T02:18:01.000Z,"
17.基士德-KY (6641) ：去年Q4業績看增、12月營收受期待，今日突破盤整區間直攻70元門前，紅盤氣勢強。"
2020-01-02T02:18:00.000Z, 17.基士德-KY (6641) ：去年Q4業績看增、12月營收受期待，今日突破盤整區間直攻70元門前，紅盤氣勢強。
2020-01-02T02:18:01.000Z,"
17.基士德-KY (6641) ：去年Q4業績看增、12月營收受期待，今日突破盤整區間直攻70元門前，紅盤氣勢強。"
2020-01-02T02:18:00.000Z, 17.基士德-KY (6641) ：去年Q4業績看增、12月營收受期待，今日突破盤整區間直攻70元門前，紅盤氣勢強。
