PublishDate,Sentence
2017-03-14T07:07:00.000Z,今日外資買超87.4142億元，投信賣超0.8033億元，自營商賣超1.0745億元，三大法人買超85.53億元。
2018-12-04T07:15:00.000Z,無人機產品明年產值上看1億元的雷虎 (8033) 、獲5G基建訂單的泰碩 (3338) 、營運看俏的振樺電 (8114) 、不畏外資狂砍的巨大 (9921) 、11月營收再登峰的西勝 (3625) 、國際大廠力拱的義隆 (2458) 、內外資齊按讚的頎邦 (6147) 、營運轉骨的味全 (1201) 、NAND封測需求明顯轉強的華泰 (2329) 等個股股價均昂首闊步。
2018-12-04T02:11:00.000Z, 6.雷虎 (8033) ：無人機產品明年產值上看1億元，股價激揚，漲升3%。
2018-12-04T07:15:00.000Z,無人機產品明年產值上看1億元的雷虎 (8033) 、獲5G基建訂單的泰碩 (3338) 、營運看俏的振樺電 (8114) 、不畏外資狂砍的巨大 (9921) 、11月營收再登峰的西勝 (3625) 、國際大廠力拱的義隆 (2458) 、內外資齊按讚的頎邦 (6147) 、營運轉骨的味全 (1201) 、NAND封測需求明顯轉強的華泰 (2329) 等個股股價均昂首闊步。
2018-12-04T02:11:00.000Z, 6.雷虎 (8033) ：無人機產品明年產值上看1億元，股價激揚，漲升3%。
2019-05-02T02:11:00.000Z, 14.雷虎 (8033) ：受惠旗下雷虎生技業績衝高，股價服下大補丸，開盤後一舉跨過10元關卡，一度漲停。
2019-05-02T02:11:00.000Z, 14.雷虎 (8033) ：受惠旗下雷虎生技業績衝高，股價服下大補丸，開盤後一舉跨過10元關卡，一度漲停。
2019-05-06T02:13:00.000Z, 21.雷虎 (8033) ：中華電信合作案+雷虎生技股利利多，漲風止不住，大拉半根漲停板。
2019-06-27T02:03:00.000Z, 14.雷虎 (8033) ：營運射三箭，全年拚轉盈，早盤大漲3%。
2019-06-27T02:03:00.000Z, 14.雷虎 (8033) ：營運射三箭，全年拚轉盈，早盤大漲3%。
