PublishDate,Sentence
2017-01-25T07:37:00.000Z,  美系外資點名12檔台股在年後布局，包括：台積電 (2330) 、大立光 (3008) 、台化 (1326) 、中信金 (2891) 、統一超 (2912) 、億豐 (8464) 、緯創 (3231) 、川湖 (2059) 、寶雅 (5904) 、樺漢 (6414) 、百和 (9938) 、日友 (8341) 。
2017-01-25T07:37:00.000Z,  美系外資點名12檔台股在年後布局，包括：台積電 (2330) 、大立光 (3008) 、台化 (1326) 、中信金 (2891) 、統一超 (2912) 、億豐 (8464) 、緯創 (3231) 、川湖 (2059) 、寶雅 (5904) 、樺漢 (6414) 、百和 (9938) 、日友 (8341) 。
2017-05-09T06:49:00.000Z,  盤面上，友達 (2409) 4月營收受部分客戶的季底拉貨比較保守與新台幣持續升值的影響，年增7.6%、月減10.5%，昨夜ADR重挫8.23%，衝擊今日友達帶量重挫逾4.5%，拖累群創 (3481) 跟跌逾4%，加上彩晶 (6116) 、奇美材 (4960) 、今國光 (6209) 、亞光 (3019) 等紛紛大跌，股王大立光 (3008) 也於盤中翻黑走弱，光電類指今日跌0.7%，成為台股拖油瓶。
2017-06-01T00:57:00.000Z,日期：2017年 6月 1日※本日焦點股長盛、牧德、日友、中裕、致伸、旺宏、和大、貿聯-KY、佳凌、帆宣、聖暉、新唐、創見、可寧衛、漢唐※昨日盤勢解析希臘債務七月到期、義大利執政黨擬發動國會改選，政治風險升溫，週二西歐三大指數下跌。
2017-06-01T00:57:00.000Z,日期：2017年 6月 1日※本日焦點股長盛、牧德、日友、中裕、致伸、旺宏、和大、貿聯-KY、佳凌、帆宣、聖暉、新唐、創見、可寧衛、漢唐※昨日盤勢解析希臘債務七月到期、義大利執政黨擬發動國會改選，政治風險升溫，週二西歐三大指數下跌。
2017-08-14T02:45:00.000Z,  花旗環球證的最新台股買進名單為:台積電 (2330) 、鴻海 (2317) 、大立光 (3008) 、中信金 (2891) 、億豐 (8464) 、美食-KY (2723) 、中裕 (4147) 、日友 (8341) 等。
2017-10-18T15:10:00.000Z,另外早於2015年9月1日到12月14日間亦處分5335張台積電股票；平均每股133.31元；交易總金額達7億1120萬9000元，處分利益高達6億3515萬8341元。
2017-11-30T02:02:00.000Z,  7.日友 (8341) ：法人看好今年營收、獲利有望再創高，股價回檔吸引買盤補貨，早盤彈升逾3%。
2017-11-30T02:02:00.000Z,  7.日友 (8341) ：法人看好今年營收、獲利有望再創高，股價回檔吸引買盤補貨，早盤彈升逾3%。
2018-03-27T07:06:00.000Z,潤泰新 (9945) 配息加減資，股東每股可領回6元現金，多頭樂不可支，領軍集團股潤弘 (2597) 、日友 (8341) 等跟進走高。
2018-04-23T02:08:00.000Z,  10.日友 (8341) ：環保需求看好+股價跌深，早盤啟動反彈走勢，漲幅超過1%。
2018-07-31T02:44:00.000Z,歐美返校旺季即將來臨，蘋果新機也進入拉貨潮，科技股可望受惠，法人已提前卡位台廠相關供應鏈，今日友達 (2409) 逆勢小漲、英業達 (2356) 守住平盤，表現相對平穩。
2018-07-31T02:44:00.000Z,歐美返校旺季即將來臨，蘋果新機也進入拉貨潮，科技股可望受惠，法人已提前卡位台廠相關供應鏈，今日友達 (2409) 逆勢小漲、英業達 (2356) 守住平盤，表現相對平穩。
2018-08-08T02:11:00.000Z, 11.日友 (8341) ：環保商機機想像空間大且長，股價修正後今早上漲近3%，叩關250元並創波段高點。
2019-01-21T02:06:00.000Z, 14.日友 (8341) ：今、明年業績加速，股價強勢穩在250元附近，走高1%。
2019-04-24T02:09:00.000Z, 20.日友 (8341) ：第二座焚化爐運轉在即，後市添活水，250元附近有支撐，5日線上方游走。
2019-04-25T02:03:00.000Z, 10.日友 (8341) ：彰濱二廠將投入營運，Q2營收動能添柴，買單捧場，股價拚穩在265元。
2019-09-17T02:05:07.000Z,"
16.日友 (8341) ：業績持穩且後市看好，今早開高一舉逼近280元，創2個多月高點。"
2019-09-17T02:05:00.000Z, 16.日友 (8341) ：業績持穩且後市看好，今早開高一舉逼近280元，創2個多月高點。
2019-10-02T09:14:35.000Z,"
26.日友 (8341) ：每股成交價269.63元，成交量7萬7000股，成交金額2076萬1510元。"
2019-10-04T02:08:04.000Z,"
11.日友 (8341) ：水處理工程及操作營運專案收益穩定，全年表現平穩，股價自280元一路下探跌幅已深，早盤反彈1.5%。"
2019-10-04T02:08:00.000Z, 11.日友 (8341) ：水處理工程及操作營運專案收益穩定，全年表現平穩，股價自280元一路下探跌幅已深，早盤反彈1.5%。
2019-10-02T09:14:35.000Z,"
26.日友 (8341) ：每股成交價269.63元，成交量7萬7000股，成交金額2076萬1510元。"
2019-10-04T02:08:04.000Z,"
11.日友 (8341) ：水處理工程及操作營運專案收益穩定，全年表現平穩，股價自280元一路下探跌幅已深，早盤反彈1.5%。"
2019-10-04T02:08:00.000Z, 11.日友 (8341) ：水處理工程及操作營運專案收益穩定，全年表現平穩，股價自280元一路下探跌幅已深，早盤反彈1.5%。
2019-10-31T09:15:08.000Z,"
25.日友 (8341) ：每股成交價259.8元，成交量11萬7742股，成交金額3058萬9372元。"
2019-10-31T09:15:08.000Z,"
26.日友 (8341) ：每股成交價259.7元，成交量24萬1258股，成交金額6265萬4703元。"
2019-10-31T09:15:08.000Z,"
25.日友 (8341) ：每股成交價259.8元，成交量11萬7742股，成交金額3058萬9372元。"
2019-10-31T09:15:08.000Z,"
26.日友 (8341) ：每股成交價259.7元，成交量24萬1258股，成交金額6265萬4703元。"
2019-11-13T09:13:36.000Z,"
22.日友 (8341) ：每股成交價255.25元，成交量13萬6000股，成交金額3471萬4000元。"
2019-12-18T09:14:17.000Z,"
34.日友 (8341) ：每股成交價234.86元，成交量7萬股，成交金額1644萬200元。"
2019-12-26T07:09:51.000Z,還有精測、柏文 (8462) 、川湖 (2059) 、聯德控股-KY (4912) 、M31、訊連 (5203) 、全新 (2455) 、力旺、聯茂 (6213) 、鐿鈦、致茂 (2360) 、台燿、日友 (8341) 、聯詠 (3034) 等股價均力挺多方上揚。
2019-12-26T07:09:00.000Z,還有精測、柏文 (8462) 、川湖 (2059) 、聯德控股-KY (4912) 、M31、訊連 (5203) 、全新 (2455) 、力旺、聯茂 (6213) 、鐿鈦、致茂 (2360) 、台燿、日友 (8341) 、聯詠 (3034) 等股價均力挺多方上揚。
2020-01-03T01:52:00.000Z, 4.日友 (8341) ：北京二廠挹注動能，加上台商回流帶來廢棄物處理商機，股價走高至240元之上，再戰反壓區。
2020-01-03T01:52:00.000Z, 4.日友 (8341) ：北京二廠挹注動能，加上台商回流帶來廢棄物處理商機，股價走高至240元之上，再戰反壓區。
2020-02-17T09:13:37.000Z,"
21.日友 (8341) ：每股成交價261元，成交量8萬4000股，成交金額2192萬4000元。"
2020-02-17T09:13:37.000Z,"
22.日友 (8341) ：每股成交價260.86元，成交量5萬8000股，成交金額1512萬9880元。"
2020-02-17T09:13:37.000Z,"
23.日友 (8341) ：每股成交價260.81元，成交量5萬8000股，成交金額1512萬6980元。"
2020-02-19T09:17:27.000Z,"
33.日友 (8341) ：每股成交價259.25元，成交量7萬6000股，成交金額1970萬3000元。"
2020-03-04T09:18:23.000Z,"
22.日友 (8341) ：每股成交價254.5元，成交量10萬股，成交金額2545萬元。"
2020-03-04T09:18:23.000Z,"
23.日友 (8341) ：每股成交價254元，成交量11萬5000股，成交金額2921萬元。"
2020-03-04T09:18:23.000Z,"
22.日友 (8341) ：每股成交價254.5元，成交量10萬股，成交金額2545萬元。"
2020-03-04T09:18:23.000Z,"
23.日友 (8341) ：每股成交價254元，成交量11萬5000股，成交金額2921萬元。"
2020-03-10T09:15:53.000Z,24.日友 (8341) ：每股成交價239.25元，成交量52萬9000股，成交金額1億2656萬3250元。
2020-04-06T00:01:17.000Z,潤泰新受惠轉投資南山人壽、日友環保所貢獻，去年EPS達9.35元，創史上新高，現金股利1元、股票5元，合計共6元，殖利率突破14％，題材吸金。
2020-04-10T09:12:32.000Z,10.日友 (8341) ：每股成交價237.25元，成交量6萬4000股，成交金額1518萬4000元。
