PublishDate,Sentence
2017-06-06T06:18:00.000Z,大同 (2371) 受惠綠電交易題材，今放量突破半年線，終場收在今日最高點12.7元、漲幅6.28%。
2017-06-14T03:11:00.000Z,  此外，針對綠電，蔡明忠也直言，政府努力不夠。
2017-06-14T03:11:00.000Z,舉德國為例，他們在家都能安裝太陽能板，而且變成全民運動，如果民眾都能認同，一定是因為政府釋出誘因；台灣也一樣，政府正在發展離岸風力發電，除了政府努力，民間甚至民眾也要全力支持，像是購買綠電，企業大戶像台積電 (2330) 就是全台最大購買綠電的企業。
2017-06-14T03:11:00.000Z,蔡明忠建議，若能鼓勵民眾自動自發購買綠電，最起碼綠電需要獎勵措施，才能讓能源問題變成全民運動。
2017-10-17T00:01:00.000Z,"　台積電實際行動落實環保愛台灣，累計台積電自2015年迄今，已認購4億度綠電，相當於2,116萬顆樹一年的碳吸收量。"
2018-01-12T07:16:00.000Z,　股王大立光 (3008) 上季財報驚豔全場，盤中強攻漲停板，帶動光學元件股亞光 (3019) 、玉晶光 (3406) 、華晶科 (3059) 等同步回暖，同屬蘋果三傑的鴻海 (2317) 、台積電 (2330) 亦聯袂走揚；太陽能族群在行政院再生能源修法拍板，用電大戶強制用綠電政策利多下，昇陽科 (3561) 、昱晶 (3514) 、茂迪 (6244) 、新日光 (3576) 、太極能 (4934) 等全數走揚。
2018-08-15T23:48:00.000Z,"半導體龍頭大廠台積電 (2330) 投資逾6,000億元的3奈米廠確定落腳南科台南園區，環保署環評專案小組昨（15）日審查南科管理局提出的環差案，台積電掛水電雙保證，承諾未來20％使用綠電、每日使用再生水7.3萬噸，環評小組因此一次過關，這是近年來重大開發案中少見現象，估最快2022年底或2023年初量產。"
2018-08-15T23:48:00.000Z,」　台積電掛出水電雙保證，莊子壽指出，一直以來，台積電相當支持政府綠能政策，也是重承諾的公司，允諾20％使用綠電，「會把綠電接到廠內使用」，而且現在已經和風能投資公司簽署備忘錄，如果太陽能電廠有大型電廠，也會積極合作，「自己不會做，也會找別人來做」，避免台積電的龐大用電量造成台電調度困難。
2018-11-26T07:15:00.000Z,九合一選戰結果執政黨慘敗，且公投以核養綠議案過關，市場解讀兩岸僵局和綠電政策可能調整，台股由選前觀望氣氛轉為偏多，早盤包括觀光、半導體、汽車及光電和玻璃等聯手開趴，三大指標股台積電 (2330) 、大立光 (3008) 和鴻海 (2317) 亦強勢表態，領軍多頭向前衝。
2018-11-26T03:03:00.000Z,九合一選戰結果執政黨慘敗，而公投顯示民眾支持以核養綠，市場解讀兩岸僵局和綠電政策可能調整，台股由選前觀望氣氛轉為偏向多方。
