PublishDate,Sentence
2019-05-18T04:33:00.000Z,其中，台灣證券交易所21日和22日下午將舉辦「外國上市公司財務業務說明會」，邀請半導體整流功率分離式元件廠虹揚-KY (6573) 、零售商業活動服務商大洋-KY (5907) 、成人及嬰兒紙尿褲廠商泰昇-KY (8480) 以及房地產開發及營運商鼎固-KY (2923) 等。
2019-08-08T07:11:29.000Z,其他類股中，美利達 (9914) 挾帶業績可期題材，快跑順利完成填息，自行車雙雄另一成員巨大 (9921) 也翻紅上揚；鼎炫-KY (8499) 、泰昇-KY (8480) 也因基本面佳，股價在震盪中闖出紅盤路，億豐 (8464) 更是衝上漲停。
2019-08-08T07:11:00.000Z,其他類股中，美利達 (9914) 挾帶業績可期題材，快跑順利完成填息，自行車雙雄另一成員巨大 (9921) 也翻紅上揚；鼎炫-KY (8499) 、泰昇-KY (8480) 也因基本面佳，股價在震盪中闖出紅盤路，億豐 (8464) 更是衝上漲停。
2019-08-21T03:31:00.000Z,　據統計，採取季季配的有台積電、光寶科技、昆盈企業、晶電、光群雷射、興富發、晶華酒店、閎暉、敦泰、三福化工、聯德控股-KY、傳奇、華興電子、宏正科、福貞-KY、波力-KY及泰昇-KY等17家。
2019-09-05T02:07:00.000Z, 19.泰昇-KY (8480) ：第三季毛利率看升，惟130元上方有壓，多方在此紮營，伺機再突破。
2019-12-10T09:18:03.000Z,16.泰昇-KY (8480) ：每股成交價138元，成交量15萬股，成交金額2070萬元。
2019-12-16T02:05:00.000Z, 12.泰昇-KY (8480) ：12月營收仍有高點可期，股價處高檔整理多方開始蠢動，漲幅超過1%。
2020-03-30T09:11:51.000Z,13.泰昇-KY (8480) ：每股成交價116.86元，成交量15萬7000股，成交金額1834萬7020元。
2020-03-30T09:11:51.000Z,14.泰昇-KY (8480) ：每股成交價116.79元，成交量19萬3000股，成交金額2254萬470元。
2020-05-22T09:11:29.000Z,8.泰昇-KY (8480) ：每股成交價136元，成交量20萬股，成交金額2720萬元。
