PublishDate,Sentence
2018-12-07T02:14:00.000Z, 15.鼎炫-KY (8499) ：11月合併營收創歷史新高，股價歡呼，上漲5%。
2019-01-07T07:13:00.000Z,自行車族群受惠需求回溫，今年營運看旺，巨大 (9921) 、美利達 (9914) 領軍，日馳 (1526) 等跟風，紛紛衝鋒收紅盤，上銀 (2049) 、和大 (1536) 、鼎炫-KY (8499) 也因去年營運創新高，股價飛揚。
2019-01-15T02:15:00.000Z, 8.鼎炫-KY (8499) ：上月、上季營收創新高，高檔整理結束，今早成功進入百元俱樂部。
2019-03-25T01:59:00.000Z, 16.鼎炫-KY (8499) ：今年營運逐季成長+股利題材，上周五股價創下16個月新高後，今早續強在125元高檔徘徊。
2019-04-11T01:34:00.000Z,　新增的32位百元股新成員，分別為奇力新 (2456) 、中租-KY (5871) 、健鼎 (3044) 、易華電 (6552) 、訊芯-KY (6451) 、健策 (3653) 、台光電 (2383) 、瑞儀 (6176) 、新日興 (3376) 、信邦 (3023) 、鼎炫-KY (8499) 、裕融 (9941) 、揚明光 (3504) 、GIS-KY (6456) 、晶心科 (6533) 、鋼聯 (6581) 、緯穎 (6669) 、晶睿 (3454) 、眾達-KY (4977) 、漢唐 (2404) 、康控-KY (4943) 、寶齡富錦 (1760) 、上緯投控 (3708) 、矽創 (8016) 、臻鼎-KY (4958) 、柏文 (8462) 、牧德 (3563) 、台塑 (1301) 、達興材料 (5234) 、振樺電 (8114) 、台化 (1326) 、大統益 (1232) 。
2019-04-23T02:07:00.000Z, 10.鼎炫-KY (8499) ：雙事業升溫，Q2動能可期，股價持續彈升，開盤後漲幅約3%。
2019-07-08T07:22:21.000Z,"
今日集中市場漲幅前10名為:吉祥全 (2491) 漲9.99%、星通 (3025) 漲9.93%、鼎炫-KY (8499) 漲9.90%、茂林-KY (4935) 漲9.52%、欣巴巴 (9906) 漲9.22%、羅麗芬 (6666) 漲8.85%、佳能 (2374) 漲8.75%、中化生 (1762) 漲8.45%、虹堡 (5258) 漲7.75%、台表科 (6278) 漲7.13%。"
2019-07-08T07:22:21.000Z,鼎炫-KY6月營收為1.62億元，為今年來單月新高，年增36.81％，累計第二季達4.57億元，豋次高，年增率達32.2％，Q3為傳統旺季，今日爆量收111元。
2019-07-08T07:22:00.000Z, 今日集中市場漲幅前10名為:吉祥全 (2491) 漲9.99%、星通 (3025) 漲9.93%、鼎炫-KY (8499) 漲9.90%、茂林-KY (4935) 漲9.52%、欣巴巴 (9906) 漲9.22%、羅麗芬 (6666) 漲8.85%、佳能 (2374) 漲8.75%、中化生 (1762) 漲8.45%、虹堡 (5258) 漲7.75%、台表科 (6278) 漲7.13%。
2019-07-08T07:22:00.000Z,鼎炫-KY6月營收為1.62億元，為今年來單月新高，年增36.81％，累計第二季達4.57億元，豋次高，年增率達32.2％，Q3為傳統旺季，今日爆量收111元。
2019-07-08T02:32:34.000Z,"
18.鼎炫-KY (8499) ：6月營收登今年新高，EMI材料事業第三季步入傳統出貨旺季，多方強勢表態，股價突破110元關卡、漲幅近9%。"
2019-07-08T02:32:00.000Z, 18.鼎炫-KY (8499) ：6月營收登今年新高，EMI材料事業第三季步入傳統出貨旺季，多方強勢表態，股價突破110元關卡、漲幅近9%。
2019-08-08T07:11:29.000Z,其他類股中，美利達 (9914) 挾帶業績可期題材，快跑順利完成填息，自行車雙雄另一成員巨大 (9921) 也翻紅上揚；鼎炫-KY (8499) 、泰昇-KY (8480) 也因基本面佳，股價在震盪中闖出紅盤路，億豐 (8464) 更是衝上漲停。
2019-08-08T07:11:00.000Z,其他類股中，美利達 (9914) 挾帶業績可期題材，快跑順利完成填息，自行車雙雄另一成員巨大 (9921) 也翻紅上揚；鼎炫-KY (8499) 、泰昇-KY (8480) 也因基本面佳，股價在震盪中闖出紅盤路，億豐 (8464) 更是衝上漲停。
2019-08-20T02:07:00.000Z, 9.鼎炫-KY (8499) ：今年營收逐月向上，H2新機種材料將有一波拉貨，股價繼續反應利多，突破前高132元。
2019-08-23T02:09:16.000Z,"
15.鼎炫-KY (8499) ：7月每股賺0.94元，股價頻創高漲多，今早表現收斂，退守到140元之下蓄勢。"
2019-08-23T02:09:00.000Z, 15.鼎炫-KY (8499) ：7月每股賺0.94元，股價頻創高漲多，今早表現收斂，退守到140元之下蓄勢。
2019-11-07T07:15:42.000Z,而財報或展望利多股，如辛耘 (3583) 、台船 (2208) 、智伸科 (4551) 、卜蜂 (1215) 、鼎炫-KY (8499) 、聯詠 (3034) 、傳奇 (4994) 、泰鼎-KY (4927) 、三發地產 (9946) 、光群雷 (2461) 、南茂 (8150) 、慶豐富 (9935) 、潤泰材 (8463) 等齊步喜孜孜。
2019-11-07T07:15:00.000Z,而財報或展望利多股，如辛耘 (3583) 、台船 (2208) 、智伸科 (4551) 、卜蜂 (1215) 、鼎炫-KY (8499) 、聯詠 (3034) 、傳奇 (4994) 、泰鼎-KY (4927) 、三發地產 (9946) 、光群雷 (2461) 、南茂 (8150) 、慶豐富 (9935) 、潤泰材 (8463) 等齊步喜孜孜。
2020-02-11T01:56:00.000Z,  16.鼎炫-KY (8499) ：元月營收創歷年同期高，買盤回籠，今早上揚近3%。
