PublishDate,Sentence
2017-02-11T07:42:00.000Z,　若以去年現金殖利率4％以上、近4年現金發放率高於6成，台股中就有好幾百檔，因此進一步以去年前3季EPS已經優於2015年全年者篩選，以及預估第4季EPS為正者，精選出包含台塑化、台化、全國電、新至陞、聚積、富晶通、友通、宏全、世界、崇友、長虹、泰銘、上奇，及已經公布股利的新唐等47檔。
2017-03-17T00:59:00.000Z,日期：2017年 3月17日※本日焦點股美律、國泰金、宜鼎、可成、立積、台苯、聯茂、瀚荃、精元、盛群、盟立、威剛、勝一、久威、西勝、偉訓、雷科、泰銘※昨日盤勢解析歐股週三收盤前仍觀望美國利率決策、荷蘭大選，西歐三大指數小幅上漲。
2017-06-02T00:59:00.000Z,日期：2017年 6月 2日※本日焦點股新日興、奇力新、倉佑、環宇-KY、環球晶、偉訓、英利-KY、牧德、南亞科、同亨、聖暉、西勝、亞泰、宇瞻、瀧澤科、泰銘※昨日盤勢解析市調機構 YouGov 報告顯示，英國執政的保守黨可能無法在國會單獨過半，增加政治不確定性；受義大利可能提前大選影響，週三銀行類股領跌，西歐三大指數小幅漲跌。
2017-06-02T00:59:00.000Z,日期：2017年 6月 2日※本日焦點股新日興、奇力新、倉佑、環宇-KY、環球晶、偉訓、英利-KY、牧德、南亞科、同亨、聖暉、西勝、亞泰、宇瞻、瀧澤科、泰銘※昨日盤勢解析市調機構 YouGov 報告顯示，英國執政的保守黨可能無法在國會單獨過半，增加政治不確定性；受義大利可能提前大選影響，週三銀行類股領跌，西歐三大指數小幅漲跌。
2018-05-30T00:10:00.000Z,國巨股價站上千元以上，成為台股新股后，市場期待國巨董事長陳泰銘在6月5日的股東會上現身說法，但國巨發出通知，表示今年股東會將謝絕媒體聯訪。
2018-05-30T00:10:00.000Z,　被動元件大廠國巨6月5日將召開股東常會，今年依照往例，僅開放給持有開會通知或是委託書的股東進場，並未對外開放給媒體採訪，也禁止錄音、錄影，不過國巨股價已經站穩千元，成為台股雙千金之一，往年在國巨股東會後，董事長陳泰銘以及執行長張綺雯，會開放短暫時間，讓眾多媒體聯訪，今年國巨取消媒體聯訪時段。
2018-05-30T00:10:00.000Z,　6月5日堪稱台股第一波超級股東會，重量級大廠台積電 （2330） 、國巨 （2327） 均在同一天召開股東常會，國巨董事長陳泰銘去年在股東常會上，第一次釋出被動元件水位庫存腰斬的說法，當時MLCC的存貨水位已經從75～90天，下滑到45天，目前連45天都不到，也就是過去一年，存貨水位沒有拉升過，今年連電阻的供應都趨向吃緊，整體被動元件供需缺口更甚去年。
2018-06-05T07:09:00.000Z,　台股權王台積電今日召開股東會，晶圓教父張忠謀將正式退休，強調台積電會再創奇蹟，股價表現穩健；股王大立光 (3008) 盤中轉強，帶動光學股玉晶光 (3406) 、亞光 (3019) 勁彈，新鉅科 (3630) 連拉第2根漲停；股后國巨 (2327) 董座陳泰銘今日在股東會表示，MLCC缺貨至2019年都無解，惟股價漲多拉回，拖累被動元件族群奇力新 (2456) 、華新科 (2492) 、禾伸堂 (3026) 、大毅 (2478) 跟進下殺。
2018-06-05T06:43:00.000Z,股后國巨今日亦召開股東會，董座陳泰銘表示，預估MLCC缺貨至2019年都無解，並指出併購普思是為脫離OEM格局，要打零組件的世界盃，惟今日漲多賣壓強硬，股價開高收低於1025元、跌幅達4.21%。
2018-06-06T06:56:00.000Z,被動元件仍是多頭重心，國巨董事長陳泰銘指MLCC供需缺口到2019年都無解，其股價再創天價來到1125元，華新科 (2492) 、禾伸堂 (3026) 聯袂大漲亮紅燈。
2018-06-06T06:33:00.000Z,  目前被動元件仍是多頭重心，被動元件股王國巨 (2327) 董事長陳泰銘指MLCC供需缺口無法彌平，到2019年都無解，股價漲停再創新天價，包括華新科 (2492) 、禾伸堂 (3026) 聯袂大漲。
2018-06-06T03:38:00.000Z,  目前被動元件仍是多頭重心，被動元件股王國巨 (2327) 董事長陳泰銘指MLCC供需缺口不僅無法彌平，到2019年都無解，股價大漲逾8%再創天價逾1100元，包括華新科 (2492) 、禾伸堂 (3026) 聯袂大漲；以及目前LED族群接棒上攻。
2018-06-12T07:15:00.000Z,　盤面上以電子股為交投重心，權值股漲跌互見，股王大立光 (3008) 開高走低，台積電 (2330) 擺尾收高、鴻海 (2317) 持穩有撐，股后國巨 (2327) 董座陳泰銘雖看好被動元件供不應求，惟高檔獲利了解賣壓出籠致股價一度跌停，拖累被動元件族群華新科 (2492) 與禾伸堂 (3026) 等拉回，奇力新 (2445) 、華容 (5238) 、智寶 (2375) 則逆勢攻高；光碟雙雄中環 (2323) 與錸德 (2349) 出現漲多回檔。
2019-06-05T07:08:00.000Z,　蘋概股天王台積電 (2330) 今敲響股東會大戲，會中釋出中長期半導體景氣仍看好訊息，帶動今日股價走揚，惟盤中漲勢收斂，衝擊大立光 (3008) 、鴻海 (2317) 虎頭蛇尾雙雙翻黑；另一重量級國巨 (2327) 股東會今日同步登場，在董座陳泰銘釋出景氣保守訊息後，股價由紅翻黑，拖累被動元件股華新科 (2492) 及今天同步舉行股東會的禾伸堂 (3026) 、奇力新 (2456) 同步收低；聯發科 (2454) 挾5G題材續旺，盤中站上1年來新高價；PA族群穩懋 (3105) 5月營收續創今年來新高，惟股價衝高遇壓仍險守月線，宏捷科 (8086) 搶攻VCSEL商機+5月營收亮眼，帶動股價強攻50元，全新 (2455) 則跟漲2%。
2019-08-26T09:17:19.000Z,"
16.泰銘 (9927) ：每股成交價31.6元，成交量50萬股，成交金額1580萬元。"
2019-11-13T06:26:00.000Z,權值股拖累指數表現，但盤面仍有利多消息與併購題材個股上攻，包括國巨 (2327) 宣布收購美商基美（KEMET）所有普通股，外資也維持加碼評等或上修目標價；而國巨董事長陳泰銘12日法說會指出，第4季產品安全庫存天數，從原先預估降到90天，進一步可降到70天以下，市場需求比預期好，稼動率可望持續提升，基本面題材帶動國巨股價今天開盤跳空漲停，以310.5元鎖死到終場。
2019-11-13T02:42:00.000Z,不過仍有個股強勢上漲，包括被動元件大廠國巨 (2327) 12日宣布斥資16.4億美元，現金收購美商基美（KEMET）所有普通股，國巨董事長陳泰銘當天法說會表示，併購後獲利可望大增8成。
2019-12-30T07:18:00.000Z, 盤面上，被動元件庫存傳出吃緊，國巨 (2327) 董事長陳泰銘日前表示，除產業需求外，終端客戶、經銷商也開始進行庫存回補，激勵國巨今日股價帶頭領漲，盤中最高來到430.5元、漲幅逾4.5%，帶動華新科 (2492) 、禾伸堂 (3026) 、大毅 (2478) 等攜手強攻，成為今日多頭主力之一。
2020-02-26T07:09:57.000Z,被動元件龍頭國巨 (2327) 今日通過GDR發行案，董事長陳泰銘表示，受到肺炎疫情影響，初估整體市場需求減少20%，衝擊股價帶量下殺9%，華新科 (2492) 總經理則表示「目前」不漲價仍要看供需，今日在賣壓湧現下重挫8%，成空頭大本營。
2020-02-26T07:09:00.000Z,被動元件龍頭國巨 (2327) 今日通過GDR發行案，董事長陳泰銘表示，受到肺炎疫情影響，初估整體市場需求減少20%，衝擊股價帶量下殺9%，華新科 (2492) 總經理則表示「目前」不漲價仍要看供需，今日在賣壓湧現下重挫8%，成空頭大本營。
2020-02-26T07:09:57.000Z,被動元件龍頭國巨 (2327) 今日通過GDR發行案，董事長陳泰銘表示，受到肺炎疫情影響，初估整體市場需求減少20%，衝擊股價帶量下殺9%，華新科 (2492) 總經理則表示「目前」不漲價仍要看供需，今日在賣壓湧現下重挫8%，成空頭大本營。
2020-02-26T07:09:00.000Z,被動元件龍頭國巨 (2327) 今日通過GDR發行案，董事長陳泰銘表示，受到肺炎疫情影響，初估整體市場需求減少20%，衝擊股價帶量下殺9%，華新科 (2492) 總經理則表示「目前」不漲價仍要看供需，今日在賣壓湧現下重挫8%，成空頭大本營。
