PublishDate,Sentence
2017-07-26T06:51:00.000Z,中鼎集團今日聯袂除息，崑鼎 (6803) 、中鼎 (9933) 及新鼎 (5209) 全數開高收紅，亦朝填息之路前進。
2018-07-26T07:02:00.000Z,  綜觀除權息個股表現：中鼎集團旗下的中鼎 (9933) 、崑鼎 (6803) 今日同步除息，2兄弟表現不同調，中鼎以低盤開出，填息之路坎坷，反之，崑鼎挾業績利多，穩步朝填息前進。
2019-10-31T09:15:08.000Z,"
28.中鼎 (9933) ：每股成交價41.05元，成交量127萬3492股，成交金額5227萬6847元。"
2019-10-31T09:15:08.000Z,"
29.中鼎 (9933) ：每股成交價40.95元，成交量121萬4666股，成交金額4974萬573元。"
2019-10-31T09:15:08.000Z,"
28.中鼎 (9933) ：每股成交價41.05元，成交量127萬3492股，成交金額5227萬6847元。"
2019-10-31T09:15:08.000Z,"
29.中鼎 (9933) ：每股成交價40.95元，成交量121萬4666股，成交金額4974萬573元。"
2019-11-28T02:26:00.000Z, 10.中鼎 (9933) ：CIP、中鋼共建全球最大機艙組裝廠，身為CIP供應鏈一員，今早走高逾1.5%。
2020-01-17T09:11:24.000Z,"
30.中鼎 (9933) ：每股成交價38.37元，成交量55萬股，成交金額2110萬3500元。"
2020-09-02T03:25:00.000Z,"
&nbsp;
至於回到盤面觀察，綠電類股今(2)在台股開高走低下，確實也仍維持相對強勁態勢，太陽能股中達能、茂迪亮燈漲停，碩禾、元晶、倉禾也有5%漲幅；風力發電股春源、中鼎、東源、新光鋼也維持紅盤之上。"
2020-09-02T03:25:00.000Z,"
&nbsp;
至於回到盤面觀察，綠電類股今(2)在台股開高走低下，確實也仍維持相對強勁態勢，太陽能股中達能、茂迪亮燈漲停，碩禾、元晶、倉禾也有5%漲幅；風力發電股春源、中鼎、東源、新光鋼也維持紅盤之上。"
2021-10-21T05:21:48.000Z,台積電表示，目前這座再生水廠工程並不是台積電所有，是由中鼎興建中，未來完工啟用後才會移轉予台積電。
2021-10-21T05:21:15.000Z,該再生水廠工程興建案於民國109年啟動，主要是由中鼎興建，預計完工啟用後，供水給台積電使用，原定今年底完工，是國內首座民營再生水廠，而今日火災是否影響其完工時間，則待評估。
2021-10-21T05:03:18.000Z,台南市南科園區上午11點傳出火警，善化區南科九路20號旁中鼎工程施工中的台積電再生水廠施工海棉起火燃燒，現場竄出大量濃煙，台南市消防局派出南科分隊等21車37人前往搶救，11點19分火勢已受控制。
2021-10-21T05:03:18.000Z,據了解，南科再生水廠由台積電向南科管理局租地，委由中鼎工程投資興建，雙方簽訂供水合約，完工後每天提供2萬公噸再生水供台積電使用，工程已進入收尾階段，尚未開始供水。
2021-10-21T04:16:00.000Z,▼（圖／東森財經翻攝畫面）南科管理局副局長則說，該區為台積電租地，給中鼎承蓋營運的再生水廠，主要是在焊接工程的時候，一陣風過來，火苗吹到泡棉上才會起火。
2021-10-21T23:46:17.000Z,據了解，發生失火的工地，是目前由中鼎工程負責興建的台積電南科再生水廠，21日上午11點傳出火警，廠區冒出大量火煙並緊急疏散逾200名工人，消防隊於11點25分已將火勢控制，火勢在11點47分撲滅，廠內人員皆已疏散，並無人員傷亡。
