PublishDate,Sentence,Score
2018-12-03T06:59:00.000Z,亞洲股市周一早盤同步上演慶祝行情，台股開高漲逾百點，直登萬點，先前市場擔憂受貿易戰衝擊之類股全面反攻，大走補漲行情，蘋果三劍客台積電、鴻海與大立光也領軍電子股衝高，且國泰金 (2882) 、富邦金 (2881) 、台塑 (1301) 等金融傳產權值股輔攻下，指數最高至10148.75點，收復10100，終場收盤上漲249.84點或2.53%，報10137.87點，成交金額1670.93億元。,4
2018-12-03T06:59:00.000Z,股王大立光 (3008) 亮燈漲停扮演蘋概股領頭羊，帶領電子股一吐悶氣，亞光 (3019) 、佳凌 (4976) 、華晶科 (3059) 、今國光 (6209) 、玉晶光 (3406) 、揚明光 (3504) 齊步回神走高，蘋概股的可成 (2474) 、嘉聯益 (6153) 、美律 (2439) 、GIS-KY (6456) 、TPK-KY (3673) 、聯德-KY (4912) 、和碩 (4938) 等也集體歡慶，今年以來較弱勢的鴻海 (2317) 亦收漲2.92%。,5
2018-12-03T06:31:00.000Z,大立光 (3008) 收在漲停價3705元，鴻海 (2317) 收74元，上漲2.92%。,2
2018-12-03T02:10:00.000Z, 6.鴻海 (2317) ：中美貿易戰可望解套，多方鬆口氣，開盤衝高2%以上，重新挑戰74元。,0
2018-12-03T01:54:00.000Z,類股一片紅通通，截至9時50分，漲幅以電子零組件、光電及半導體類股表現最吸睛，台股三王中的台積電 (2330) 大漲6.5元，漲幅為2.88%、鴻海 (2317) 上漲2.23%，來到73.6元，大立光 (3008) 則上漲195元，漲幅達5.79%。,3
2018-12-04T07:15:00.000Z,權值指標如台積電、大立光、鴻海、國泰金 (2882) 、富邦金 (2881) 、統一 (1216) 等回檔停歇，盤中指數跌幅擴大一度觸及10061.7點，部分個股法人作帳行情可期，且裕隆領軍汽車股成今日強悍類股，守穩萬點之上，但類股跌多漲少，貿易戰和緩的受惠股遭買方收手而滑落，午後跌勢再度下拉，終場收盤報10083.54點，下跌54.33點或0.54%，成交金額1437.63億元。,0
2018-12-04T07:15:00.000Z,台積電 (2330) 、鴻海 (2317) 開低後相對有撐，股價分別收跌0.43%、0.81%。,-3
2018-12-04T06:49:00.000Z,台股今日隨亞股回檔，盤初台積電 (2330) 、鴻海 (2317) 、大立光 (3008) 等權值指標即紛紛落於低檔整理，壓低指數一度探至10061.7點，所幸被動元件相關個股積極強攻，多空拉升至10100點處駁火，無奈接近尾盤股王大立光跌勢加重，大盤10100關卡宣告失守，終場下跌54.33點，收10083.54點，成交值縮減至1435.38億元；店頭收盤指數129.99點，下跌0.64點，成交值385.44億元。,-4
2018-12-04T06:42:00.000Z,蘋概三雄今天明顯熄火，台積電 (2330) 小跌0.43%，收在234元；鴻海 (2317) 小跌0.81%，收在73.4元；3日漲停的大立光 (3008) 今天跌幅逾5%，收在今天最低的3500元，拖累光學股下跌2.24%。,-3
2018-12-04T03:09:00.000Z,3日帶領台股上攻的電子股原本是美中貿易戰下的犧性品，但貿易戰暫休兵，無疑是電子股最大利多，今天電子股中的網通族群普遍上漲表現最優，蘋概三雄台積電 (2330) 、鴻海 (2317) 股價盤中呈現小跌。,3
2018-12-04T02:36:00.000Z,隨後在權值指標台積電 (2330) 、大立光 (3008) 、鴻海 (2317) 、可成 (2474) 、旺宏 (2337) 等紛紛落於低檔休憩，各大類股跌多漲少的情勢下，大盤指數跌點擴大至約70點，但仍守穩萬點之上，盤面以中小型題材個股表現較為活潑。,1
2018-12-05T07:13:00.000Z,美債走勢示警經濟增長恐放緩，衝擊周二美股三大指數暴跌逾3%，亞股今日籠罩一片低氣壓，萬點好光景僅短短兩日的台股在蘋概股三天王台積電 (2330) 、鴻海 (2317) 與大立光 (3008) 齊步跳水下，開盤即摜破頸線10014點及萬點關卡，包括國泰金 (2882) 、富邦金 (2881) 、台塑 (1301) 、台化 (1326) 等傳金權值股同步走疲，加上日前強勢的被動元件、矽晶圓、二極體等漲價概念股聯袂拉回，衝擊早盤一度大跌逾180點，最低來到9895.29點，連續失守萬點及9900點關卡，終場加權指數下跌166.8點為9916.74點，成交值為1137.09億元。,-2
2018-12-05T07:13:00.000Z,　美股暴跌再度驚動全球股市，台股難置身事外大跌逾百點摔落萬點大關！費半指數隔夜重挫近5%，衝擊台積電 (2330) 、鴻海 (2317) 、大立光 (3008) 、旺宏 (2337) 、南亞科 (2408) 等電子權值股同步殺跌，其中台積電 (2330) 盤中下挫3.8%，總市值跌破6兆元，重創多頭軍心。,-3
2018-12-05T06:24:00.000Z,加權股價指數終場下跌166.80點、跌幅1.65%、收在9916.74點、成交值新台幣1137.09億元，台積電 (2330) 、鴻海 (2317) 、大立光 (3008) 、旺宏 (2337) 、南科 (2408) 等重量級電子股都出現重挫，連近期反彈力道強勁的矽晶圓、被動元件指標股也紛紛走弱，僅剩生技股、汽車、網通、觀光等類股較具抵抗力道。,-5
2018-12-05T05:58:00.000Z,股王大立光 (3008) 以及鴻海 (2317) 等蘋概股全數不支，金融類股在國泰金 (2882) 、富邦金 (2881) 等大型金控開低，以及台塑 (1301) 、中鋼 (2002) 等原物料股仍整理。,-1
2018-12-05T03:04:00.000Z,股王大立光 (3008) 以及鴻海 (2317) 等蘋概股全數不支，金融類股在國泰金 (2882) 、富邦金 (2881) 等大型金控開低，以及台塑 (1301) 、中鋼 (2002) 等原物料股仍整理。,-1
2018-12-05T02:31:00.000Z,截至10時30分，加權股價指數下跌150點、為9929點、成交值新台幣592億元，成交值估較昨天略縮，不到1400億元，分析師表示，今天跌勢集中在權值股身上，包括台積電 (2330) 、大立光 (3008) 跌幅約3%，鴻海 (2317) 跌幅也超過1.5%，反觀中小型股包括網通、生技等表現相對突出，保留多頭火種。,-4
2018-12-05T01:21:00.000Z,其中，台積電 (2330) 下跌逾3%、鴻海 (2317) 下跌約1.7%、大立光 (3008) 下跌3.7%，近期反彈力道強勁的被動元件、矽晶圓也難免受到衝擊，國巨 (2327) 、華新科 (2492) 、環球晶 (6488) 、中美晶 (5483) 股價走勢也難擋短線空方力道。,-2
2018-12-06T07:18:00.000Z,　受到華為副董被捕及智慧機遭大摩示警雙重利空轟炸，相關供應鏈慘遭血洗，股王大立光 (3008) 、可成 (2474) 、聯亞 (3081) 慘摔跌停，台積電 (2330) 、鴻海 (2317) 、聯發科 (2454) 、雙鴻 (3324) 、晶技 (3042) 、穩懋 (3105) 、全新 (2455) 及聯鈞 (3450) 等哀鴻遍野。,-2
2018-12-06T05:13:00.000Z,消息人士透露，iPhone中國最大組裝廠鴻海(2317)，在刪減生產尖峰期的加班時數後，上千名員工自願提前離職，因為加班費已成為許多工人主要的收入來源。,2
2018-12-06T02:42:00.000Z,主要電子權值股盤中跌幅擴大，其中蘋概股台積電 (2330) 盤中來到220元，跌2.7%，股王大立光 (3008) 來到3035元，跌停，鴻海 (2317) 來到69.2元，跌3.3%。,-2
2018-12-07T07:12:00.000Z,電子權值股在三王大立光 (3008) 、台積電 (2330) 、鴻海 (2317) 回神點火下，聯發科 (2454) 、華碩 (2357) 、宏碁 (2353) 、群創 (3481) 、友達 (2409) 等止跌回穩。,1
2018-12-07T06:40:00.000Z, 龍頭權值電子股今回神，股王大立光 (3008) 開高震盪走高逾3%，最高站上3175元，終場收在3100元，也為蘋概三雄中表現最強勢的，台積電 (2330) 開高後漲幅收斂，整場多維持在漲幅1%以內，鴻海 (2317) 同樣上演反彈行情，股價小漲作收，其他權值股方面，聯發科 (2454) 、華碩 (2357) 、宏碁 (2353) 、群創 (3481) 、友達 (2409) 等亦皆走揚。,8
2018-12-07T06:33:00.000Z,（中央社記者吳家豪台北2018年12月7日電）蘋概股指標台積電、鴻海、大立光今天同步走揚，帶動電子股反彈，指數一度上漲逾百點，終場漲勢收斂，上漲76.16點；投顧表示，全球經濟展望趨向保守，台股中期維持保守看法不變。,4
2018-12-07T06:33:00.000Z,台積電 (2330) 今天止跌回穩，上漲0.45%，收221元；大立光 (3008) 盤中漲幅超過4%，終場上漲2.14%，收3100元；鴻海 (2317) 上漲0.14%，收69.1元。,0
