PublishDate,Sentence
2017-04-24T01:00:00.000Z,日期：2017年 4月24日※本日焦點股VHQ-KY、雷科、大立光、信昌電、雅茗-KY、中橡、倉佑、美隆電、松翰、盛群、群電、九齊、福盈科、崧騰、宇峻、博磊、德微※昨日盤勢解析法國中間路線總統候選人馬克宏(Emmanuel  Macron)選情樂觀，激勵歐股走揚，法國 CAC 40 指數大漲 1.48%。
2018-01-29T01:45:00.000Z,1.美隆電 (2477) ：車用音響與多媒體產品助攻，今年營收持續成長，股價終結整理格局，早盤勁揚3%。
2019-04-08T07:27:00.000Z, 今日集中市場十大漲幅個股為：晶電 (2448) 漲9.96%、訊芯-KY (6451) 漲9.96%、建碁 (3046) 漲9.96%、力銘 (3593) 漲9.95%、泰碩 (3338) 漲9.93%、永冠-KY (1589) 漲9.91%、麗清 (3346) 漲9.88%、麗臺 (2465) 漲9.87%、艾笛森 (3591) 漲9.86%、美隆電 (2477) 漲9.82%。
2019-06-21T07:12:00.000Z, 台股進入除息熱季，今天的焦點股是台積電 (2330) 和鴻海 (2317) ，台積電將於6月24日(下週一)除息，今天是最後買進日，成交量高達60746張，尾盤24772張大單敲進，終場收在248.5元，漲1.43%。
2019-08-13T06:50:24.000Z,"
今八大類股全數走跌，水泥股因台泥除權息，類股下跌逾5.6%，跌幅最劇，目前7月營收公布告一段落，第二季財報也陸續公布，今日盤面也有零星業績財報資優生點火，美隆電 (2477) 上半年每股賺達0.87元，今日漲停順利填息，敦南 (5305) 風光出嫁美商子公司，股價連兩日跳空漲停，智伸科 (4551) 也受惠上半年獲利年增逾3成，今股價走揚，除電子股外，中和 (1439) 第二季財報，因認列獲利處分七堵土地的款項，單季稅後盈餘大爆衝，今衝上漲停。"
2019-08-13T06:50:00.000Z, 今八大類股全數走跌，水泥股因台泥除權息，類股下跌逾5.6%，跌幅最劇，目前7月營收公布告一段落，第二季財報也陸續公布，今日盤面也有零星業績財報資優生點火，美隆電 (2477) 上半年每股賺達0.87元，今日漲停順利填息，敦南 (5305) 風光出嫁美商子公司，股價連兩日跳空漲停，智伸科 (4551) 也受惠上半年獲利年增逾3成，今股價走揚，除電子股外，中和 (1439) 第二季財報，因認列獲利處分七堵土地的款項，單季稅後盈餘大爆衝，今衝上漲停。
2019-09-23T07:19:05.000Z,"
今日集中市場十大漲幅個股為：印度2X (00653L) 漲10.01%、潤泰材 (8463) 漲10.00%、華廣 (4737) 漲9.96%、美隆電 (2477) 漲9.96%、愛普 (6531) 漲9.95%、銘旺科 (2429) 漲9.95%、晶相光 (3530) 漲9.94%、嘉聯益 (6153) 漲9.92%、鈞寶 (6155) 漲9.83%、益登 (3048) 漲9.39%。"
2019-09-23T07:19:05.000Z,潤泰材受惠離岸風電灌漿材產品拿到國際認證，今日一開盤即跳鎖漲停28.05元，排隊買單仍有1255張；美隆電9月以來受外資累計買超226張，多頭也持續累積能量，今日爆出1095張成交量，股價以漲停價25.4元作收；晶相光受惠海康威視擴大拉貨，H2業績逐季看增，20日外資轉買超，今日成交量爆衝近4倍、達近6500張，股價收漲停109.5元；嘉聯益受惠於蘋果新機拉貨，Q3業績可望比Q2好，三大法人連兩日攜手買超，今日成交量翻倍至9萬餘張，股價收漲停38.8元；鈞寶LTCC打入5G供應鏈，今年EPS拚10年新高，今日爆出7623張成交量，股價收漲停26.25元。
2019-09-23T07:19:00.000Z, 今日集中市場十大漲幅個股為：印度2X (00653L) 漲10.01%、潤泰材 (8463) 漲10.00%、華廣 (4737) 漲9.96%、美隆電 (2477) 漲9.96%、愛普 (6531) 漲9.95%、銘旺科 (2429) 漲9.95%、晶相光 (3530) 漲9.94%、嘉聯益 (6153) 漲9.92%、鈞寶 (6155) 漲9.83%、益登 (3048) 漲9.39%。
2019-09-23T07:19:00.000Z,潤泰材受惠離岸風電灌漿材產品拿到國際認證，今日一開盤即跳鎖漲停28.05元，排隊買單仍有1255張；美隆電9月以來受外資累計買超226張，多頭也持續累積能量，今日爆出1095張成交量，股價以漲停價25.4元作收；晶相光受惠海康威視擴大拉貨，H2業績逐季看增，20日外資轉買超，今日成交量爆衝近4倍、達近6500張，股價收漲停109.5元；嘉聯益受惠於蘋果新機拉貨，Q3業績可望比Q2好，三大法人連兩日攜手買超，今日成交量翻倍至9萬餘張，股價收漲停38.8元；鈞寶LTCC打入5G供應鏈，今年EPS拚10年新高，今日爆出7623張成交量，股價收漲停26.25元。
2019-10-15T06:22:00.000Z,　包括半導體在內的電子類股個股，今日以華擎及TPK-KY漲停最受矚目，另精元、聯陽、茂林-KY、銘旺科、中揚光、承啟、科嘉-KY、眾達-KY等，股價均大漲6～9％以上，另奇力新、洋華、美隆電、GIS-KY、合勤控、嘉澤、騰輝電子-KY、虹堡、瀚宇博、精英、泰鼎-KY、偉詮電、智邦、晶彩科、鎧勝-KY、強茂、動力-KY、凌巨、牧德等均上漲3～6％之間。
2019-11-12T07:08:07.000Z,"
週二類股普漲，鴻海深受外資抬愛，一掃昨日陰霾反彈3%，收在最高點91元，帶領同為集團的鴻準 (2354) 同樂，加上漢唐 (2404) 、可成 (2474) 、美隆電 (2477) 、東科-KY (5225) 皆有2~3%的漲幅，其他電子類股指數漲幅達2.72%，成為類股之冠。"
2019-11-12T07:08:00.000Z, 週二類股普漲，鴻海深受外資抬愛，一掃昨日陰霾反彈3%，收在最高點91元，帶領同為集團的鴻準 (2354) 同樂，加上漢唐 (2404) 、可成 (2474) 、美隆電 (2477) 、東科-KY (5225) 皆有2~3%的漲幅，其他電子類股指數漲幅達2.72%，成為類股之冠。
2019-11-18T06:05:07.000Z,今天台股雖然受上週五美股收盤再創新高帶動開高，但大立光 (3008) 、鴻海 (2317) 、聯發科 (2454) 等權值股休兵，且搶攻千金關卡的精測 (6510) 、矽力-KY (6415) 及信驊 (5274) 今天也無力上攻，僅中小型股個股表現，優群 (3217) 、揚智 (3041) 、美隆電 (2477) 、安鈦克 (6276) 等以漲停作收，在無主流領軍下，今天台股盤中指數在11550點附近膠著，所幸尾盤時台積電 (2330) 表態收高，激勵台股指數擺尾向上，差一點點就站上11600點，終場加權股價指數為11599.78點，上漲74.18點，成交量1084.65億元；OTC指數為143.91點，上漲0.54點，成交量303.2億元。
2019-11-18T06:05:00.000Z,今天台股雖然受上週五美股收盤再創新高帶動開高，但大立光 (3008) 、鴻海 (2317) 、聯發科 (2454) 等權值股休兵，且搶攻千金關卡的精測 (6510) 、矽力-KY (6415) 及信驊 (5274) 今天也無力上攻，僅中小型股個股表現，優群 (3217) 、揚智 (3041) 、美隆電 (2477) 、安鈦克 (6276) 等以漲停作收，在無主流領軍下，今天台股盤中指數在11550點附近膠著，所幸尾盤時台積電 (2330) 表態收高，激勵台股指數擺尾向上，差一點點就站上11600點，終場加權股價指數為11599.78點，上漲74.18點，成交量1084.65億元；OTC指數為143.91點，上漲0.54點，成交量303.2億元。
2019-11-18T02:08:27.000Z,"
7.美隆電 (2477) ：明年小米智慧音箱訂單無憂，股價修正2日再上跳漲停，創一年半高點。"
2019-11-18T02:08:00.000Z, 7.美隆電 (2477) ：明年小米智慧音箱訂單無憂，股價修正2日再上跳漲停，創一年半高點。
2019-12-13T09:13:57.000Z,"
4.聯電 (2303) ：每股成交價16.54元，成交量149萬8000股，成交金額2477萬6920元。"
