PublishDate,Sentence
2017-01-24T06:02:00.000Z,猴年漲幅最為兇猛的則多為中小型股，像是淳安 (6283) 、岳豐 (6220) 、寶隆 (1906) 等漲幅均逾3倍，最慘的就屬宣布解散的興航 (6702) ，全年跌幅高達90%。
2017-06-01T00:57:00.000Z,3.觸控族群拉回修正，淳安 (6283) 、TPK-KY (3673) 、正達 (3149) 、安可 (3615) 等下跌。
2017-06-01T00:57:00.000Z,3.觸控族群拉回修正，淳安 (6283) 、TPK-KY (3673) 、正達 (3149) 、安可 (3615) 等下跌。
2017-06-20T01:49:00.000Z,  3.淳安 (6283) ：昨獲外資及投信聯手買超1002張，早盤價量俱揚漲逾3%，站上波段新高。
2017-07-12T00:57:00.000Z,3.其他個別修正或漲多拉回者，諸如大同 (2371) 、王品 (2727) 、振樺電 (8114) 、正文 (4906) 、生華科 (6492) 、淳安 (6283) 、麗清 (3346) 、立凱-KY (5227) 等。
2017-10-16T06:53:00.000Z,中小型股活蹦亂跳，淳安 (6283) 強攻漲停板，重回50元關卡。
2017-10-16T03:43:00.000Z,儘管上周股王—大立光 (3008) 法說會後表現平平，但台股多頭氣勢未減，在台積電 (2330) 衝高帶動下，台股指數在上周創下1990年4月6日以來新高，今天台股雖然未見強漲，但昱晶 (3514) 、昇陽光電 (3561) 及新日光 (3576) 暫停交易，可望合併下，太陽能股上演噴出行情，茂迪 (6244) 、綠能 (3519) 、國碩 (2406) 同步漲停，記憶體個股—晶豪科 (3006) 亦漲停，中小型股：淳安 (6283) 、撼訊 (6150) 、達能 (3686) 、兆遠 (4944) 、恒耀 (8349) 等各擁題材強攻漲停板，在中小型股百花齊放下，台股指數力守紅盤之上，盤中指數再創逾27年來新高。
2018-04-09T07:06:00.000Z,今日外資(不含外資自營商)賣超9.6283億元，投信賣超0.3316億元，自營商買超0.7262億元，三大法人賣超9.23億元。
2019-04-09T06:59:00.000Z,今日外資(不含外資自營商)買超51.6283億元，投信賣超1.5647億元，自營商買超31.1461億元，三大法人買超81.20億元。
2019-11-11T07:26:15.000Z,"
今日集中市場十大漲幅個股為：淳安 (6283) 漲10.00%、明輝-DR (911608) 漲7.22%、華電 (1603) 漲5.57%、台火 (9902) 漲5.56%、華通 (2313) 漲5.26%、新世紀 (3383) 漲4.14%、矽力-KY (6415) 漲3.85%、友佳-DR (912398) 漲3.80%、富林-KY (1341) 漲3.71%、宏致 (3605) 漲3.57%。"
2019-11-11T07:26:15.000Z,淳安10月營收1.83億元，月增83.08%、年增48.39%，今日爆出2500餘張成交量，股價強鎖漲停33元，一舉躍上季線；華電10月營收3.45億元，月增41.56%、年增42.15%，股價爆量拉尾盤，收高5.5%、達28.45元；台火10月營收月增4677.26%，年增411.26%，資產題材熱炒，今日爆量重回票面，最高衝上10.6元；華通Q3每股大賺1.24元，10月營收62.25億元，表現亮眼，今放量觸及48.45元；矽力-KY旺季效應顯著，10月營收年成長29.1％，連三月營收創新高，前十月營收年增6.9%，帶動今日量增逆漲3.8%、收916元。
2019-11-11T07:26:00.000Z, 今日集中市場十大漲幅個股為：淳安 (6283) 漲10.00%、明輝-DR (911608) 漲7.22%、華電 (1603) 漲5.57%、台火 (9902) 漲5.56%、華通 (2313) 漲5.26%、新世紀 (3383) 漲4.14%、矽力-KY (6415) 漲3.85%、友佳-DR (912398) 漲3.80%、富林-KY (1341) 漲3.71%、宏致 (3605) 漲3.57%。
2019-11-11T07:26:00.000Z,淳安10月營收1.83億元，月增83.08%、年增48.39%，今日爆出2500餘張成交量，股價強鎖漲停33元，一舉躍上季線；華電10月營收3.45億元，月增41.56%、年增42.15%，股價爆量拉尾盤，收高5.5%、達28.45元；台火10月營收月增4677.26%，年增411.26%，資產題材熱炒，今日爆量重回票面，最高衝上10.6元；華通Q3每股大賺1.24元，10月營收62.25億元，表現亮眼，今放量觸及48.45元；矽力-KY旺季效應顯著，10月營收年成長29.1％，連三月營收創新高，前十月營收年增6.9%，帶動今日量增逆漲3.8%、收916元。
