PublishDate,Sentence
2017-12-21T04:05:00.000Z,（中央社記者張建中新竹2017年12月21日電）半導體製程技術持續不斷推進，不僅設備廠可望受惠，相關材料分析需求也將同步大幅成長，電子檢測驗證服務廠宜特 (3289) 營運將可連帶受惠。
2017-12-21T04:05:00.000Z,因應半導體設備廠客戶需求，宜特2016年材料分析檢測技術即已達到5奈米水準，法人預期，材料分析業務將是驅動宜特未來營運成長主要動能之一。
2017-12-21T04:05:00.000Z,隨著竹科兩座新廠正式啟用，也將為宜特明年營運注入成長新動能，法人預期，宜特明年營收可望突破新台幣50億元，不排除有機會較今年倍增。
2018-12-03T02:10:00.000Z, 10.宜特 (3289) ：營運現轉機，搭配技術線型轉強，早盤強勢攻漲停。
2018-12-03T02:10:00.000Z, 10.宜特 (3289) ：營運現轉機，搭配技術線型轉強，早盤強勢攻漲停。
2018-12-19T01:54:00.000Z, 7.宜特 (3289) ：營運看好轉，股價修正後再攻高，早盤漲幅達2.5%。
2019-07-22T06:50:00.000Z,上週四台積電 (2330) 法說會對下半年電子產業釋出樂觀訊息，為飽受中美貿易戰衝擊的電子產業打了一劑強心針，尤其是台積電看好5G強勁需求，帶動5G相關個股漲勢再起，聯茂 (6213) 及穩懋 (3105) 漲停作收，具題材中小型股強攻，獲蘋果青睞的錸寶 (8104) 亮燈漲停，錸德 (2349) 也母憑子貴同喜漲停，宜特 (3289) 、智易 (3596) 、易飛網 (2734) 、創意 (3443) 、精材 (3374) 及建榮 (5340) 等均以漲停板作收，超眾 (6230) 、健策 (3653) 、科嘉-KY (5215) 等亦強勢收高，尾盤時雖然有玉晶光 (3406) 因棄息賣壓出籠殺低，但指數還是強勢收高。
2019-07-22T03:40:00.000Z,儘管上週五美股受到波斯灣情勢緊張收低，上週四台積電 (2330) 法說會報喜，為電子產業下半年營運打了一劑強心針，台積電股價連兩天走高，帶動今天台股無畏美股收低及上週五指數尾盤拉回，開盤即站上10900點，台積法說看好5G強勁需求，激5G相關個股漲勢再起，聯茂 (6213) 亮燈漲停，股價創下掛牌新高價，穩懋 (3105) 、宏捷科 (8086) 、全新 (2455) 盤中股價強勢走高，中小型股活蹦亂跳，獲蘋果青睞的錸寶 (8104) 亮燈漲停，錸德 (2349) 同喜漲停，宜特 (3289) 、智易 (3596) 、易飛網 (2734) 等連袂漲停，加上權值股鴻海 (2317) 等續強，台股指數開高走高，緩步向10950點邁進，成交量也明顯放大。
2019-08-08T02:08:00.000Z, 7.宜特 (3289) ：拓展業務有成，41.5元形成短底，多方開始向上收回失地，早盤攻高2%。
2019-10-14T02:15:32.000Z,"
20.宜特 (3289) ：5G檢測業務發威，明年更上層樓，股價底部墊高，今早上漲3.5%以上，將叩關40元。"
2019-10-14T02:15:00.000Z, 20.宜特 (3289) ：5G檢測業務發威，明年更上層樓，股價底部墊高，今早上漲3.5%以上，將叩關40元。
2019-11-11T02:13:10.000Z,"
3.京元電 (2449) ：Q3獲利攀峰，全年營運戰新高，8日獲外資、自營商聯手轉買超計3289張，激勵股價逆漲至38.8元。"
2019-11-11T02:13:00.000Z, 3.京元電 (2449) ：Q3獲利攀峰，全年營運戰新高，8日獲外資、自營商聯手轉買超計3289張，激勵股價逆漲至38.8元。
2019-11-28T02:26:00.000Z, 8.宜特 (3289) ：5G商轉將挹注成長動能，反彈格局持續，早盤走揚2%，逐步接近44-45元前高壓力區。
2020-03-04T00:36:51.000Z,隨著5奈米進入量產，台積電大聯盟成員全員備戰，法人看好精測 （6510） 、家登 （3680） 、宜特 （3289） 、信紘科 （6667） 、迅得 （6438） 等5奈米資本支出概念股營運表現。
2020-03-04T00:36:51.000Z,另外，宜特提供5奈米相關材料及可靠性分析服務，訂單能見度亦看到下半年。
2020-03-04T00:36:00.000Z,隨著5奈米進入量產，台積電大聯盟成員全員備戰，法人看好精測 （6510） 、家登 （3680） 、宜特 （3289） 、信紘科 （6667） 、迅得 （6438） 等5奈米資本支出概念股營運表現。
2020-03-04T00:36:00.000Z,另外，宜特提供5奈米相關材料及可靠性分析服務，訂單能見度亦看到下半年。
2020-03-04T00:36:51.000Z,隨著5奈米進入量產，台積電大聯盟成員全員備戰，法人看好精測 （6510） 、家登 （3680） 、宜特 （3289） 、信紘科 （6667） 、迅得 （6438） 等5奈米資本支出概念股營運表現。
2020-03-04T00:36:51.000Z,另外，宜特提供5奈米相關材料及可靠性分析服務，訂單能見度亦看到下半年。
2020-03-04T00:36:00.000Z,隨著5奈米進入量產，台積電大聯盟成員全員備戰，法人看好精測 （6510） 、家登 （3680） 、宜特 （3289） 、信紘科 （6667） 、迅得 （6438） 等5奈米資本支出概念股營運表現。
2020-03-04T00:36:00.000Z,另外，宜特提供5奈米相關材料及可靠性分析服務，訂單能見度亦看到下半年。
2020-05-25T06:43:47.000Z,近期飽受華為新禁令之苦的電子股在利空中開始出現抗跌力道，儘管生技股仍有不少獲得市場資金追捧，但生技股漲多，部分居高思危的資金轉向跌深的電子股及觀光類股等傳產股，被動元件—國巨 (2327) 、華新科 (2492) 在尾盤獲得買盤進駐由黑翻紅，帶動被動元件個股擺脫整場頹勢收高，聯發科 (2454) 等IC設計股也一掃上週五陰霾強勢收紅，中小型股—健喬 (4114) 、國光生 (4142) 、宜特 (3289) 、興采 (4433) 、日馳 (1526) 、雲品 (2748) 、永昕 (4726) 、遠雄來 (2712) 、歐買尬 (3687) 及杏輝 (1734) 等股價漲停作收。
2020-05-26T01:58:55.000Z,"
10.宜特 (3289) ：今年營運展望樂觀，高檔整理結束，向上突破58元，創20個月高點。"
2020-06-29T23:41:05.000Z,"
◆宜特、閎康訂單湧，下半年添翼。"
2020-06-29T23:41:05.000Z,"
◆宜特、閎康訂單湧，下半年添翼。"
2021-03-01T07:01:40.000Z,台積電全力衝刺3奈米及2奈米先進製程的同時，也對台灣供應鏈擴大下單，包括EUV光罩載具廠家登，廠務工程業者漢唐及帆宣，設備及備品供應商京鼎及弘塑，綠色製程廠務工程業者信紘科，精密零組件供應商意德士及公準，檢測分析業者宜特及閎康等台積電大聯盟合作夥伴直接受惠。
2021-03-01T07:01:40.000Z,台積電全力衝刺3奈米及2奈米先進製程的同時，也對台灣供應鏈擴大下單，包括EUV光罩載具廠家登，廠務工程業者漢唐及帆宣，設備及備品供應商京鼎及弘塑，綠色製程廠務工程業者信紘科，精密零組件供應商意德士及公準，檢測分析業者宜特及閎康等台積電大聯盟合作夥伴直接受惠。
