PublishDate,Sentence
2017-04-06T01:02:00.000Z,日期：2017年 4月 6日※本日焦點股廣明、榮創、同亨、昭輝、立積、百和、華夏、旺矽、璟德、智邦、眾達-KY、宇隆、聖暉、瑞昱、光鋐、浩鼎※昨日盤勢解析英國脫歐持續帶來政治不確定性，美中高峰會市場聚焦貿易逆差議題，週二西歐三大指數小漲。
2017-04-06T01:02:00.000Z,※未來注意事項1.週四(4/6)台股法說會公司：聖暉 (5536) 、政伸 (8481) 等。
2017-04-07T00:58:00.000Z,日期：2017年 4月 7日※本日焦點股智邦、台塑、宜鼎、綠悅-KY、欣銓、榮化、威剛、旺矽、光寶科、第一金、金像電、久威、雷科、新光鋼、聖暉、聯穎、晶采※昨日盤勢解析聯邦公開市場委員會(FOMC)會議記錄顯示聯準會(Fed)考慮縮減資產負債表規模，引發貨幣環境將日趨緊縮的疑慮，週三美股四大指數下跌。
2017-06-01T00:57:00.000Z,日期：2017年 6月 1日※本日焦點股長盛、牧德、日友、中裕、致伸、旺宏、和大、貿聯-KY、佳凌、帆宣、聖暉、新唐、創見、可寧衛、漢唐※昨日盤勢解析希臘債務七月到期、義大利執政黨擬發動國會改選，政治風險升溫，週二西歐三大指數下跌。
2017-06-02T00:59:00.000Z,日期：2017年 6月 2日※本日焦點股新日興、奇力新、倉佑、環宇-KY、環球晶、偉訓、英利-KY、牧德、南亞科、同亨、聖暉、西勝、亞泰、宇瞻、瀧澤科、泰銘※昨日盤勢解析市調機構 YouGov 報告顯示，英國執政的保守黨可能無法在國會單獨過半，增加政治不確定性；受義大利可能提前大選影響，週三銀行類股領跌，西歐三大指數小幅漲跌。
2017-06-01T00:57:00.000Z,日期：2017年 6月 1日※本日焦點股長盛、牧德、日友、中裕、致伸、旺宏、和大、貿聯-KY、佳凌、帆宣、聖暉、新唐、創見、可寧衛、漢唐※昨日盤勢解析希臘債務七月到期、義大利執政黨擬發動國會改選，政治風險升溫，週二西歐三大指數下跌。
2017-06-02T00:59:00.000Z,日期：2017年 6月 2日※本日焦點股新日興、奇力新、倉佑、環宇-KY、環球晶、偉訓、英利-KY、牧德、南亞科、同亨、聖暉、西勝、亞泰、宇瞻、瀧澤科、泰銘※昨日盤勢解析市調機構 YouGov 報告顯示，英國執政的保守黨可能無法在國會單獨過半，增加政治不確定性；受義大利可能提前大選影響，週三銀行類股領跌，西歐三大指數小幅漲跌。
2019-02-21T03:56:00.000Z,　另外選出的標的，包括裕日車 (2227) 、廣隆 (1537) 、聖暉 (5536) 、保瑞藥 (6472) 、伸興 (1558) 、長科 (6548) 等。
2019-03-18T00:41:00.000Z,其餘個股依序排列，聖暉 (5536) 、川湖 (2059) 、大江生醫 (8436) 、禾伸堂 (3026) 、寶雅 (5904) 、朋億 (6613) 、儒鴻 (1476) 、祥碩 (5269) 、麗豐-KY (4137) 、宏達電 (2498) 、鮮活果汁-KY (1256) 、京鼎 (3413) 、台積電 (2330) 、尚凡 (5278) 、南亞科 (2408) 、可寧衛 (8422) 、崑鼎投控 (6803) 、GIS-KY (6456) 、上緯投控 (3708) 、璟德電子 (3152) 、宜鼎國際 (5289) 、瑞儀光電 (6176) 、美律 (2439) 、富邦媒 (8454) ，去年也都賺逾1個股本的好成績。
2019-08-13T00:03:00.000Z,無塵室機電工程廠商聖暉 （5536） 集團因應集團發展需求，董事會12日通過入股銅廢液回收處理設備商「衛司特科技」案，預計砸下1.274億元，取得130萬股、約9.77％的股權。
