PublishDate,Sentence
2018-01-20T07:01:00.000Z,　另有包括玉山金、台新金、京城銀、勝一、凱羿-KY、良維、中美冠科-KY、達興材料、直得、朋億、日馳、博智、華韡、福邦證、動力-KY、北基、巨虹、駿吉-KY等共20檔個股市值同樣創新高。
2018-08-28T02:12:00.000Z, 9.朋億 (6613) ：下半年看旺+股價超跌，今早持續反彈，突破10日線與季線。
2019-02-26T07:13:00.000Z,　盤面上，蘋果鏈以台積電 (2330) 表現相對抗跌，大立光 (3008) 、鴻海 (2317) 、可成 (2474) 、TPK-KY (3673) 、GIS-KY (6456) 等黯淡無光，小型股表現相對活潑，包括凱碩 (8059) 、兆遠 (4944) 、閎暉 (3311) 強攻漲停，金居 (8358) 搶攻高頻高速傳輸為營運添動能，股價勁彈逾4%；越峰 (8121) 獲買盤追捧帶量攻高近9%；朋億 (6613) 去年擬配息15元，殖利率高達9.28%，激勵股價大漲半根停板。
2019-02-26T02:18:00.000Z, 11.朋億 (6613) ：107年EPS 16.50元，擬發放15元現金股利，開盤後急拉至170元，漲幅逾5%。
2019-02-27T00:24:00.000Z,　據統計，在20家上市櫃公司股利創上市櫃來新高中，岱稜、牧德、泰詠、大江、大中、晶宏、是方、朋億、敦陽科、豐達科、台積電、寶雅、帆宣、華新、關貿等15家成長逾一成。
2019-02-27T00:24:00.000Z,　據統計，在20家上市櫃公司股利創上市櫃來新高中，岱稜、牧德、泰詠、大江、大中、晶宏、是方、朋億、敦陽科、豐達科、台積電、寶雅、帆宣、華新、關貿等15家成長逾一成。
2019-03-18T00:41:00.000Z,其餘個股依序排列，聖暉 (5536) 、川湖 (2059) 、大江生醫 (8436) 、禾伸堂 (3026) 、寶雅 (5904) 、朋億 (6613) 、儒鴻 (1476) 、祥碩 (5269) 、麗豐-KY (4137) 、宏達電 (2498) 、鮮活果汁-KY (1256) 、京鼎 (3413) 、台積電 (2330) 、尚凡 (5278) 、南亞科 (2408) 、可寧衛 (8422) 、崑鼎投控 (6803) 、GIS-KY (6456) 、上緯投控 (3708) 、璟德電子 (3152) 、宜鼎國際 (5289) 、瑞儀光電 (6176) 、美律 (2439) 、富邦媒 (8454) ，去年也都賺逾1個股本的好成績。
2019-05-03T02:11:00.000Z, 18.朋億 (6613) ：今年展望審慎樂觀+股價盤整許久，多方甦醒，今早放量突破所有短均。
2019-05-03T02:11:00.000Z, 18.朋億 (6613) ：今年展望審慎樂觀+股價盤整許久，多方甦醒，今早放量突破所有短均。
2019-08-13T00:03:00.000Z,聖暉入股後，未來將結合子公司-朋億 （6613） 原有之剝離廢液再生系統，期許集團在綠能環保之領域向前邁大步，綜效可期。
2019-11-05T02:14:00.000Z,  9.朋億 (6613) ：前三季基本每股盈餘10.96元，開盤後量價齊揚，跳漲逾3.5%直攻157元，創近4個月高價。
2019-11-06T02:01:00.000Z, 11.朋億 (6613) ：中國訂單助營運漸入佳境，Q4表現可期，股價逆勢走高，將挑戰164元處反壓。
2019-11-06T02:01:00.000Z,"
11.朋億 (6613) ：中國訂單助營運漸入佳境，Q4表現可期，股價逆勢走高，將挑戰164元處反壓。"
2020-02-26T02:07:00.000Z,  10.朋億 (6613) ：擬配息10元 殖利率6%，資金進場避險，開盤後急拉4%。
2020-12-27T04:03:57.000Z,朋億指出，專業工程人員要長期培養，如一名焊工培養期要長達5年，政府應透過獎勵方式推動技職教育，才能解決專業工程人員短缺的問題。
2021-01-28T02:08:59.000Z,外資連續六天賣超台積電，共計賣超13萬3819張，但周三賣超張數縮減至6613張。
