PublishDate,Sentence,Score
2018-10-01T06:36:00.000Z,股王領軍中小型電子攻高，台股11050點到手！邁入第4季第1個交易日，全球股市擺脫Q3飽受中美貿易戰利空悲情，雖然陸股因十一長假休市，但日股創高，亞股普遍上揚，美國盤前期指亦因美國與加拿大可望達成新貿易協定大漲，加上外資送暖蘋果概念股，看好大立光 (3008) 、台積電 (2330) 、臻鼎-KY (4958) 及穩懋 (3105) 等，讓近期弱勢的蘋果概念股回神，大立光站回3700元，跌深的Tesla概念股及股價整理已久的散熱模組及觸控相關個股也重獲市場青睞，超眾 (6230) 、雙鴻 (3324) 、貿聯-KY (3665) 亮燈漲停作收。,4
2018-10-01T04:20:00.000Z,　股王—大立光 (3008) 大漲逾110元領軍上攻，穩懋 (3105) 、玉晶光 (3406) 等蘋果概念股連袂走高，股價整理已久的散熱族群及觸控相關個股今天亦獲買盤力挺，超眾 (6230) 、雙鴻 (3324) 同步漲停，跌深的Tesla概念股—貿聯-KY (3665) 等亦強攻漲停，具題材的中小型股—環科 (2412) 、國光生 (4142) 及達邦蛋白 (6578) 均亮燈，加上台積電 (2330) 及鴻海 (2317) 穩盤，讓台股指數開高走高，直逼11050點，不過漲價概念股及風電概念股仍舊疲弱，市場追價意願不足，成交量呈現萎縮，截至11點40分為止，加權股價指數為11044.12點，上漲38.38點，成交量為611.44億元；OTC指數為134.58點，上漲1點，成交量為132.04億元。,2
2018-10-01T04:20:00.000Z, 　就技術面來看，上周五台股開盤以上漲16點至11050點開出後，因摩台結算後法人出現調節賣壓，拖累指數下挫翻黑後於11000點附近呈現狹幅震盪，終場以11006.34點作收，收在5日線之上，累計上週台股上漲33.93點，週線連兩紅，惟月線留黑K下引線，9月下跌57.6點，累計第3季上漲169點，OTC指數收133.58點，周K連4黑；今天台股在日股創高及美國盤前期指大漲帶動下，指數開平走高，直逼11050點；上周五台股在摩台結算後出現調節性賣壓，在台積電 (2330) 、大立光等個股賣壓影響下，指數回測短天期均線，並以小跌作收，過去一周，台股曾經連續兩日盤中觸及11000點，但終究因交投動能降至1100億元附近，壓抑上攻動能，不過27日台股在外資買超128億元，且國際股市轉強，為台股多頭增添助力，加上台股指數站在各期均線之上，顯示多頭有意以電子、傳產及金融輪動方式緩步化解11000點之上壓力區，尤其是原本弱勢的電子股逐漸擺脫頹勢，若成交量能溫和放大，不排除台股有機會緩步攻高。,0
2018-10-02T07:16:00.000Z,　蘋概三王僅股王大立光 (3008) 力撐紅盤，台積電 (2330) 、鴻海 (2317) 聯袂下挫2%。,0
2018-10-02T07:16:00.000Z,年底大選前與中美貿易戰持續升溫下，台股量能萎縮不前，致追價意願相對薄弱，今日在台積電開盤表現弱勢，且國泰金、富邦金 (2881) 也表現不振下，使股王大立光獨木難支，包括電子與金融股權值股普遍下挫，拖累指數大跌逾百點失守萬一大關。,-8
2018-10-02T06:14:00.000Z,蘋概三王今天股價漲跌互見，台積電 (2330) 下跌5.5元，收257.5元，跌幅2.09%，大立光 (3008) 上漲50元，收3790元，漲幅1.34%，鴻海 (2317) 下跌1.8元，收78.1元，跌幅逾2%。,-1
2018-10-02T03:18:00.000Z,蘋概三王今天股價漲跌互見，台積電 (2330) 盤中下跌5元，來到258元，跌幅1.9%，大立光 (3008) 小漲10元，來到3750元，漲幅0.27%，鴻海 (2317) 下跌1.2元，來到78.7元，跌幅1.5%。,-1
2018-10-03T07:15:00.000Z,台股今日因電金傳龍頭股大立光 (3008) 、國巨 (2327) 、華新科 (2492) 、國泰金 (2882) 、富邦金 (2881) 、台塑 (1301) 未能撐起盤勢，衝擊多頭信心，使指數開低走低，接連摜破季線與半年線，並陷入年線保衛戰，盤面上僅台積電 (2330) 、中鋼 (2002) 、亞泥 (1102) 、統一 (1216) 等權值股勉力撐盤，終場加權指數下跌55.69點為10863.94點，成交值縮至990.05億元。,-2
2018-10-03T07:15:00.000Z,　股王大立光 (3008) 保守看待9月營收使股價承壓，玉晶光 (3406) 更在賣壓出籠下摜至跌停，失守300元關卡；被動元件龍頭國巨 (2327) 雖獲美林證按讚送暖，午盤過後在市場信心不足下翻黑，使華新科 (2492) 、禾伸堂 (3026) 、奇力新 (2345) 等跟進殺低；矽晶圓族群環球晶 (6488) 、合晶 (6182) 、台勝科 (3532) 亦遭空頭重襲大跌逾半根停板。,-7
2018-10-03T02:17:00.000Z, 華為手機在台供應鏈包括有大立光 (3008) 、台積電 (2330) 、聯詠 (3034) 、華通 (2313) 、欣興 (3037) 、華新科 (2492) 、大毅 (2478) 、嘉聯益 (6153) 等。,0
