PublishDate,Sentence
2017-10-02T11:18:00.000Z,（中央社記者田裕斌台北2017年10月2日電）台積電 (2330) 董事長張忠謀宣布明年股東常會後退休，永光化學 (1711) 創辦人陳定川表示，企業培養接班人一向是個難題，永光則是從小就培養接班人，讓兄弟順利接班。
2017-10-02T11:18:00.000Z,陳定川說，他從15歲就到中華化工 (1727) 上班，到40歲才創立永光，在中華化看到創辦人因為沒有安排好接班梯隊，連自己年邁生病都還要親自領軍打拚，讓陳定川自己體讓到計畫接班的重要性。
2017-10-02T11:18:00.000Z,不過，在陳偉望接班的過程中仍不免有小插曲，當年陳偉望在美國密西根大學拿到工業工程博士後，指導教授原本想說服他當教授，還親自到台灣看了永光的營運，才願意放手讓陳偉望回台。
2017-10-02T11:18:00.000Z,陳定川指出，由於永光規模日益擴大，擔心陳偉望一個人接班擔子太重，在與陳偉望討論過後，詢問陳建信一起接班的意願，陳建信足足考慮了一年，才應允放棄原本醫院副院長的職位，跟弟弟一起接班；在培養老大擔任永光董事長的過程中，陳建信足足花了9年時間，才覺得自己足堪重任，陳偉望則是擔任永光總經理。
2017-10-02T11:18:00.000Z,（中央社記者田裕斌台北2017年10月2日電）台積電 (2330) 董事長張忠謀宣布明年股東常會後退休，永光化學 (1711) 創辦人陳定川表示，企業培養接班人一向是個難題，永光則是從小就培養接班人，讓兄弟順利接班。
2017-10-02T11:18:00.000Z,陳定川說，他從15歲就到中華化工 (1727) 上班，到40歲才創立永光，在中華化看到創辦人因為沒有安排好接班梯隊，連自己年邁生病都還要親自領軍打拚，讓陳定川自己體讓到計畫接班的重要性。
2017-10-02T11:18:00.000Z,不過，在陳偉望接班的過程中仍不免有小插曲，當年陳偉望在美國密西根大學拿到工業工程博士後，指導教授原本想說服他當教授，還親自到台灣看了永光的營運，才願意放手讓陳偉望回台。
2017-10-02T11:18:00.000Z,陳定川指出，由於永光規模日益擴大，擔心陳偉望一個人接班擔子太重，在與陳偉望討論過後，詢問陳建信一起接班的意願，陳建信足足考慮了一年，才應允放棄原本醫院副院長的職位，跟弟弟一起接班；在培養老大擔任永光董事長的過程中，陳建信足足花了9年時間，才覺得自己足堪重任，陳偉望則是擔任永光總經理。
2018-01-02T02:18:00.000Z,  10.永光 (1711) ：買盤拉抬，早盤急漲4%，觸及20元及2個月高點。
2018-01-02T02:18:00.000Z,  10.永光 (1711) ：買盤拉抬，早盤急漲4%，觸及20元及2個月高點。
2018-12-25T23:36:00.000Z,華為亦將在明年推出全球首款智慧管理晶片Hi1711，採用台積電16奈米製程，加入了AI管理引擎及智慧管理演算法，能由伺服器進行深度學習及機器學習。
2019-06-11T23:59:00.000Z,　除了台積電外，據統計，到7月中旬將密集除息股，獲得外資近日買盤青睞股，還有12日將除息的泰山，以及陸續接棒的GIS-KY、信義、中再保、永光、宏捷科、力山、大毅、泰詠、成霖、奇力新、神基、隆達、禾伸堂等。
2019-06-18T00:25:00.000Z,自2019年06月18日起至2019年06月21日暫停融券賣出四個營業日的證券如下：(1707)葡萄王、(1711)永光、(1906)寶隆、(2107)厚生、(2330)台積電、(2722)夏都、(2727)王品、(3048)益登、(3416)融程電、(4722)國精化、(6024)群益期、(6164)華興、(6641)基士德-KY。
2019-06-21T09:07:00.000Z,"108年6月24日除息影響加權股價指數108年6月24日計1707葡萄王、1711永光、1906寶隆、2107厚生、2330台積電、2722夏都、2727王品、3048益登、3416融程電、4722國精化、6024群益期、6164華興、6641基士德-KY等13檔股票除息交易，其中台積電發行市值將減少約2,074億元，占發行量加權股價指數約69.3點，前述13檔指數採樣股票除息後，減少市值占發行量加權股價指數約70.3點。"
2019-06-24T07:04:00.000Z,其中：台積電 (2330) 收漲0.21%、永光 (1711) 收漲0.91%、寶隆 (1906) 收漲1.15%、厚生 (2107) 收漲2.32%、夏都 (2722) 收漲2.64%、王品 (2727) 收漲0.75、益登 (3048) 收漲1.93%、國精化 (4722) 收漲0.71%、群益期 (6024) 收漲1.58%；華興 (6164) 收跌0.14%、葡萄王 (1707) 收跌0.47%、融程電 (3416) 收跌0.76%；基士德-KY (6641) 則持平。
2019-06-24T03:59:00.000Z,永光 (1711) 來到16.85元，小漲0.35元。
2019-06-24T03:44:00.000Z,　台積電一早開盤一度小貼息，最低240元小跌0.5元，不過，很快就收復平盤並呈現小漲0.5元的走勢，其他今天也除息的個股，至上午10點半過後，包括葡萄王、永光、寶隆、夏都、厚生、國精化、群益期、基士德-KY等多數個股均賣力填息，填息股也多是傳產股為主。
2019-07-02T02:17:00.000Z, 25.永光 (1711) ：第二季邁入色料旺季，搶單動能增強可期，獲外資連三日買超力挺，早盤跳漲4%，衝上波段高點。
2019-07-02T02:17:00.000Z, 25.永光 (1711) ：第二季邁入色料旺季，搶單動能增強可期，獲外資連三日買超力挺，早盤跳漲4%，衝上波段高點。
2019-07-10T02:11:00.000Z, 20.永光 (1711) ：色料旺季來臨，業績有望進補，早盤多方發動快攻，股價急拉大漲5%，攻上今年最高。
2020-03-09T06:45:00.000Z,全球最大石油生產國之間的全面價格戰及歐美新冠肺炎疫情延燒，重創國際油價及全球股市，今日國際油價開盤一度狂潟超過30%，全球股市也同步大地震，美股盤前期指重挫逾千點，亞股及台股開盤後就湧現龐大賣壓，台積電 (2330) 、大立光 (3008) 、台塑化 (6505) 、台塑 (1301) 、和泰車 (2207) 、信驊 (5274) 、鴻海 (2317) 、儒鴻 (1476) 、亞德客-KY (1590) 及台達電 (2308) 等各產業龍頭權值股均同步重挫收低，資金持續集中在中小型個股，包括：永光 (1711) 、神隆 (1789) 、進階 (3118) 、逸達 (6576) 、台耀 (4746) 、九齊 (6494) 及台康生技 (6589) 等逆勢強攻漲停板作收。
2020-03-09T03:50:00.000Z,  不過，儘管台股指數表現不佳，中小型個股表現亮眼的不少，永光 (1711) 、神隆 (1789) 、中生化 (1762) 、台耀 (4746) 及台康生技 (6589) 等盤中股價逆勢強攻漲停板，申豐 (6582) 及生泰 (1777) 等盤中股價逆勢走高，加上台股跌深後，搶短買盤進場，台股指數在中場過後急速向上拉升，截至11點35分為止，加權股價指數為11075.71點，下跌246.1點，成交量1541.11億元；OTC指數為141.15點，下跌3.11點，成交量277.32億元。
2020-03-09T02:21:00.000Z,  10.永光 (1711) ：2月營收月增11.04%、年增29.43%，因應5G需求，研磨液展開新方向開發，目前相關材料已逐一通過驗證並出貨，今日爆量攻漲停、收復年線。
2021-04-13T23:32:00.000Z,半導體線上峰會12日在美國召開，台積電董事長劉德音親自參與視訊會議，並對台積電亞利桑那州鳳凰城5奈米新廠投資案，表達一定成功的信心，台積電13日股價仍在橫盤整理，包括永光（1711）等14檔台積電概念股表現勝大盤。
2021-04-13T23:32:00.000Z,台股衝破萬七關卡後，賣壓出爐，指數由紅翻黑，13日終場下跌0.21％，但包括永光、信紘科、光罩、公準、創意、日揚、弘塑、三福化、世界、通嘉、聯發科等14檔台積電概念股表現相對大盤強勢，永光及信紘科股價更強拉漲停板價。
2021-06-24T02:18:48.000Z,共同投入此計畫的SEMI會員企業包含世界先進、漢民科技、家登、瑞鼎、高信、友上、台灣富士金閥門、光洋、喬越、穎崴、濾能、永光化學等。
2021-06-25T00:24:07.000Z,共同投入此計畫的SEMI會員企業包含世界先進、漢民科技、家登、瑞鼎、高信工程、友上科技、台灣富士金閥門、光洋科、喬越、穎崴、濾能、永光化學等。
