PublishDate,Sentence
2019-12-06T02:20:54.000Z,"
27.和桐 (1714) ：無懼外資連日賣超，早盤在買盤湧入下急拉大漲7%，一舉收復各短均線及半年線。"
2019-12-06T02:20:00.000Z, 27.和桐 (1714) ：無懼外資連日賣超，早盤在買盤湧入下急拉大漲7%，一舉收復各短均線及半年線。
2020-01-30T06:59:22.000Z,"
暴漲的防疫概念股有國光生 (4142) 、和桐 (1714) 、花仙子 (1730) 、美吾華 (1731) 、中化生 (1762) 、生達 (1720) ，其中國光生與和桐為主力買進股。"
2020-01-30T06:59:00.000Z,  暴漲的防疫概念股有國光生 (4142) 、和桐 (1714) 、花仙子 (1730) 、美吾華 (1731) 、中化生 (1762) 、生達 (1720) ，其中國光生與和桐為主力買進股。
2020-02-10T02:09:00.000Z,  29.和桐 (1714) ：屬清潔用品上游原料廠，晨盤獲買盤進駐，股價急拉大漲5%，位居相對高檔。
2020-02-17T02:10:00.000Z,  9.和桐 (1714) ：疫情發燒，民生清潔防疫意識抬頭，早盤帶量強彈至8.03元、漲幅4.5%。
2020-02-20T07:11:00.000Z,美國房市供給指標穩健，聯準會FOMC會議記錄保持鴿派，IMF重申對今年經濟樂觀看法、陸估祭更多經濟振興措施，帶動周三美股四大指數收高，周四台股開盤強勢，上漲26.94點至11785.78點，台積電、大立光、聯發科領漲下，電子族群走揚，大盤早盤大漲逾60點至11827.83點，重返11800之上，惟美國期指漲勢受阻、亞股普遍開高走低，在多空交戰、權值三王拖累，指數越過季線賣壓出籠，台股盤中紅翻黑，11800、季線得而復失，並失守月線，一度下滑至11714.15點，終場下跌33.75點或0.29%，報11725.09點，成交金額1324.12億元。
2020-03-03T02:12:00.000Z,  34.和桐 (1714) ：獲外資連3日買超8662張，晨盤放量勁彈3%，位處相對高檔。
2020-03-03T02:12:00.000Z,  34.和桐 (1714) ：獲外資連3日買超8662張，晨盤放量勁彈3%，位處相對高檔。
2020-03-16T07:14:11.000Z,"
上週外資賣超1513.9095億元，投信賣超19.5307億元，自營商賣超180.663億元，三大法人賣超1714.10億元。"
2020-05-20T09:16:37.000Z,"
4.中鋼 (2002) ：每股成交價19.87元，成交量86萬3000股，成交金額1714萬7810元。"
2020-05-25T09:12:04.000Z,10.台積電 (2330) ：每股成交價290.54元，成交量5萬9015股，成交金額1714萬6218元。
