PublishDate,Sentence
2018-01-09T07:08:00.000Z,傳產股方面，塑化股受惠原料調漲營運可望進補，今日受到多頭追捧，台塑集團台塑 (1301) 、南亞 (1303) 、台化 (1326) 聯袂喊衝，帶動中石化 (1314) 、國喬 (1312) 跟進收高，成盤面最火紅族群；油價高檔走堅使EG利差放大，東聯 (1710) 及中纖 (1718) 今日人氣爆棚。
2018-01-09T06:43:00.000Z,大陸兩座EG廠歲修，下游聚酯開工率高檔，催升東聯 (1710) 、中纖 (1718) 盤初聯袂走強，其中，中纖成交量爆衝至7.1萬餘張，位居今日人氣第三。
2018-02-21T07:12:00.000Z,傳產方面，紡織景氣升溫帶動化纖需求強勁，本周EG報價站穩一千美元大關，EG三雄南亞 (1303) 、東聯 (1710) 、中纖 (1718) 股價水漲船高。
2018-05-18T02:52:00.000Z,  美國恢復對伊朗制裁的效應持續擴大，加上經濟合作暨開發組織(OECD)石油庫存降至3年來最低，帶動布蘭特期油漲破80美元，今日台股資金轉向傳產原物料、資產概念股等今成多頭聚焦領域，塑化、紡織族群漲勢猛烈，塑化股以二線塑化股扮演衝鋒要角，台苯 (1310) 、中石化 (1314) 一度大漲7%，台苯更是站上近1年高點，台達化 (1309) 、信昌化 (4725) 等同步大漲；紡織族群中則有中纖 (1718) 大漲5%，衝上波段新高，集盛 (1455) 則勁揚約4.5%，遠東新 (1402) 、福懋 (1434) 、力鵬 (1447) 等漲幅也在1%~1.5%。
2018-06-08T06:11:00.000Z,台積電(2330)自結107年5月營收809億6873萬2000元，較上月減少1.10%，較106年同月增加11.23%；累計107年1-5月營收4109億1718萬4000元，較106年同期增加13.02%。
2018-08-15T02:02:00.000Z, 9.中纖 (1718) ：第2季每股盈餘0.4元，7月營收年增20.95%，在業績題材加持下，早盤量價齊揚，跳空上漲3%。
2018-08-22T06:05:00.000Z,資金持續進駐鋼鐵、紡織等傳產原物料，中鋼 (2002) 領軍鋼鐵股上揚；中纖 (1718) 、遠東新 (1402) 等化纖股強攻，以及中石化 (1314) 帶量上漲。
2018-08-22T03:00:00.000Z,資金持續進駐鋼鐵、紡織等傳產原物料，中鋼 (2002) 續領軍鋼鐵股上揚；中纖 (1718) 、遠東新 (1402) 等化纖股強攻，以及中石化 (1314) 帶量上漲。
2018-08-23T02:14:00.000Z, 6.中纖 (1718) ：EG漲價助攻，看好後市發展，連2日獲三大法人聯手買超近1.8萬張，早盤向上點火衝高2%，續登3年半高點。
2018-08-29T07:12:00.000Z,傳產股中纖 (1718) 持續爆量上攻，而信昌化 (4725) 一度高漲隨後近中午拉回平盤修正。
2018-08-29T06:30:00.000Z,傳產以信昌化 (4725) 、中纖 (1718) 持續爆量上攻。
2018-08-29T02:17:00.000Z, 2.中纖 (1718) ：EG價差擴大效應，外資、自營商昨聯手擴大買超15657張，今除息首日，股價開高11.7元，隨後維持約2%漲幅。
2020-01-31T09:13:24.000Z,"
20.瀚宇博 (5469) ：每股成交價37.85元，成交量45萬4000股，成交金額1718萬3900元。"
2020-01-31T09:13:24.000Z,"
20.瀚宇博 (5469) ：每股成交價37.85元，成交量45萬4000股，成交金額1718萬3900元。"
2020-10-17T01:09:20.000Z,"
符合上述篩選條件者包括欣興、台積電、彩晶、南亞科、華邦電、陽明、聯發科、中纖、金寶、台達電、智易、精成科、中租-KY、日月光投控、欣陸、國巨等16檔，第三季營收年增幅在0.39～113.02％間，10月以來獲法人買超7,328～68,917張不等。"
2020-10-17T01:09:20.000Z,"
陽明、中纖、中租-KY、欣陸等4檔則為傳產族群的少數代表，宏遠投顧出具報告指出，陽明第三季運價明顯上漲，推升整體貨櫃航運獲利，而第四季雖為淡季，但目前運價仍維持在高檔，燃油價格則低於第三季旺季水平，因此本季有機會淡季不淡，也看好財報發布可望激勵股價。"
