PublishDate,Sentence
2017-11-20T07:00:00.000Z,台積電 (2330) 證實接受歐盟初期調查，上周五隨美股大漲反彈站回10700點的台股，今天台股雖然以小紅開出，但台積電及鴻海 (2317) 走弱，蘋果概念股亦處於整理，而具漲價題材的被動元件股如：國巨 (2327) 及法人力挺的穩懋 (3105) 盤中股價創高後收低，衝擊到市場信心，在欠缺多頭司令下，台股指數開高走低，多頭轉向本土資金掛帥的中小型股及生技股表現，立康 (6242) 、尼克森 (3317) 、生達 (1720) 、麗豐-KY (4137) 、三福化 (4755) 、友華 (4120) 、科懋 (6496) 、宏齊 (6168) 、原相 (3227) 、中化生 (1762) 等漲停板作收，中小型股讓OTC指數與台股指數脫鉤。
2018-06-29T00:38:00.000Z,　據統計，這14檔擁高殖利率，股息又連5年增的個股股包括碩天、廣隆、凱撒衛、榮成、興勤、統一超、信邦、南亞、元禎、中華、光磊、台光電、三福化、關貿等，其中傳產與電子約各半。
2018-06-29T00:38:00.000Z,　據統計，這14檔擁高殖利率，股息又連5年增的個股股包括碩天、廣隆、凱撒衛、榮成、興勤、統一超、信邦、南亞、元禎、中華、光磊、台光電、三福化、關貿等，其中傳產與電子約各半。
2019-07-11T02:03:00.000Z,1.華邦電 (2344) ：營運向好，昨外資、自營商聯手買超14755張，帶動早盤股價漲逾3%。
2019-08-21T03:31:00.000Z,　據統計，採取季季配的有台積電、光寶科技、昆盈企業、晶電、光群雷射、興富發、晶華酒店、閎暉、敦泰、三福化工、聯德控股-KY、傳奇、華興電子、宏正科、福貞-KY、波力-KY及泰昇-KY等17家。
2019-12-23T07:26:48.000Z,"
今日集中市場10大漲幅個股包括:台南-KY (5906) 漲9.94%、華冠 (8101) 漲9.92%、大東 (1441) 漲9.73%、菱生 (2369) 漲9.70%、三福化(4577)漲8.48%、恩德 (1528) 漲8.33%、亞光 (3019) 漲7.76%、高力 (8996) 漲6.36%、美時 (1795) 漲6.10%、漢唐 (2404) 漲5.82%。"
2019-12-23T07:26:00.000Z, 今日集中市場10大漲幅個股包括:台南-KY (5906) 漲9.94%、華冠 (8101) 漲9.92%、大東 (1441) 漲9.73%、菱生 (2369) 漲9.70%、三福化(4577)漲8.48%、恩德 (1528) 漲8.33%、亞光 (3019) 漲7.76%、高力 (8996) 漲6.36%、美時 (1795) 漲6.10%、漢唐 (2404) 漲5.82%。
2020-01-08T02:54:00.000Z,主要蘋概股震盪整理，其中台積電 (2330) 盤中翻紅來到332.5元，小漲0.91%，鴻海 (2317) 盤中來到88.1元，跌1.1%，股王大立光 (3008) 小漲0.32%，來到4755元。
2020-02-07T06:26:23.000Z,"
權值股今日幾乎全數熄火，股王大立光 (3008) 收跌1.86%，4800元大關不保，收在4755元，台積電 (2330) 整場走弱在盤下走跌，終場收跌1.3%，鴻海 (2317) 旗下FII(工業富聯)龍華園區已在進行試產口罩，目前申請品質認證，預計2月底一天可產200萬片口罩，今股價收跌0.8%，面板雙虎友達 (2409) 、群創 (3481) 跌幅約1.5%，受到疫情衝擊，群創原表定今日公告1月營收，也宣布將延後到14日。"
2020-02-07T06:26:00.000Z,  權值股今日幾乎全數熄火，股王大立光 (3008) 收跌1.86%，4800元大關不保，收在4755元，台積電 (2330) 整場走弱在盤下走跌，終場收跌1.3%，鴻海 (2317) 旗下FII(工業富聯)龍華園區已在進行試產口罩，目前申請品質認證，預計2月底一天可產200萬片口罩，今股價收跌0.8%，面板雙虎友達 (2409) 、群創 (3481) 跌幅約1.5%，受到疫情衝擊，群創原表定今日公告1月營收，也宣布將延後到14日。
2020-02-10T09:11:42.000Z,"證交所公告今日單一證券鉅額成交，股票名稱：
1.關貿 (6183) ：每股成交價37.8元，成交量125萬8000股，成交金額4755萬2400元。"
2020-06-05T09:14:07.000Z,"
17.矽力-KY (6415) ：每股成交價1570.48元，成交量5萬8240股，成交金額9146萬4755元。"
2021-04-13T23:32:00.000Z,台股衝破萬七關卡後，賣壓出爐，指數由紅翻黑，13日終場下跌0.21％，但包括永光、信紘科、光罩、公準、創意、日揚、弘塑、三福化、世界、通嘉、聯發科等14檔台積電概念股表現相對大盤強勢，永光及信紘科股價更強拉漲停板價。
2021-11-22T07:00:59.000Z, 而台積電擴廠效應也帶動上下游供應鏈與企業投資熱潮，包括台達電(2308)、群創光電(3481)，以及日商滕田、三福化工(4755)廠房，都是由新市廠供應。
2021-12-23T23:50:34.000Z,2022年全球將新增29座晶圓廠，台灣就有八座，最受外資矚目為台積電3奈米先進製程已經試產，2022年下半年量產，連英特爾執行長基辛格（Pat Gelsinger）都來台灣企圖包產能，半導體產業仍是2022年的台股重頭戲，半導體周邊材料、設備廠如中砂（1560）、三福化（4755）、帆宣（6196）等營運將催油門。
2021-12-23T23:50:34.000Z,至於近期股價漲勢強勁的三福化工，統一投顧認為，三福化工營運搶搭半導體產業擴張的成長列車，長期展望樂觀且題材性十足，隨著市場給予高度評價，本益比進一步提升。
