PublishDate,Sentence
2018-10-11T07:08:00.000Z,傳產股也不敵賣壓，紡纖股廣越 (4438) 、儒鴻 (1476) 、聚陽(14766)重挫逾半根停板，玻陶股台玻 (1802) 、中釉 (1809) 、冠軍 (1806) 亦毫無招架之力幾乎跌停，水泥股台泥 (1101) 、亞泥 (1102) 、嘉泥 (1103) 、幸福 (1108) 疲弱無力。
2018-11-28T07:18:00.000Z,上市首日的南寶 (4766) 蜜月行情甜，股價收漲22.4%。
2019-01-18T07:16:00.000Z,百元俱樂部的成員股包括矽創 (8016) 、南寶 (4766) 、麗豐-KY (4137) 、豐祥-KY (5288) 、創意 (3443) 、瑞昱 (2379) 齊心喊聲上攻，發揮穩盤作用。
2019-03-27T02:11:00.000Z, 27.南寶 (4766) ：切入碳纖維航太領域，營運添柴火，早盤翻紅大漲4%，攻上150.5元波段高點。
2019-03-27T02:11:00.000Z, 27.南寶 (4766) ：切入碳纖維航太領域，營運添柴火，早盤翻紅大漲4%，攻上150.5元波段高點。
2019-04-30T02:01:00.000Z, 24.南寶 (4766) ：東奧加溫效應，看好拉貨動能一路延續到年底，早盤反彈近4%，企圖站回150元。
2019-04-30T02:01:00.000Z, 24.南寶 (4766) ：東奧加溫效應，看好拉貨動能一路延續到年底，早盤反彈近4%，企圖站回150元。
2019-11-01T09:12:31.000Z,"
2.南寶 (4766) ：每股成交價150元，成交量1028萬5000股，成交金額15億4275萬元。"
2019-11-01T09:12:31.000Z,"
2.南寶 (4766) ：每股成交價150元，成交量1028萬5000股，成交金額15億4275萬元。"
2020-04-06T01:50:06.000Z,與會的廠商包括:台泥、葡萄王、群光、精元、國泰金、新光金、泰碩、融程電、嘉澤、氣立、材料-KY、南寶、聯嘉、旭隼、矽力-KY、仁新、勤誠、富邦媒、億豐、商億-KY、成霖、世紀鋼、穩懋、雙鴻、中裕、中美晶、晶焱、藥華藥、環球晶、群聯、光隆、森鉅、伊雲谷等。
