PublishDate,Sentence,Score
2018-04-02T07:10:00.000Z,清明長假壓抑買盤，台股今日在10900點附近偏空震盪，個股漲跌互見，風電概念股-上緯控投 (3708) 漲停作收，虛擬貨幣概念股-撼訊 (6150) ，以及微星 (2377) 、海光 (2038) 、志聯 (2024) 、承啟 (2425) 同樣在盤中亮紅燈，但上週強勢的國巨 (2327) 等被動元件個股及中小型股股價賣壓湧出，股價急轉直下。,0
2018-04-02T07:10:00.000Z,上緯投控受惠離岸風電遴選題材，股價走勢凌厲，信昌化 (4725) 亦受買盤追捧，成為化工族群2大主力。,4
2018-04-02T06:53:00.000Z,長假前賣壓湧現，台股回防10850點！本週台股因清明長假在即僅兩個交易日，盤勢持續由內資擔綱演出，直得 (1597) 、保銳 (8093) 、中鋼構 (2013) 、上緯投控 (3708) 、寶齡富錦 (1760) 、亞力 (1514) 等風電及具題材個股在買盤力挺下以漲停作收，勉力維繫長假前漸趨冷淡的台股買氣，不過權值股如：台積電 (2330) 休兵，股王—大立光 (3008) 尾盤又重挫破底，失守3200元關卡，國巨 (2327) 等上週強勢的被動元件個股轉弱，讓市場追價意願薄弱，致使台股指數在早盤攻上10950點後反轉直下由紅翻黑，並以低點作收，終場加權股價指數為10888.27點，下跌31.22點，成交量為1019.44億元；OTC指數為154.66點，下跌0.4點，成交量為317.75億元。,-11
2018-04-03T07:14:00.000Z,盤面上，風電題材持續受到多頭追捧，中鋼構 (2013) 、上緯投控 (3708) 挾亮眼業績題材雙雙漲停，帶動春雨 (2012) 、世紀鋼 (9958) 、亞力 (1514) 跟進走高。,8
2018-04-03T06:48:00.000Z,今日盤初4月台指期即率先以下殺百點開演，隨後大盤指數下跌50.73點，新台幣亦貶值3.8分開出，在蘋概三巨頭台積電 (2330) 、鴻海 (2317) 、大立光 (3008) 皆墨，群龍無首的情勢下，大盤指數一度大跌112點、探至10775.45點，所幸風電題材續燒，包括中鋼構 (2013) 、上緯投控 (3708) 、世紀鋼 (9958) 、亞力 (1514) 等皆積極強攻，加上大立光尾盤奮力一甩拉上平盤，大盤終場下跌66.74點，收10821.53點，雖5日線宣告失守，但仍險守10800關，總成交值1157.79億元；店頭市場跌0.24點，收154.42點，總成交值358.35億元。,-3
2018-04-03T06:48:00.000Z,  盤面上，今日以風電相關概念股表現最為強勢，中鋼構 (2013) 、上緯投控 (3708) 、世紀鋼 (9958) 、亞力 (1514) 等受到多頭追捧，表現強勢。,3
2018-04-03T03:30:00.000Z,台股一片下跌聲中，僅風電概念股仍熱絡，中鋼構 (2013) 再衝第5根漲停的34.55元，上緯控股 (3708) 盤中站上170.5元漲停價；世紀鋼 (9958) 續漲；力麒 (5512) 由黑翻紅，約11時上漲0.35元，漲幅2.5%。,6
2018-04-03T02:51:00.000Z,  盤面上，風電題材持續受到多頭追捧，中鋼構 (2013) 早盤挾2月EPS 0.07元，股價再跳空漲停，帶動春雨 (2012) 跟漲逾5.5%，世紀鋼 (9958) 亦守穩80元以上，而上緯投控 (3708) 昨獲三大法人聯手買超1871張，盤中飆漲停，站上歷史新高價170.5元。,8
2018-04-02T07:10:00.000Z,清明長假壓抑買盤，台股今日在10900點附近偏空震盪，個股漲跌互見，風電概念股-上緯控投 (3708) 漲停作收，虛擬貨幣概念股-撼訊 (6150) ，以及微星 (2377) 、海光 (2038) 、志聯 (2024) 、承啟 (2425) 同樣在盤中亮紅燈，但上週強勢的國巨 (2327) 等被動元件個股及中小型股股價賣壓湧出，股價急轉直下。,0
2018-04-02T07:10:00.000Z,上緯投控受惠離岸風電遴選題材，股價走勢凌厲，信昌化 (4725) 亦受買盤追捧，成為化工族群2大主力。,4
2018-04-02T06:53:00.000Z,長假前賣壓湧現，台股回防10850點！本週台股因清明長假在即僅兩個交易日，盤勢持續由內資擔綱演出，直得 (1597) 、保銳 (8093) 、中鋼構 (2013) 、上緯投控 (3708) 、寶齡富錦 (1760) 、亞力 (1514) 等風電及具題材個股在買盤力挺下以漲停作收，勉力維繫長假前漸趨冷淡的台股買氣，不過權值股如：台積電 (2330) 休兵，股王—大立光 (3008) 尾盤又重挫破底，失守3200元關卡，國巨 (2327) 等上週強勢的被動元件個股轉弱，讓市場追價意願薄弱，致使台股指數在早盤攻上10950點後反轉直下由紅翻黑，並以低點作收，終場加權股價指數為10888.27點，下跌31.22點，成交量為1019.44億元；OTC指數為154.66點，下跌0.4點，成交量為317.75億元。,-11
2018-04-03T07:14:00.000Z,盤面上，風電題材持續受到多頭追捧，中鋼構 (2013) 、上緯投控 (3708) 挾亮眼業績題材雙雙漲停，帶動春雨 (2012) 、世紀鋼 (9958) 、亞力 (1514) 跟進走高。,8
2018-04-03T06:48:00.000Z,今日盤初4月台指期即率先以下殺百點開演，隨後大盤指數下跌50.73點，新台幣亦貶值3.8分開出，在蘋概三巨頭台積電 (2330) 、鴻海 (2317) 、大立光 (3008) 皆墨，群龍無首的情勢下，大盤指數一度大跌112點、探至10775.45點，所幸風電題材續燒，包括中鋼構 (2013) 、上緯投控 (3708) 、世紀鋼 (9958) 、亞力 (1514) 等皆積極強攻，加上大立光尾盤奮力一甩拉上平盤，大盤終場下跌66.74點，收10821.53點，雖5日線宣告失守，但仍險守10800關，總成交值1157.79億元；店頭市場跌0.24點，收154.42點，總成交值358.35億元。,-3
2018-04-03T06:48:00.000Z,  盤面上，今日以風電相關概念股表現最為強勢，中鋼構 (2013) 、上緯投控 (3708) 、世紀鋼 (9958) 、亞力 (1514) 等受到多頭追捧，表現強勢。,3
2018-04-03T03:30:00.000Z,台股一片下跌聲中，僅風電概念股仍熱絡，中鋼構 (2013) 再衝第5根漲停的34.55元，上緯控股 (3708) 盤中站上170.5元漲停價；世紀鋼 (9958) 續漲；力麒 (5512) 由黑翻紅，約11時上漲0.35元，漲幅2.5%。,6
2018-04-03T02:51:00.000Z,  盤面上，風電題材持續受到多頭追捧，中鋼構 (2013) 早盤挾2月EPS 0.07元，股價再跳空漲停，帶動春雨 (2012) 跟漲逾5.5%，世紀鋼 (9958) 亦守穩80元以上，而上緯投控 (3708) 昨獲三大法人聯手買超1871張，盤中飆漲停，站上歷史新高價170.5元。,8
2018-04-11T07:12:00.000Z,傳產股方面，櫃買生醫股在美時 (1795) 、益得 (6461) 、生華科 (6492) 、慧智 (6615) 攜手漲停下相對亮眼；風電概念股持續火熱，中鋼構 (2013) 、上緯投控 (3708) 、台船 (2208) 強攻漲停；六福 (2705) 在六福皇宮今年底熄燈利空衝擊下，股價重挫近半根停板。,2
2018-04-18T07:24:00.000Z,傳產股由中鋼 (2002) 、台塑四寶 (1301) 等原物料股及風電概念股上緯投控 (3708) 領揚，遠百 (2903) 在外資力挺下股價續攻高。,0
2018-04-25T07:12:00.000Z,高人氣的風電以及挖礦概念股攻勢再起，上緯控 (3708) 、世紀鋼 (9958) 雙雙走揚，撼訊 (6150) 跌深強彈；生醫股盤中強勢拉高，佐登-KY (4190) 、泰福-KY (6541) 、和康生 (1783) 亮燈漲停，中裕 (4147) 、大江 (8436) 等逆勢走強。,7
2018-04-25T06:23:00.000Z,  目前內資當家，上緯控 (3708) 、世紀鋼 (9958) 等風電概念股走高；撼訊 (6150) 也收紅，挖礦概念股為之一振。,2
2018-04-26T07:12:00.000Z,　權值股今日漲跌互見，股王大立光 (3008) 一度攻回3300元，台積電 (2330) 持續探低，鴻海 (2317) 止跌回穩守住80元，聯發科 (2454) 法說前股價下修，面板雙虎友達 (2409) 、群創 (3481) 亦弱勢震盪；被動元件股重回主流，龍頭股國巨 (2327) 駁斥行賄日商村田，股價止跌反彈，華新科 (2492) 、禾伸堂 (3062) 同步勁揚；風電族群上緯 (3708) 、台船 (2208) 、世紀鋼 (9958) 、新光鋼 (2031) 與中鋼構 (2013) 與生醫股和康生 (1783) 、科妍 (1786) 、晟德 (4123) 同步打落跌停為盤面弱勢指標；塑化股在台塑 (1301) 領軍下相對有撐，二線股國喬 (1312) 強彈4%創下逾10年新高價。,-2
