PublishDate,Sentence
2017-04-07T00:58:00.000Z,日期：2017年 4月 7日※本日焦點股智邦、台塑、宜鼎、綠悅-KY、欣銓、榮化、威剛、旺矽、光寶科、第一金、金像電、久威、雷科、新光鋼、聖暉、聯穎、晶采※昨日盤勢解析聯邦公開市場委員會(FOMC)會議記錄顯示聯準會(Fed)考慮縮減資產負債表規模，引發貨幣環境將日趨緊縮的疑慮，週三美股四大指數下跌。
2017-11-16T00:14:00.000Z,"　塑化指標股之一的台塑，10月合併營收達165.81億元，月減5.8％、但年增9.6％，股價昨收紅，單日成交量放大至6,826張，已突破5日線及月線，上攻挑戰季線意味濃厚，其他塑化及鋼鐵族群個股，如豐興、高興昌、燁興、榮化、台苯表現都優於大盤，漲幅達0.21～0.96％。"
2017-12-18T03:16:00.000Z,塑化族群的中石化 (1314) 股價溫和往上、上漲1.64%，榮化 (1704) 也一度小漲0.11%。
2018-06-22T07:15:00.000Z,  油電、塑膠、水泥為今日的領漲三雄，受惠油價成本、需求加溫支撐，遠東區五大泛用樹脂現貨報價維持高檔走堅態勢，台塑7月PVC外銷價更向上調漲20美元，台塑 (1301) 、華夏 (1305) 、聯成 (1313) 、台化 (1326) 及榮化 (1704) 業績加分，台化 (1326) 、國喬 (1312) 股價走高1%，台塑 (1301) 、南亞 (1303) 、聯成 (1313) 逆勢走高強於大盤。
2018-07-23T07:03:00.000Z,化工股榮化 (1704) 獲KKR以478億元收購全部股份，股價跳空漲停鎖到底，委買高掛32萬張排隊，成盤面焦點。
2018-07-23T03:02:00.000Z,  化工股榮化 （1704） 昨日宣布與全球第三大私募基金KKR簽署股份轉換協議，KKR將斥資478億元、溢價約17.28％完全收購榮化，扣除股息後每股收購價約53.1元，激勵今日榮化開盤跳鎖漲停，且尚有逾40萬張買單排隊。
2018-07-24T00:20:00.000Z,　除了台積電之外，昨日貢獻大盤點數十大功臣由權值股包辦，依序為統一超、國巨、華新科、台塑、台化、聯電、台塑化、榮化、微星等，其中，統一超、國巨、華新科貢獻逾4點，被動元件族群止穩跡象浮現。
2018-10-11T07:08:00.000Z,盤面上僅電信三雄中華電 (2412) 、台灣大 (3045) 、遠傳 (4904) 和新興 (2605) 、華經 (2468) 、致茂 (2360) 、榮化 (1704) 、超眾 (6230) 等零星個股相對抗跌。
2018-11-16T07:21:00.000Z,塑化報價下跌，然國際原油連2漲抗空頭，國喬 (1312) 、台化 (1326) 、台塑 (1301) 、榮化 (1704) 均力守平盤之上。
2018-12-19T01:54:00.000Z, 17.榮化 (1704) ：外資KKR收購案獲投審會通過，明年1月底完成私有化下市，早盤聞訊勁揚2.7%，一舉彈上各短均線。
2018-12-19T00:07:00.000Z,　至於刪除的13檔成分股包括：大成、卜蜂、聚陽、南僑、榮化、台積電、英業達、震旦行、技嘉、開發金、元大金、國票金、豐泰等，多集中在大型權值電子及金控股。
2021-10-28T00:24:05.000Z,法人表示，台股27日收在17074.55點，站上季線17049點，只是上檔壓力仍大，短線可能維持震盪走勢，不排除面臨季線保衛戰。
2021-11-03T08:22:24.000Z,（中央社記者潘智義台北2021年11月3日電）李長榮化學工業總經理劉文龍今天表示，在美國亞利桑那州、台灣中部科學園區分別新建電子級異丙醇產線，均為年產能3萬噸，也都預計2024年量產。
2021-11-03T08:22:24.000Z,劉文龍今天在李長榮化工召開的「落實綠色循環經濟願景」記者會指出，隨著半導體產業與製程的快速進化，身為全球最具影響力的半導體製程洗劑，電子級異丙醇（EIPA））供應商，有必要配合客戶在美國設廠，目前適用7奈米以下電子級異丙醇只有兩家供應商。
2021-11-03T08:22:24.000Z,"他解釋，榮化首創業界第一雙循環經濟模式，透過高階創新技術完全回收製程中產生的異丙醇廢液，純化再回到高階半導體製程中使用，同時透過自家研發的膜生物反應器設備（Membrane Bioreactor, MBR）技術將廢水過濾供工廠內部重複使用。"
2021-11-03T08:22:24.000Z,榮化規劃，亞利桑那州的的電子級異丙醇廠投資1億美元，預計2024年第1季試量產，當年度產能即可正式開出；中科廠投資新台幣19億元，因收購日本光學液晶材料大廠JSR株式會社旗下台灣捷時雅邁科公司的台灣中科工廠資產，需要交接時間，明年才動工蓋電子級異丙醇廠，但量產時間一樣在2024年。
2021-11-03T08:22:24.000Z,另一方面，李長榮化工研發中心於2019年遷入新址，3年來累計投入20億元用於創新材料研發，推出的生質琥珀酸，可望終結2500億個紙杯的碳足跡。
2021-11-03T08:22:24.000Z,榮化以消費者熟知的傳統食物包材為例說明，內緣含有一層塑膠淋膜，回收包材時，需先將淋膜分離，導致回收成本大增。
2021-11-03T08:22:24.000Z,李長榮化工解釋，使用天然的玉米糖漿研發成生質琥珀酸，使用獨家研發的菌種與發酵製程，相較石化合成琥珀酸節省了64%的能源耗用，以及100%的溫室氣體排放。
2021-11-03T23:51:29.000Z,據了解，包括漢唐、帆宣、京鼎、盟立、中美晶旗下台特化、榮化等台積電大聯盟成員，都曾表明有與台積電一起到美國設立營運據點的意向，而台積電先前也表示過，若可獲得美國政府的補貼，也會替一起赴美投資的供應鏈合作夥伴爭取補貼。
2021-11-03T08:22:24.000Z,（中央社記者潘智義台北2021年11月3日電）李長榮化學工業總經理劉文龍今天表示，在美國亞利桑那州、台灣中部科學園區分別新建電子級異丙醇產線，均為年產能3萬噸，也都預計2024年量產。
2021-11-03T08:22:24.000Z,劉文龍今天在李長榮化工召開的「落實綠色循環經濟願景」記者會指出，隨著半導體產業與製程的快速進化，身為全球最具影響力的半導體製程洗劑，電子級異丙醇（EIPA））供應商，有必要配合客戶在美國設廠，目前適用7奈米以下電子級異丙醇只有兩家供應商。
