PublishDate,Sentence
2017-08-09T01:51:00.000Z,  17.興農 (1712) ：H1每股賺0.9元，獲外資連日買超力挺，早盤勁揚3%，站回月線。
2018-01-02T02:18:00.000Z,  2.第一銅 (2009) ：期銅升至4年高點，上周五外資擴大買超1712張，激勵今早股價再漲逾6%，創14.85元新高價。
2018-01-02T02:18:00.000Z,  2.第一銅 (2009) ：期銅升至4年高點，上周五外資擴大買超1712張，激勵今早股價再漲逾6%，創14.85元新高價。
2018-10-19T07:04:00.000Z,今另一亮點是統一 (1216) 領軍的食品族群，鮮活-KY (1256) 、興農 (1235) 、福壽 (1219) 等個股獲多頭重振旗鼓，股價同步飄香。
2019-01-14T23:45:00.000Z,（中央社記者韓婷婷台北2019年1月15日電）美股自21712點以來的反彈力道在24000點前稍歇，台股也遭遇季線9743點反壓，分析師表示，近期台股量縮，多空交投日益清淡，短線先觀察9700點支撐力道。
2019-03-25T01:59:00.000Z, 8.興農 (1712) ：去年EPS 1.74元，擬配息1.3元，優於106年的1元，早盤人氣匯集，股價逆漲約2.3%。
2019-05-22T02:13:00.000Z, 32.興農 (1712) ：為貿易戰錯殺股，近日吸引外資回頭買超，早盤衝上20元，登上逾10年高點。
2019-05-27T07:13:00.000Z,化工股的興農 (1712) 、 台肥 (1722) 、花仙子 (1730) 、勝一 (1773) 等股價表現也都可圈可點。
2019-07-04T07:14:00.000Z,今日台股走揚漲，進行除息的個股沾光，化工股的東聯 (1710) 、興農 (1712) 、中華化 (1727) 多頭各擁題材，穩步朝著填息之路前進。
2019-07-04T07:14:00.000Z,今日台股走揚漲，進行除息的個股沾光，化工股的東聯 (1710) 、興農 (1712) 、中華化 (1727) 多頭各擁題材，穩步朝著填息之路前進。
2020-02-07T02:46:30.000Z,大陸宣布新一波對美商品降稅，加上強勁財報與經濟數據激勵，美股道瓊、那指、標普三大指數再度寫下歷史新高紀錄，亞洲卻持續壟罩在武漢肺炎疫情持續升溫下，亞洲股市震盪走低，台股今開盤跌36.97點、報在11712.71點，指數開低震盪走低，一度下挫逾百點，後市指數能否向上突破壓力，主要還是須看武漢肺炎疫情是否能夠逐步獲得控制。
2020-02-07T02:46:00.000Z,大陸宣布新一波對美商品降稅，加上強勁財報與經濟數據激勵，美股道瓊、那指、標普三大指數再度寫下歷史新高紀錄，亞洲卻持續壟罩在武漢肺炎疫情持續升溫下，亞洲股市震盪走低，台股今開盤跌36.97點、報在11712.71點，指數開低震盪走低，一度下挫逾百點，後市指數能否向上突破壓力，主要還是須看武漢肺炎疫情是否能夠逐步獲得控制。
2020-03-27T09:11:41.000Z,2.興農 (1712) ：每股成交價16.4元，成交量80萬6544股，成交金額1322萬7322元。
2020-03-30T09:11:51.000Z,5.興農 (1712) ：每股成交價16.6元，成交量85萬股，成交金額1411萬元。
2020-04-07T09:44:07.000Z,"
美股道瓊指數飆漲1627點，3大指數漲幅都超過7%，台股今天同步走高，加權指數收在9996.39點，大漲177.65點，漲幅1.81%，成交值擴增至新台幣1712.13億元規模；包括電子與傳統產業股同步走強。"
2020-04-08T00:05:52.000Z,4月1日除息的白紗科，目前已填息了三成，8日即將除權息的有興農，7日持有的投資人享有6.78％的現金殖利率。
2020-05-14T23:51:26.000Z,"
事實上，今年以來台股已除息31家，共計有群電、豐達科、神基、東科-KY、百容、台燿、創惟、豆府、聯成、中櫃、宜進、白紗科、欣雄、泰金寶-DR、統領、凱羿-KY、寶雅、大學光等18家完全填權息，占比近六成，群光、耿鼎、興農、聚鼎等也朝著完全填息腳步邁向，僅有至上、廣穎、富旺等幾檔個股貼息；整體而言台股完全填權息的行情值得期待，也激勵台股投資人參與除權息的熱度。"
2021-10-18T00:44:48.000Z,受惠台積電財報與展望報喜、美股反彈，且外資回補帶動台股上攻，在日技術指標低檔黃金交叉下，大盤有望持續展開技術性反彈，並挑戰月線約16802點及半年線約17126點。
2021-10-30T01:14:43.000Z,隨著半導體製程將於2024年進入埃米時代，台積電的建廠動向受到業界及市場矚目，市場傳出台積電下一座先進製程晶圓廠可望落腳台中，現在中科Fab 15廠旁的興農高爾夫球場及軍方用地已納入考慮，台積電若取得用地，將用於建置2奈米以下先進製程的超大型晶圓廠區，並分為第一期到第四期建廠計畫，等於會在當地興建4座12吋晶圓廠。
