PublishDate,Sentence
2018-03-29T07:15:00.000Z,生醫股因法說題材加持續火熱，杏輝 (1734) 亮燈漲停領軍，健喬 (4114) 、濟生 (4111) 、懷特 (4108) 、邦特 (4107) 、葡萄王 (1707) 全面勁揚。
2018-03-29T07:15:00.000Z,生醫股因法說題材加持續火熱，杏輝 (1734) 亮燈漲停領軍，健喬 (4114) 、濟生 (4111) 、懷特 (4108) 、邦特 (4107) 、葡萄王 (1707) 全面勁揚。
2019-06-20T07:02:00.000Z,生醫股寶齡 (1760) 獲外資敲進領軍大漲逾半根漲停板，帶領類股的中化 (1701) 、杏輝 (1734) 、麗豐-KY (4137) 、承業醫 (4164) 等股價春風滿面。
2019-07-18T07:09:00.000Z,亞洲生技大會下周登場，新一波國際合作商機可期，生技股今日多頭人氣聚焦，葡萄王 (1707) 、五鼎 (1733) 、杏輝 (1734) 、寶齡 (1760) 、中化生 (1762) 、和康生 (1783) 、科妍 (1786) 、佳醫 (4104) 、麗豐-KY (4137) 、國光生 (4142) 、全宇-KY (4148) 、康聯-KY (4144) 、承業 (4164) 、台耀 (4746) 等個股群起開趴狂嗨，該類股指數收漲0.74%。
2019-11-21T09:14:09.000Z,"
10.研華 (2395) ：每股成交價316.44元，成交量5萬4800股，成交金額1734萬912元。"
2019-12-19T02:22:00.000Z, 25.杏輝 (1734) ：集團射三箭戰略挺進國際，獲市場按讚力挺，早盤挾量彈高3%，飛越半年線。
2020-01-30T03:09:27.000Z,"
逆勢股則以防疫概念股口罩、清潔商短線受惠大，包括美德醫TDR (9103) 、國光 (4142) 、高端疫苗 (6547) 、豪展 (4735) 、中化 (1701) 、美吾華 (1731) 、杏輝 (1734) 等攻上漲停價位。"
2020-01-30T03:09:00.000Z,　逆勢股則以防疫概念股口罩、清潔商短線受惠大，包括美德醫TDR (9103) 、國光 (4142) 、高端疫苗 (6547) 、豪展 (4735) 、中化 (1701) 、美吾華 (1731) 、杏輝 (1734) 等攻上漲停價位。
2020-02-03T03:56:37.000Z,新型冠狀病毒疫情延燒，上週五美股重挫，且因疫情延後開紅盤的陸股也將在今天開市，讓台股未開盤就烏雲密佈，而陸股開紅盤後遭逢沈重賣壓，一開盤就大跌8.7%，跳空開低的台股亦因恐慌賣壓出籠，早盤一度重挫逾300點，指數最低達11138.03點，生醫防疫概念股依舊是盤面焦點，毛寶 (1732) 、亞諾法 (4133) 、豪展 (4735) 、南六 (6504) 、杏輝 (1734) 、康那香 (9919) 等盤中續亮燈漲停。
2020-02-03T03:56:00.000Z,新型冠狀病毒疫情延燒，上週五美股重挫，且因疫情延後開紅盤的陸股也將在今天開市，讓台股未開盤就烏雲密佈，而陸股開紅盤後遭逢沈重賣壓，一開盤就大跌8.7%，跳空開低的台股亦因恐慌賣壓出籠，早盤一度重挫逾300點，指數最低達11138.03點，生醫防疫概念股依舊是盤面焦點，毛寶 (1732) 、亞諾法 (4133) 、豪展 (4735) 、南六 (6504) 、杏輝 (1734) 、康那香 (9919) 等盤中續亮燈漲停。
2020-02-03T03:56:37.000Z,新型冠狀病毒疫情延燒，上週五美股重挫，且因疫情延後開紅盤的陸股也將在今天開市，讓台股未開盤就烏雲密佈，而陸股開紅盤後遭逢沈重賣壓，一開盤就大跌8.7%，跳空開低的台股亦因恐慌賣壓出籠，早盤一度重挫逾300點，指數最低達11138.03點，生醫防疫概念股依舊是盤面焦點，毛寶 (1732) 、亞諾法 (4133) 、豪展 (4735) 、南六 (6504) 、杏輝 (1734) 、康那香 (9919) 等盤中續亮燈漲停。
2020-02-03T03:56:00.000Z,新型冠狀病毒疫情延燒，上週五美股重挫，且因疫情延後開紅盤的陸股也將在今天開市，讓台股未開盤就烏雲密佈，而陸股開紅盤後遭逢沈重賣壓，一開盤就大跌8.7%，跳空開低的台股亦因恐慌賣壓出籠，早盤一度重挫逾300點，指數最低達11138.03點，生醫防疫概念股依舊是盤面焦點，毛寶 (1732) 、亞諾法 (4133) 、豪展 (4735) 、南六 (6504) 、杏輝 (1734) 、康那香 (9919) 等盤中續亮燈漲停。
2020-02-20T03:04:00.000Z,台積電兩大客戶均傳利空，台積電本周股價震盪，主要受到外資連四天賣超台積電共計51734張；若從今年以來看，外資對台積電逢高調節，近20個交易日累計賣超台積電158910張。
2020-03-30T09:11:51.000Z,8.群光 (2385) ：每股成交價76.43元，成交量22萬7000股，成交金額1734萬9610元。
2020-05-15T07:10:10.000Z,受到美股收漲激勵，加上台積電 (2330) 宣布揮軍美國設廠，台股一甩昨日陰霾，開漲52.28點，報10833.16點，一度攻克10900關卡，惟好景不常，盤中市場賣壓沉重，加權指數一路往下走，最低下探至10730.55點，直到尾盤多頭帶量上攻，才重返10800整數關卡，終場上漲34.04點或0.32%，收10814.92點，震盪近200點，成交量縮至1734.31億元。
