PublishDate,Sentence
2017-02-21T07:09:00.000Z,美股周一適逢總統日休市，亞股早盤普遍走揚，台股今日開小高後，在玉晶光 (3406) 重挫跌停、亞光 (3019) 跟進下殺，空方氣焰略勝一籌，盤中指數由紅翻黑，多方僅靠造紙、電器、鋼鐵等傳產股撐盤，尾盤在台積電 (2330) 、鴻海 (2317) 、可成 (2474) 等權值股獲買盤敲進，帶動指數向上拉升，終場加權指數上漲10.73點為9763.93點，成交值縮至889.78億元。
2017-03-17T00:59:00.000Z,日期：2017年 3月17日※本日焦點股美律、國泰金、宜鼎、可成、立積、台苯、聯茂、瀚荃、精元、盛群、盟立、威剛、勝一、久威、西勝、偉訓、雷科、泰銘※昨日盤勢解析歐股週三收盤前仍觀望美國利率決策、荷蘭大選，西歐三大指數小幅上漲。
2017-04-20T23:52:00.000Z,台股昨（20）日多空駁火激戰，指數在平盤上下震盪，惟空方力量終場略勝一籌，指數小跌7點。
2017-06-06T06:58:00.000Z,友達 (2409) 、群創 (3481) 因國際大廠恢復採購，旺季將至，雙虎股價齊揚，其中友達略勝一籌，漲幅達2%。
2017-06-12T04:00:00.000Z,有分析師比較超微和Nvidia GPU的挖礦實力，認為Nvidia略勝一籌。
2017-08-14T01:48:00.000Z,不過若以各機型來看，蘋果仍略勝一籌，暢銷榜第一、二名分別是iPhone 7、iPhone 7 Plus。
2018-01-20T07:01:00.000Z,　另有包括玉山金、台新金、京城銀、勝一、凱羿-KY、良維、中美冠科-KY、達興材料、直得、朋億、日馳、博智、華韡、福邦證、動力-KY、北基、巨虹、駿吉-KY等共20檔個股市值同樣創新高。
2018-05-08T06:45:00.000Z,蘋果公司股價只要再漲約16美元，市值即創下1兆美元的重大里程碑，帶動蘋概股今日持續向上攻堅，台股龍頭指標台積電 (2330) 股價開高收漲約2%、來到228元，鴻海 (2317) 甩尾收82.6元，而大立光 (3008) 盤初攻抵4070元後，空方賣壓增強，盤中多空於4000元之下對峙，惟空方略勝一籌，終場收低於3990元。
2018-06-26T02:14:00.000Z,  7.勝一 (1773) ：買盤點火，早盤急拉觸及漲停，衝上歷史高點98.7元。
2018-06-28T07:20:00.000Z,台股繼昨天失守年線大關後，今日在台幣續貶、台積電 (2330) 持續貼息下開低，盤中跌落10700點、下探10633.01點，雖然權值股大立光 (3008) 、國泰金 (2882) 、聯發科 (2454) 及日月光投控 (3711) 等力撐盤勢，帶領指數一度黑翻紅，惟空方力道略勝一籌，最後一盤再遭大單調節，終場加權指數下跌46.75點為10654.28點，收在今日相對低點並失守10700點大關，成交值為1314億元。
2018-06-28T07:20:00.000Z,台股繼昨天失守年線大關後，今日在台幣續貶、台積電 (2330) 持續貼息下開低，盤中跌落10700點、下探10633.01點，雖然權值股大立光 (3008) 、國泰金 (2882) 、聯發科 (2454) 及日月光投控 (3711) 等力撐盤勢，帶領指數一度黑翻紅，惟空方力道略勝一籌，最後一盤再遭大單調節，終場加權指數下跌46.75點為10654.28點，收在今日相對低點並失守10700點大關，成交值為1314億元。
2018-07-20T02:03:00.000Z,  10.勝一 (1773) ：業績題材加持，昨獲三大法人聯手買超806張，早盤跳空大漲5%，拚戰歷史高點112.5元。
2018-08-03T07:10:00.000Z,分析師表示，被動元件龍頭國巨今籠罩多空消息夾雜中，似有多方略勝一籌，出現止跌回穩跡象，但待底部訊號浮現前，仍宜以靜制動；台股今日量能依舊不足1400億元，多方力道略顯不足，但下周在半年線可望翻揚、月季線可望黃金交叉下，多方可望重啟攻勢挑戰本周高點11100點之上。
2018-08-03T07:10:00.000Z,分析師表示，被動元件龍頭國巨今籠罩多空消息夾雜中，似有多方略勝一籌，出現止跌回穩跡象，但待底部訊號浮現前，仍宜以靜制動；台股今日量能依舊不足1400億元，多方力道略顯不足，但下周在半年線可望翻揚、月季線可望黃金交叉下，多方可望重啟攻勢挑戰本周高點11100點之上。
2018-08-07T07:08:00.000Z,台股在雙王台積電 (2330) 仍受累中毒事件走弱，大立光 (3008) 亦上演5000元保衛戰，加上台塑四寶僅台化 (1326) 相對有撐，拖累指數再陷萬一攻防，惟空方大軍略勝一籌，指數多於盤下震盪，最後一盤遭大單賣出壓低指數，終場加權指數下跌40.66點為10983.44點，收在今日最低點，並失守11000點關卡，成交值為1188.28億元。
2018-08-21T01:26:00.000Z,儘管第三季大陸智慧型手機持續低迷，聯發科 (2454) 幾乎確定旺季不旺，但聯發科依舊想靠著高CP值的產品，拉高ASP、維持住毛利率，最新消息指出，聯發科即將發表兩款全新產品，即P80、P90，若無意外就是先前執行長蔡力行所預告，比P60效能更勝一籌的新產品，也即將會是聯發科下半年對抗高通驍龍700系列的重要產品。
2019-02-19T02:12:00.000Z, 32.勝一 (1773) ：獲外資連日買超相挺，激勵連兩日衝高大漲，今日勁揚6%，登上4個月高峰。
2019-03-20T07:12:00.000Z,分析師表示，台股早盤雖出現FOMC會前觀望氣氛，仍相對亞股表現強勢，多方表現略勝一籌，力拱指數連3日站上年線，下方短期均線5日、10日、月線持續墊高；惟技術指標6日RSI、12日RSI走軟下彎，高檔壓力區累積近一年的套牢賣壓，仍需時間消化與量能挹注。
2019-04-30T07:01:00.000Z, 台股「近關情怯」，今日多空交戰激烈，終場多方略勝一籌，收漲28.67點，5日RSI為52.25，10日RSI為62.84，9日K值為45.67，9日D值為59.78，20日乖離率為0.69。
2019-04-30T07:01:00.000Z, 台股「近關情怯」，今日多空交戰激烈，終場多方略勝一籌，收漲28.67點，5日RSI為52.25，10日RSI為62.84，9日K值為45.67，9日D值為59.78，20日乖離率為0.69。
2019-05-27T07:13:00.000Z,化工股的興農 (1712) 、 台肥 (1722) 、花仙子 (1730) 、勝一 (1773) 等股價表現也都可圈可點。
2019-10-24T02:11:15.000Z,"
6.勝一 (1773) ：電子溶劑旺季，Q3毛利率攀升至27%近8季新高，激勵早盤股價衝高至93.4元，追平4月12日前高。"
2019-10-24T02:11:00.000Z, 6.勝一 (1773) ：電子溶劑旺季，Q3毛利率攀升至27%近8季新高，激勵早盤股價衝高至93.4元，追平4月12日前高。
2019-11-06T06:39:32.000Z,台股多頭在連兩日衝高後，今疲態顯露，大盤有逾半場的時間都落於低檔整理，惟臨收權王台積電 (2330) 再次上演神龍擺尾戲碼衝新高，拉抬大盤同步翻紅，多頭再險勝一局，盤面上個股表現為主，而雙11購物節即將登場，電商、倉儲物流、金流族群摩拳擦掌，蓄勢待發，雖今逢大盤漲多回檔，相關概念股多數也壓低整理，但國泰金 (2882) 等金流族群仍相對出色。
2019-12-06T09:16:07.000Z,"證交所公告今日單一證券鉅額成交，股票名稱：
1.勝一 (1773) ：每股成交價94.3元，成交量180萬股，成交金額1億6974萬元。"
2019-12-18T02:09:00.000Z, 4.大成鋼 (2027) ：昨土洋法人對作，外資多方略勝一籌，推動早盤股價逆漲近1.5%。
2020-04-28T09:19:06.000Z,"
18.緯穎 (6669) ：每股成交價709.43元，成交量2萬5000股，成交金額1773萬5750元。"
2020-06-15T04:54:48.000Z,另外，市場點名去年獲得台積電化學材料品質合作優良供應商獎的關東鑫林，與長春石油及勝一化工也將共同赴美。
