PublishDate,Sentence
2017-08-31T07:05:00.000Z,櫃買市場今日相對活躍，光學族群因指標股紛紛遭到警示多數拉回整理，資金轉進生技股，指標股浩鼎 (4174) 遭MSCI剔除全球標準型指數台灣成分股，今利空出盡大漲近5%，帶動中裕 (4147) 、醣聯 (4168) 、懷特 (4108) 、佰研 (3205) 、東洋 (4105) 、合一 (4743) 等聯袂強彈，醫美族群麗豐-KY (4137) 、佐登-KY (4190) 同步攻頂，表現最為亮眼。
2017-08-31T07:05:00.000Z,櫃買市場今日相對活躍，光學族群因指標股紛紛遭到警示多數拉回整理，資金轉進生技股，指標股浩鼎 (4174) 遭MSCI剔除全球標準型指數台灣成分股，今利空出盡大漲近5%，帶動中裕 (4147) 、醣聯 (4168) 、懷特 (4108) 、佰研 (3205) 、東洋 (4105) 、合一 (4743) 等聯袂強彈，醫美族群麗豐-KY (4137) 、佐登-KY (4190) 同步攻頂，表現最為亮眼。
2017-10-12T05:32:00.000Z,其中，外資近8日持續賣超精材，合計賣超張數達4108張。
2018-01-15T06:55:00.000Z,浩鼎 (4174) 將於16日受邀參加元富證券舉辦的新藥開發說明會，市場買盤積極湧入卡位，帶動股價今天強攻漲停，達185.5元，連帶帶動景岳 (3164) 與懷特 (4108) 等同登漲停，生醫類股指數大漲1.79%。
2018-03-29T07:15:00.000Z,生醫股因法說題材加持續火熱，杏輝 (1734) 亮燈漲停領軍，健喬 (4114) 、濟生 (4111) 、懷特 (4108) 、邦特 (4107) 、葡萄王 (1707) 全面勁揚。
2018-03-29T07:15:00.000Z,生醫股因法說題材加持續火熱，杏輝 (1734) 亮燈漲停領軍，健喬 (4114) 、濟生 (4111) 、懷特 (4108) 、邦特 (4107) 、葡萄王 (1707) 全面勁揚。
2019-02-18T02:07:00.000Z, 18.懷特 (4108) ：生醫股開春來強強滾，早盤獲買盤進駐，股價強拉漲停，登上4個月高峰。
2019-02-19T02:12:00.000Z, 27.懷特 (4108) ：股價連三日帶量上衝，早盤彈高4%，登上6個月高峰。
2019-04-30T07:01:00.000Z,生醫股表現不凡，興櫃的台康生技 (6589) 簽訂乳癌生物相似藥授權銷售合約，漲幅達4.5%；喬山 (1736) 修正過後，多頭重啟攻勢，大漲7%以上；寶齡 (1760) 、懷特 (4108) 、旭富 (4119) 、全宇-KY (4148) 、美時 (1795) 等皆表現不凡，成為多方代表。
2019-04-30T07:01:00.000Z,生醫股表現不凡，興櫃的台康生技 (6589) 簽訂乳癌生物相似藥授權銷售合約，漲幅達4.5%；喬山 (1736) 修正過後，多頭重啟攻勢，大漲7%以上；寶齡 (1760) 、懷特 (4108) 、旭富 (4119) 、全宇-KY (4148) 、美時 (1795) 等皆表現不凡，成為多方代表。
2019-05-13T07:00:00.000Z,生技族群首季財報紅不讓，超過15家公司EPS逾1元，生技股保瑞 (6472) 、達爾膚 (6523) 有業績當靠山展現抗跌力道，帶動旭富 (4119) 、懷特 (4108) 、五鼎 (1733) 、太醫 (4126) 、鐿鈦 (4163) 等維持榮面。
2019-11-19T07:03:05.000Z,神隆 (1789) 止吐針劑在美國市場開賣，開盤10分鐘內飆上漲停25.5元，一舉躍上各短均線，並來到4個月高點，生醫股歡欣鼓舞，中化生 (1762) 、科妍 (1786) 、懷特 (4108) 、龍燈-KY (4141) 、承業醫 (4164) 、華廣 (4737) 全面進攻，助生醫股居類股漲幅前列。
2019-11-19T07:03:00.000Z,神隆 (1789) 止吐針劑在美國市場開賣，開盤10分鐘內飆上漲停25.5元，一舉躍上各短均線，並來到4個月高點，生醫股歡欣鼓舞，中化生 (1762) 、科妍 (1786) 、懷特 (4108) 、龍燈-KY (4141) 、承業醫 (4164) 、華廣 (4737) 全面進攻，助生醫股居類股漲幅前列。
2020-02-05T07:16:50.000Z,"
傳產股方面，生醫股人氣匯聚百花齊放，包括基亞 (3176) 、太景*-KY (4157) 、神隆 (1789) 、台康生技 (6589) 開盤跳空漲停，帶動合世 (1781) 、訊聯 (1784) 、佰研 (3205) 、商之器 (8409) 、懷特 (4108) 等聯袂大漲，推升上市生醫類指大漲逾2%，上櫃生醫類指勁揚約1%，雙雙位居前段班，表現相對勇猛。"
2020-02-05T07:16:00.000Z,　傳產股方面，生醫股人氣匯聚百花齊放，包括基亞 (3176) 、太景*-KY (4157) 、神隆 (1789) 、台康生技 (6589) 開盤跳空漲停，帶動合世 (1781) 、訊聯 (1784) 、佰研 (3205) 、商之器 (8409) 、懷特 (4108) 等聯袂大漲，推升上市生醫類指大漲逾2%，上櫃生醫類指勁揚約1%，雙雙位居前段班，表現相對勇猛。
