PublishDate,Sentence
2017-02-13T07:44:00.000Z,3. 傳產股: 週一以電器電纜、汽車與汽車零組件、玻陶、生技、塑膠等類股較為強勢；電器電纜看 1605 華新、1616 億泰、1612 宏泰、1603 華電的表現；汽車與汽車零組件由 4912 聯德控股 - KY、3346 麗清、2228 劍麟、3092 鴻碩、3665 貿聯 - KY、6605 帝寶、4529 昶洧、5288 豐祥 - KY、2204 中華領漲；玻陶看 1809 中釉、1802 台玻的表現；生技由 3164 景岳、4142 國光生、1729 必翔、1789 神隆領漲；塑膠看 1325 恆大、1310 台苯、1312 國喬、1314 中石化的表現。
2017-02-13T06:51:00.000Z,國光生 (4142) 日前宣布與大陸天道醫藥合作的依諾肝素納針劑產品，預估今年出貨至歐洲將達1000萬劑，加上流感疫苗出貨穩定，今年營運可望成長50%，盤中最高來到25.55元，登去年4月中來波段高點，收盤漲幅4.6%。
2017-03-14T07:07:00.000Z,今日外資買超87.4142億元，投信賣超0.8033億元，自營商賣超1.0745億元，三大法人買超85.53億元。
2017-03-14T07:07:00.000Z,　今日外資買超87.4142億元，5日RSI為61，10日RSI為58.01，9日K值為57.11，9日D值為43.87，20日乖離率為0.17。
2017-04-07T00:58:00.000Z,※未來注意事項1.週五(4/7)台股法說會或業績發表會公司：正新 (2105) 、國光生 (4142) 、群聯 (8299) 、大億 (1521) 、堤維西 (1522) 、麗清 (3346) 等。
2017-06-26T07:09:00.000Z,傳產股方面，龍頭權值股統一超 (2912) 、台塑 (1301) 、台塑化 (6505) 攜手走高，生醫股因生技展即將登場提前暖身，國光生 (4142) 、承業醫 (4164) 、瑞基 (4171) 、醣聯 (4168) 、藥華藥 (6446) 、美時 (1795) 、易威 (1799) 、浩鼎 (4174) 等齊聲大漲。
2017-10-03T01:58:00.000Z,  14.國光生 (4142) ：流感疫苗本季兩岸進擊，10月全台開打，利多激勵早盤跳漲3%，飛越20元及半年線。
2017-10-03T01:58:00.000Z,  14.國光生 (4142) ：流感疫苗本季兩岸進擊，10月全台開打，利多激勵早盤跳漲3%，飛越20元及半年線。
2018-04-08T06:38:00.000Z,　另外，本周還有24家上市櫃公司將召開法說會，近期生技族群量價齊揚，使得生技法說會最吸睛，周一有金可-KY (8406) ，周二有寶齡富錦 (1760) 、國光生 (4142) ，周三是承業醫 (4164) 、和康生技 (1783) 、訊映 (4155) 。
2018-07-24T07:08:00.000Z,國光生 (4142) 受到陸爆假疫苗、不合格疫苗，引發大陸民眾轉向港台「打針」聯想，激勵股價攻上20元。
2018-07-24T02:41:00.000Z,陸爆假疫苗、不合格疫苗，引發大陸民眾轉向香港、台灣「打針」的聯想，雖台疫苗廠商表示並沒有實質受益，但早盤國光生 (4142) 仍續攻，觸及20.95元。
2018-09-12T07:16:00.000Z,國光生 (4142) 流感疫苗利多，股價跳空漲停，重返20元關卡。
2018-09-18T02:36:00.000Z,美對陸祭出新關稅，2000億美元商品稅率10％，下周一實施，消息影響美股昨夜齊跌，早盤台股三大期指跟隨開低，隨後集中市場下跌34.39點、以10794.22點開出，一開盤即摔出年線，店頭市場亦下跌0.19點、以134.05點開出，蘋概三巨頭台積電 (2330) 、大立光 (3008) 、鴻海 (2317) 齊跌，大立光失守4000元大關，權值大軍士氣低落，盤面由瑞基 (4171) 、海悅 (2348) 、華城 (1519) 、國光生 (1519) 、威盛 (2388) 、國統 (8936) 等中低價族群領軍逆漲抗跌，盤中大盤跌點控制在50點左右。
2018-09-18T02:36:00.000Z, 盤面上，股王大立光今日賣壓沉重，股價開低走低，盤中失守4000元大關，最低一度探至3920元；被動元件受三星電機將投5000億韓元提升天津MLCC產能消息衝擊，國巨 (2327) 、華新科 (2492) 都壓低整理，跌幅逼近3%左右；國光生 (4142) 流感疫苗大陸放行，加上旗下安特羅生技今興櫃掛牌，早盤爆量強漲逾9%；統一 (1216) 產業面、基本面皆有利多方，外資持續加碼，昨日買超逾千張，支持股價站回月線，早盤漲幅逾1%。
2018-10-01T06:36:00.000Z, 中小型股—環科 (2412) 、橙的 (4554) 、盛弘 (8403) 、易華電 (6552) 、永昕 (4726) 、國光生 (4142) 及達邦蛋白 (6578) 均以漲停作收，搭配台積電及鴻海 (2317) 穩盤，電子類族重掌多頭大旗，帶動台股指數開高走高，尾盤雖然小幅拉回，但仍順利站上11050點，不過市場追價意願不足，成交量呈現萎縮，未達千億元水準，終場加權股價指數為11051.8點，上漲45.46點，成交量為928.65億元；OTC指數為134.81點，上漲1.23點，成交量為193.64億元。
2018-10-01T04:20:00.000Z,　股王—大立光 (3008) 大漲逾110元領軍上攻，穩懋 (3105) 、玉晶光 (3406) 等蘋果概念股連袂走高，股價整理已久的散熱族群及觸控相關個股今天亦獲買盤力挺，超眾 (6230) 、雙鴻 (3324) 同步漲停，跌深的Tesla概念股—貿聯-KY (3665) 等亦強攻漲停，具題材的中小型股—環科 (2412) 、國光生 (4142) 及達邦蛋白 (6578) 均亮燈，加上台積電 (2330) 及鴻海 (2317) 穩盤，讓台股指數開高走高，直逼11050點，不過漲價概念股及風電概念股仍舊疲弱，市場追價意願不足，成交量呈現萎縮，截至11點40分為止，加權股價指數為11044.12點，上漲38.38點，成交量為611.44億元；OTC指數為134.58點，上漲1點，成交量為132.04億元。
2018-10-01T06:36:00.000Z, 中小型股—環科 (2412) 、橙的 (4554) 、盛弘 (8403) 、易華電 (6552) 、永昕 (4726) 、國光生 (4142) 及達邦蛋白 (6578) 均以漲停作收，搭配台積電及鴻海 (2317) 穩盤，電子類族重掌多頭大旗，帶動台股指數開高走高，尾盤雖然小幅拉回，但仍順利站上11050點，不過市場追價意願不足，成交量呈現萎縮，未達千億元水準，終場加權股價指數為11051.8點，上漲45.46點，成交量為928.65億元；OTC指數為134.81點，上漲1.23點，成交量為193.64億元。
2018-10-01T04:20:00.000Z,　股王—大立光 (3008) 大漲逾110元領軍上攻，穩懋 (3105) 、玉晶光 (3406) 等蘋果概念股連袂走高，股價整理已久的散熱族群及觸控相關個股今天亦獲買盤力挺，超眾 (6230) 、雙鴻 (3324) 同步漲停，跌深的Tesla概念股—貿聯-KY (3665) 等亦強攻漲停，具題材的中小型股—環科 (2412) 、國光生 (4142) 及達邦蛋白 (6578) 均亮燈，加上台積電 (2330) 及鴻海 (2317) 穩盤，讓台股指數開高走高，直逼11050點，不過漲價概念股及風電概念股仍舊疲弱，市場追價意願不足，成交量呈現萎縮，截至11點40分為止，加權股價指數為11044.12點，上漲38.38點，成交量為611.44億元；OTC指數為134.58點，上漲1點，成交量為132.04億元。
2018-10-05T07:05:00.000Z,而國光生 (4142) 、康友-KY (6452) 等部分生醫股也各挾題材上揚。
2018-10-05T06:15:00.000Z, 今逆勢抗跌族群包括部分醫生股以及水泥股，即將步入流感疫苗施打旺季，國光 (4142) 逆勢小漲，中裕 (4147) 也在新藥效應加持續，股價走揚。
2018-10-29T07:15:00.000Z,然今日水泥股價則黯淡，生醫股也持續調節修正，亞泥 (1102) 、信大 (1109) 、和康生 (1783) 、雃博 (4106) 、國光生 (4142) 、康友-KY (6452) 走衰。
2018-10-30T07:16:00.000Z,生技疫苗股走勢不同調，國光生 (4142) 流感疫苗出包嚇跌6%險守20元，高端 (6547) 攜手海王集團進軍大陸腸病毒疫苗市場，多頭歡欣鼓舞。
2018-10-30T06:47:00.000Z,生技疫苗業者今日走勢不同調，國光生 (4142) 流感疫苗出包，公司初判是塑膠片，盤中股價重挫9%以上，終場守住20元關卡、收20.3元，跌幅約6%；高端疫苗 (6547) 與海王集團進軍大陸腸病毒疫苗市場，搶攻逾300億台幣商機，今人氣升溫，股價大漲5.59%、收36.85元。
2018-10-30T02:37:00.000Z,上海商銀 (5876) 掛牌來吸引三大法人加碼，今日盤中衝上38.5元，創新高價；國光生 (4142) 批號「FKAE1802」內出現白色懸浮物，國光生初判是塑膠片，早盤股價仍重摔7%，20元及半年線關卡告急。
2018-11-09T07:01:00.000Z, 類股之中，生醫股一枝獨秀，康友-KY (6452) 攻上漲停，終結連14日跌停，國光生 (4142) 跟進同步亮紅燈，科妍 (1786) 上漲逾5%，喬山 (1736) 漲幅3%，中化生 (1762) 、合康生 (1783) 同步上漲，強於大盤。
2018-11-09T02:56:00.000Z, 八大類股今僅剩生醫、玻陶族群逆勢有撐，生醫股中康友-KY (6452) 攻上漲停，終結連14日跌停，國光生 (4142) 、科妍 (1786) 上漲逾5%，喬山 (1736) 漲幅3%，中化生 (1762) 、合康生 (1783) 等也同步上漲。
2018-11-13T02:08:00.000Z, 15.國光生 (4142) ：疫苗出貨拉抬10月營收倍增，早盤逆勢走揚2.5%，觸及月線大關。
2019-04-09T06:59:00.000Z,生技類股成為多方指標，基亞 (3176) 、國光生 (4142) 各挾題材漲停鎖住，永日 (4102) 及訊聯 (1784) 等同步揚升。
2019-04-09T06:59:00.000Z,生技股的基亞 (3176) 因138億新藥授權日藥廠，直飆漲停，激勵訊聯 (1784) 強勢表態，國光生 (4142) 、景岳 (3164) 、永日 (4102) 、健亞 (4130) 等跟進強彈。
2019-04-09T02:33:00.000Z, 在盤面表現方面，生技類股由基亞 (3176) 、國光生 (4142) 各挾題材漲停鎖住帶動，多頭人氣旺盛，永日 (4102) 及訊聯 (1784) 等同步揚升，族群成為焦點指標之一；智原 (3035) 3月營收雙成長，外加與三星的合作在今年有機會搶進7奈米製程的NRE案，盤中漲幅一度逼近4%；泰山 (1218) 公司第三代家族成員傳出涉嫌，泰山股價今日跳空開低，跌幅約4%左右；3月營收表現出色的環球晶 (6488) 、中美晶 (5483) 股價漲幅都在4%以上；奇鋐 (3017) 今年散熱、機箱機櫃業務都將成長，3月營收月增23.46%，至10:10，爆出1.7萬張量能，盤中曾創短波高價。
2019-07-18T07:09:00.000Z,亞洲生技大會下周登場，新一波國際合作商機可期，生技股今日多頭人氣聚焦，葡萄王 (1707) 、五鼎 (1733) 、杏輝 (1734) 、寶齡 (1760) 、中化生 (1762) 、和康生 (1783) 、科妍 (1786) 、佳醫 (4104) 、麗豐-KY (4137) 、國光生 (4142) 、全宇-KY (4148) 、康聯-KY (4144) 、承業 (4164) 、台耀 (4746) 等個股群起開趴狂嗨，該類股指數收漲0.74%。
2019-07-26T03:37:00.000Z,生技股受到蔡總統「生醫將成下個兆元產業」一席話鼓舞，早盤在實施庫藏股的喬山 (1736) 以及利多消息加持的美時 (1795) 、藥華藥 (6446) 等聯手拉抬下，包括國光生 (4142) 、亞諾法 (4133) 、承業醫 (4164) 、中裕 (4147) 均逆勢勁揚，盤面上相對抗跌，生技股在政府政策大力點火下，後市不寂寞。
