PublishDate,Sentence
2019-07-19T07:11:00.000Z,今日外資(不含外資自營商)買超81.5913億元，投信買超7.6598億元，自營商賣超2.2602億元，三大法人買超86.99億元。
2020-03-16T00:31:06.000Z,"
6.ABC-KY （6598） ：上市案審議過關。"
2020-06-09T06:45:54.000Z,盤面上，台積電今日股東會，董事長釋出公司能繼續穩定發展，今年營運將維持成長，股價收在319元，漲幅0.31%；特斯拉昨日股價收高7.26%，帶動汽車龍頭股裕隆 (2201) 今日續揚2.8%、英利-KY (2239) 收漲逾9%、飆速衝過90關，和大 (1536) 、智伸科 (4551) 盤中曾爆量觸及漲停，拉抬汽車類股指數飆升2.87%，拿下今日類股漲幅王；ABC-KY (6598) (瑞磁生技)今日以每股48元承銷價上市，股價跳空開高為105元，尾盤收在115.5元、漲幅達140.62%，蜜月行情十分強悍。
2020-06-09T02:29:44.000Z,盤面上，龍頭漲多拉回大立光、鴻海、群創及友達皆壓低整理；台積電今日股東會董事長劉德音強調有三個競爭優勢，今年營運仍將會穩定成長，股價由平盤下方上攻，拉回在平盤附近；和大 (1536) 買單拉高，一度攻上漲停106.5元，隨後打開，漲幅約在8%左右；圓剛 (2417) Q2營運不淡，多頭攻勢凌厲，漲幅在9%以上；台達電 (2308) 5月營收近持平，Q2業績將勝Q1，股價漲幅在5%左右；另外，5月營收成長股及解封受疫族群表現相對強勢；ABC-KY (6598) 今以48元上市，新冠肺炎檢驗試劑力拚6月在美上市，盤中一度衝上110元、大漲近130%，蜜月行情火熱。
2021-01-13T01:05:04.000Z,※券商推薦股：聯發科(1)、廣達(1)、微星(1)、科嘉-KY(1)、康那香(1)、亞諾法(1)、美德醫-DR(1)、瑞基(1)、毛寶(1)、ABC-KY(1)。
2021-01-13T01:05:04.000Z,廣達、微星、科嘉-KY、恆大、康那香、亞諾法、美德醫-DR、瑞基、毛寶、ABC-KY、台積電。
2021-01-21T00:56:00.000Z,※券商推薦股：台積電(1)、臻鼎(1)、健鼎(1)、頎邦(1)、易華電(1)、帆宣(1)、樺漢(1)、毛寶(1)、恆大(1)、康那香(1)、瑞基(1)、申豐(1)、南六(1)、ABC-KY(1)、富采(1)、宏齊(1)、光鋐(1)。
2021-01-21T00:56:00.000Z,毛寶、恆大、康那香、瑞基、申豐、南六、ABC-KY、富采、宏齊、光鋐。
2021-02-22T00:56:45.000Z,※券商推薦股：亞光(1)、群創(1)、友達(1)、台積電(1)、帆宣(1)、信紘科(1)、洋基工程(1)、合一(1)、國光生(1)、台康生(1)、智擎(1)、基亞(1)、ABC-KY(1)。
2021-02-22T00:56:45.000Z,合一、國光生、台康生、智擎、基亞、ABC-KY。
