PublishDate,Sentence
2018-11-19T07:15:00.000Z,羅麗芬-KY (6666) 今掛牌上市，收場高漲逾3成，生醫股的神隆 (1789) 接連獲兩藥證，開盤跳空高鎖25.5元漲停板。
2018-11-19T03:02:00.000Z,分析師也指出，生技股今天表現也相對強勢，在羅麗芬-KY (6666) 掛牌上市下，帶動佐登-KY (4190) 、大江 (8436) 跟進上漲，製藥股也有神隆 (1789) 、東洋 (4105) 、晟德 (4123) 強勢上攻，讓生技股成為櫃買市場中，表現最凸出的族群。
2018-11-20T07:12:00.000Z,而生醫股則相對撐盤，如還在蜜月期的羅麗芬-KY (6666) 今股價翻紅持續走揚，激勵佐登-KY (4190) 、訊聯 (1784) 股價相對有撐，神隆 (1789) 同樣利多價揚，康友-KY (6452) 歷經董事長賣股風波連跌14根停板，今股價持續震盪走高，生醫股族群指數逆勢收漲0.56%。
2018-11-26T02:07:00.000Z, 19.羅麗芬-KY (6666) ：多頭攻勢再起，早盤急拉漲停鎖住，再衝掛牌新高價。
2018-11-28T07:18:00.000Z,　九合一大選後，「高雄概念股」政治利多持續延燒，百貨股的大魯閣 (1432) 雖打開漲停，今仍收漲4.42%，不甩遭列注意股的華園 (2702) 以及羅麗芬-KY (6666) 持續強勢，收盤高鎖漲停，六福 (2705) 包袱變輕，同樣多方力捧，美食-KY (2723) 、新天地 (8940) 等觀光股均走勢上揚，推升該類股指數收漲2.77%，成為台股上漲主力軍。
2018-12-11T07:08:00.000Z,烘焙器具大廠三能-KY (6671) 上市首日狂飆2成，蜜月行情甜滋滋；生醫股今日紅光滿面，營收亮麗的美容概念股受惠Q4旺季加持，大江 (8436) 、麗豐-KY (4137) 、佐登-KY (4190) 、羅麗芬-K (6666) 水噹噹。
2019-03-26T07:02:00.000Z, 光電、生醫為台股攻高雙引擎，生醫股中，樂斯科 (6662) 今以每股36.8元入伍上櫃生醫族群，早盤股價大漲逾44%，蜜月行情甜滋滋，族群表現有看頭，羅麗芬-KY (6666) 強勢漲停，喬山 (1736) 、旭富 (4119) 、麗豐-KY (4137) 、佐登-KY (4190) ，以及上櫃的精華 (1565) 、友華 (4120) 、福永生技 (4183) 、豪展 (4735) 攜手齊揚。
2019-07-08T07:22:21.000Z,"
今日集中市場漲幅前10名為:吉祥全 (2491) 漲9.99%、星通 (3025) 漲9.93%、鼎炫-KY (8499) 漲9.90%、茂林-KY (4935) 漲9.52%、欣巴巴 (9906) 漲9.22%、羅麗芬 (6666) 漲8.85%、佳能 (2374) 漲8.75%、中化生 (1762) 漲8.45%、虹堡 (5258) 漲7.75%、台表科 (6278) 漲7.13%。"
2019-07-08T07:22:00.000Z, 今日集中市場漲幅前10名為:吉祥全 (2491) 漲9.99%、星通 (3025) 漲9.93%、鼎炫-KY (8499) 漲9.90%、茂林-KY (4935) 漲9.52%、欣巴巴 (9906) 漲9.22%、羅麗芬 (6666) 漲8.85%、佳能 (2374) 漲8.75%、中化生 (1762) 漲8.45%、虹堡 (5258) 漲7.75%、台表科 (6278) 漲7.13%。
2019-07-09T02:19:00.000Z,受惠生技月題材的生技股科妍 (1786) 、和康生 (1783) 、寶齡富錦 (1760) 分別上漲超過6.7%、3.4%、3.3%；化妝品大廠羅麗芬-KY (6666) 盤中高點來到232.5元，漲幅近5%，再創波段新高。
2019-07-11T07:17:00.000Z,除息首日的正隆 (1904) 、緯穎 (6669) 、儒鴻 (1476) 穩健前行在填息路上，東哥 (8478) 更是1秒填息、開盤即填息，中釉 (1809) 也是1日填息，惟羅麗芬 (6666) 填息路顛簸，英業達 (2356) 則漲多陷窘貼息。
2019-10-23T07:16:12.000Z,傳產股普遍走弱，生技股受到美國NBI生技指數連日反彈激勵，麗豐-KY (4137) 、羅麗芬-KY (6666) 、佐登-KY (4190) 等表現亮眼。
2019-10-23T07:16:00.000Z,傳產股普遍走弱，生技股受到美國NBI生技指數連日反彈激勵，麗豐-KY (4137) 、羅麗芬-KY (6666) 、佐登-KY (4190) 等表現亮眼。
