PublishDate,Sentence,Score
2018-03-01T07:23:00.000Z,升息憂慮陰霾籠罩，使周三美股三大指數同步重挫，台股今日跟隨亞股腳步壓回修正，在台積電 (2330) 、南亞科 (2408) 與台塑四寶等權值股走弱下，指數一度下探10709.69點，連續跌破季線及5日線關卡，惟股王大立光 (3008) 逆勢突圍，帶領中小型股向上助攻，使指數跌幅逐漸收斂，終場加權指數下跌29.68點為10785.79點，跌落10800點大關、仍守住季線及5日線，成交值縮為1285.62億元；櫃買指數開低走高，終場收在今日最高148.72點。,-1
2018-03-01T07:23:00.000Z,　盤面上，電子權值股漲跌互見，股王大立 (3008) 去年每股賺193.65元，估配息逾72.5元，激勵股價強彈5.5%，台積電 (2330) 、鴻海 (2317) 、聯發科 (2454) 震盪小跌；連8日大漲的撼訊 (6150) 遭列處置股今重摔跌停，拖累挖礦概念股麗臺 (2465) 、青雲 (5386) 、映泰 (2399) 同步壓回。,0
2018-03-01T07:23:00.000Z,台股今日受制於台積電開低疲軟，加上台塑四寶、南亞科等權值股表現弱勢，使早盤指數跌破5日線與季線，所幸中場過後在股王大立光領軍強彈下，帶領以中小型股為主的櫃買市場震盪走高，終場加權指數跌幅收斂，守穩於5日線及季線等關卡之上。,-1
2018-03-01T06:37:00.000Z,公開資訊觀測站重大訊息公告(2330)台積電-本公司訂購機器設備公告1.標的物之名稱及性質（如坐落台中市北區ＸＸ段ＸＸ小段土地）:機器設備。,2
2018-03-01T06:28:00.000Z,  大型權值股今少有表現，僅股王大立光 (3008) 的回穩走高，終場收在3900元，上漲205元，漲幅逾5.5%，台積電 (2330) 、鴻海 (2317) 小跌作收，在權值股未發揮領軍作用下，中小型題材股各自表態，使得櫃買指數開低走高，終場收在今日最高位置148.72點。,6
2018-03-01T02:45:00.000Z,  電子權值股今跌多漲少，股王大立 (3008) 通過2017年每股盈餘為193.65元，估配息逾72.5元，今股價反彈大漲逾4.5%，最高一度達3920元，持續朝向4000元大關挑戰；台積電 (2330) 、鴻海 (2317) 小跌震盪，面板雙虎友達 (2409) 、群創 (3481) 亦弱勢走跌，惟宏碁 (2353) 因受到外資回補，早盤爆量翻紅，重返5日線上。,2
2018-03-01T00:15:00.000Z,台股受制於月線反壓高檔震盪，但南亞科 （2408） 、台積電 （2330） 、中光電 （5371） 等12檔個股，去年第4季「毛利率、營益率、稅後純益率」三率三升且法人低調布局，股價表現穩健。,2
2018-03-01T00:15:00.000Z,　據統計，在已公布去年財報的125家上市櫃企業中，有30檔呈現「三率三升」，其中12檔是近2日三大法人持續加碼標的，包含南亞科、台積電等股。,1
2018-03-02T07:18:00.000Z,亞股今日同步「嚇」跌，台股在權值股富邦金 (2881) 、國泰金 (2882) 、台積電 (2330) 、大立光 (3008) 等全面走弱下，指數開低走低，多空於半年線附近展開攻防，僅部分題材股表現有撐，終場加權指數下跌87.62點為10698.17點，連續跌破10700點、5日線及季線，險守半年線大關，成交值縮為1094.58億元。,-6
2018-03-02T07:18:00.000Z,　受到國際股市重挫影響，權值股今日普遍承壓，蘋概股天王大立光 (3008) 、台積電 (2330) 、鴻海 (2317) 及台塑四寶台塑 (1301) 、南亞 (1303) 、台化 (1326) 、台塑化 (6505) 與金控雙雄富邦金 (2881) 、國泰金 (2882) 同步走疲。,-1
