PublishDate,Sentence,Score
2017-07-03T06:01:00.000Z,觀察盤面焦點，外資連續6天加碼的金屬機殼廠鎧勝-KY來到波段新高108元，漲幅5.88%；IC設計廠聯發科 (2454) 成本優化有成，獲外資調高評等至「買進」，目標價上看355元，今天股價收在267.5元，漲2.69%；傳與鴻海 (2317) 結盟一起搶親東芝半導體的旺宏 (2337) 收16.8元，上漲0.6%。,7
2017-07-03T02:51:00.000Z,觀察盤面焦點，傳鴻海 (2317) 擬結盟記憶體大廠旺宏 (2337) 搶標東芝半導體，激勵旺宏股價今天大漲逾2%，報17.05元；IC設計廠聯發科 (2454) 成本優化有成，獲外資調高評等至「買進」，目標價上修到355元，早盤股價大漲逾3%，報268.5元。,8
2017-07-03T01:12:00.000Z,鴻海 (2317) 集團競標搶東芝半導體受挫，現在傳郭台銘有意找另一個記憶體大廠旺宏電子 (2337) 當盟友，以此掌握談判籌碼或打專利戰反制，但消息未獲雙方證實。,-2
2017-07-03T01:12:00.000Z,　外傳郭台銘在六月偕鴻海旗下業成 (6456) 董座周賢穎，頻繁拜訪旺宏董座吳敏求，很有可能就是在洽談合作處理東芝案事宜。,1
2017-07-03T01:12:00.000Z,　業內人士分析，旺宏所有的專利數僅次於台積電 (2330) ，也是著名的記憶體大廠。,2
2017-07-03T01:12:00.000Z,由於東芝目前有侵犯旺宏專利之虞，已被旺宏提出告訴，郭台銘現在爭取與旺宏合作，未來或有機會藉此對東芝進行反制，或取得入股的談判優勢。,4
2017-07-03T06:01:00.000Z,觀察盤面焦點，外資連續6天加碼的金屬機殼廠鎧勝-KY來到波段新高108元，漲幅5.88%；IC設計廠聯發科 (2454) 成本優化有成，獲外資調高評等至「買進」，目標價上看355元，今天股價收在267.5元，漲2.69%；傳與鴻海 (2317) 結盟一起搶親東芝半導體的旺宏 (2337) 收16.8元，上漲0.6%。,7
2017-07-03T02:51:00.000Z,觀察盤面焦點，傳鴻海 (2317) 擬結盟記憶體大廠旺宏 (2337) 搶標東芝半導體，激勵旺宏股價今天大漲逾2%，報17.05元；IC設計廠聯發科 (2454) 成本優化有成，獲外資調高評等至「買進」，目標價上修到355元，早盤股價大漲逾3%，報268.5元。,8
2017-07-03T01:12:00.000Z,鴻海 (2317) 集團競標搶東芝半導體受挫，現在傳郭台銘有意找另一個記憶體大廠旺宏電子 (2337) 當盟友，以此掌握談判籌碼或打專利戰反制，但消息未獲雙方證實。,-2
2017-07-03T01:12:00.000Z,　外傳郭台銘在六月偕鴻海旗下業成 (6456) 董座周賢穎，頻繁拜訪旺宏董座吳敏求，很有可能就是在洽談合作處理東芝案事宜。,1
2017-07-03T01:12:00.000Z,　業內人士分析，旺宏所有的專利數僅次於台積電 (2330) ，也是著名的記憶體大廠。,2
2017-07-03T01:12:00.000Z,由於東芝目前有侵犯旺宏專利之虞，已被旺宏提出告訴，郭台銘現在爭取與旺宏合作，未來或有機會藉此對東芝進行反制，或取得入股的談判優勢。,4
2017-07-10T08:45:00.000Z,外資上週自集中市場買超最多的前3名上市公司及張數分別為聯電8萬376張、中鋼3萬3203張、旺宏3萬229張；外資自集中市場賣超最多的前3名上市公司及張數分別為友達5萬212張、台積電2萬9977張、鴻海2萬5177張。,0
2017-07-10T03:58:00.000Z,　在個股方面，聯電 (2303) 連續兩周位居外資買超第一大個股，上周再買超8萬376張，中鋼 (2002) 、旺宏 (2337) 分居買超第二、三大，分別買超3萬3203張及3萬229張。,3
2017-07-17T01:41:00.000Z,已經確定與會的台廠包括:台積電 (2330) 、鴻海 (2317) 、日月光 (2311) 、可成 (2474) 、華碩 (2357) 、頎邦 (6147) 、致茂 (2360) 、友達 (2409) 、英業達 (2356) 、旺宏 (2337) 、東洋 (4105) 、美食-KY (2723) 、國泰金 (2882) 、富邦金 (2881) 等近百家業者。,1
2017-07-26T06:51:00.000Z,電子股旺宏 (2337) 、華邦電 (2344) 股價續強；中美晶 (5483) 、環球晶 (6488) 股價雙雙奔高，太陽能族群受帶動人氣發燙，昱晶 (3514) 、綠能 (3519) 、台勝科 (3532) 、昇陽科 (3561) 攜手走強。,2
2017-07-26T06:33:00.000Z,  電子股今日以外資買超的強股恆強，像是缺貨題材的旺宏2337)股價續強；環球晶(6488)及台勝科 (3532) 亦聯袂大漲。,5
2017-07-26T02:53:00.000Z,  電子股今日以外資買超的強股恆強，像是缺貨題材的旺宏 (2337) 、華邦電 (2344) 股價續強；環球晶 (6488) 及台勝科 (3532) 亦聯袂大漲。,5
