PublishDate,Sentence,Score
2018-12-22T06:14:00.000Z,台塑化 （6505） 下挫1.38％較弱，股王大立光 （3008） 、台積電 （2330） 、日月光投控 （3711） 、鴻海 （2317） 亦下跌0.7～0.92％。,-3
2018-12-25T02:56:00.000Z,日月光投控 (3711) 來到57.9元，跌0.34%。,-1
2018-12-25T02:39:00.000Z,「特選大蘋果報酬指數」最新成分股依2018年第三季底權重占比依序為大立光 (3008) 、台達電 (2308) 、日月光投控 (3711) 、台積電 (2330) 、鴻海 (2317) 、可成 (2474) 、廣達 (2382) 、國巨 (2327) 、和碩 (4938) 及光寶科 (2301) ，在蘋果公司每年公布供應鏈後，該指數將每年進行1次成分股審核，以期更符合該指數特性。,2
2018-12-27T04:28:00.000Z,　權值股今日振奮，以傳產的台塑化 （6505） 漲近6％氣勢最旺，台積電 （2330） 、台化 （1326） 雙雙漲逾3％，股王大立光 （3008） 、聯發科 （2454） 、日月光投控 （3711） 、南亞 （1303） 、台塑 （1301） 漲逾2％。,3
2018-12-06T02:42:00.000Z,日月光投控 (3711) 來到60.3元，跌3.9%。,-1
2018-12-15T07:10:00.000Z,從供應鏈來看，本土投顧及外資法人報告分析，台灣有不少廠商與華為有關，包括台積電 (2330) 、大立光 (3008) 、聯發科 (2454) 、日月光投控 (3711) 、鴻海集團 (2317) 、南亞科 (2408) 、欣興電子 (3037) 、景碩 (3189) 、旺宏 (2337) 、聯亞 (3081) 、晶技 (3042) 等。,0
2018-12-15T07:10:00.000Z,海思晶片在日月光投控旗下矽品進行封測，也由京元電進行專業測試，相關載板由欣興或景碩提供。,1
2018-12-18T03:10:00.000Z,日月光投控 (3711) 來到59.9元，跌0.66%。,-1
2018-12-22T06:14:00.000Z,台塑化 （6505） 下挫1.38％較弱，股王大立光 （3008） 、台積電 （2330） 、日月光投控 （3711） 、鴻海 （2317） 亦下跌0.7～0.92％。,-3
2018-12-25T02:56:00.000Z,日月光投控 (3711) 來到57.9元，跌0.34%。,-1
2018-12-25T02:39:00.000Z,「特選大蘋果報酬指數」最新成分股依2018年第三季底權重占比依序為大立光 (3008) 、台達電 (2308) 、日月光投控 (3711) 、台積電 (2330) 、鴻海 (2317) 、可成 (2474) 、廣達 (2382) 、國巨 (2327) 、和碩 (4938) 及光寶科 (2301) ，在蘋果公司每年公布供應鏈後，該指數將每年進行1次成分股審核，以期更符合該指數特性。,2
2018-12-27T04:28:00.000Z,　權值股今日振奮，以傳產的台塑化 （6505） 漲近6％氣勢最旺，台積電 （2330） 、台化 （1326） 雙雙漲逾3％，股王大立光 （3008） 、聯發科 （2454） 、日月光投控 （3711） 、南亞 （1303） 、台塑 （1301） 漲逾2％。,3
