PublishDate,Sentence
2018-07-03T02:22:00.000Z,  14.麗正 (2302) ：車用二極體股熱，刺激早盤飆漲摸及漲停價10.75元，站穩所有短均。
2018-07-03T02:22:00.000Z,  14.麗正 (2302) ：車用二極體股熱，刺激早盤飆漲摸及漲停價10.75元，站穩所有短均。
2018-08-30T01:24:00.000Z,亞洲股市周四日股開盤漲171.96點，報23020.18；韓股開盤漲4.08點，報2313.11。
2018-12-12T07:17:00.000Z,MOSFET等缺貨題材股人氣強強滾，大中 (6435) 今年拚賺1股本，股價率先衝漲停，帶動杰力 (5299) 、富鼎 (8261) 、尼克森 (3317) 、嘉晶 (3016) 火力全開；二極體族群不惶多讓，強茂 (2481) 、麗正 (2302) 、統懋 (2434) 亮燈漲停，被動元件、矽晶圓族群國巨 (2327) 、華新科 (2492) 、環球晶 (6488) 、合晶 (6182) 緊跟在後聯袂走高。
2019-11-01T07:04:16.000Z,今日外資(不含外資自營商)買超87.8737億元，投信賣超2.9805億元，自營商買超14.2302億元，三大法人買超99.12億元。
2019-11-01T07:04:00.000Z,今日外資(不含外資自營商)買超87.8737億元，投信賣超2.9805億元，自營商買超14.2302億元，三大法人買超99.12億元。
2019-11-01T07:04:16.000Z,今日外資(不含外資自營商)買超87.8737億元，投信賣超2.9805億元，自營商買超14.2302億元，三大法人買超99.12億元。
2019-11-01T07:04:00.000Z,今日外資(不含外資自營商)買超87.8737億元，投信賣超2.9805億元，自營商買超14.2302億元，三大法人買超99.12億元。
2020-04-06T09:14:29.000Z,"
3.統一 (1216) ：每股成交價67.92元，成交量33萬9000股，成交金額2302萬4880元。"
2021-03-16T02:46:50.000Z,外資15日賣超台積電2302張。
