PublishDate,Sentence
2017-02-05T01:44:00.000Z,華邦電、新唐與聯詠 (3034) 法說會將於7日登場，為農曆年後半導體法說旺季揭開序幕，瑞昱 (2379) 與譜瑞-KY (4966) 將緊接著於8日舉行法說會，立積 (4968) 與創意 (3443) 將分別於9日及10日召開法說會。
2017-02-05T01:44:00.000Z,面板驅動IC廠聯詠今年除有有機發光二極體(OLED)驅動IC及面板驅動觸控整合單晶片(TDDI)新產品量產效益外，並將收購智原的安控產品線，將可帶動營運順利止跌回升。
2017-02-12T01:24:00.000Z,（中央社記者張建中新竹2017年2月12日電）半導體廠第1季營運展望不同調，聯發科與創意第1季展望保守，業績恐將季減2位數百分點，瑞昱、聯詠與譜瑞-KY則可望有淡季不淡表現，業績有機會較去年第4季持平。
2017-02-12T01:24:00.000Z,面板驅動IC廠聯詠 (3034) 第1季在小尺寸面板驅動IC銷售暢旺支撐下，業績也可望有淡季不淡表現，季合併營收將約108億至112億元，將較去年第4季持平至減少3.7%。
2017-03-01T06:55:00.000Z,　盤面上，電金權值股仍乏力，雙王台積電 (2330) 、大立光 (3008) 聯袂走跌，上周五噴出大漲的聯電 (2303) 亦同步回檔，惟旗下IC設計股聯陽 (3014) 因配息大方鎖漲停，帶動矽統 (2363) 、聯詠 (3034) 、智原 (3035) 全面上攻；AR、VR等新應用帶動3D感測鏡頭需求湧現，新鉅科 (3630) 及今國光 (6209) 可望受惠，股價雙雙漲停表現最亮眼。
2017-03-01T06:55:00.000Z,　盤面上，電金權值股仍乏力，雙王台積電 (2330) 、大立光 (3008) 聯袂走跌，上周五噴出大漲的聯電 (2303) 亦同步回檔，惟旗下IC設計股聯陽 (3014) 因配息大方鎖漲停，帶動矽統 (2363) 、聯詠 (3034) 、智原 (3035) 全面上攻；AR、VR等新應用帶動3D感測鏡頭需求湧現，新鉅科 (3630) 及今國光 (6209) 可望受惠，股價雙雙漲停表現最亮眼。
2017-03-06T03:40:00.000Z,同時，有鑒於中國大陸智慧型手機量能恐衰退，亞系外資仍保守看待IC設計廠聯發科 (2454) 、聯詠 (3034) ，皆給予「減碼」評等。
2017-03-14T07:07:00.000Z,　盤面上，權值股表現相對亮眼，傳金龍頭股元大金 (2885) 、統一 (1216) 、美利達 (9914) 、東元 (1504) 、統一超 (2912) 領軍喊衝，電子股可成 (2474) 、群光 (2385) 、聯詠 (3034) 、健鼎 (3044) 和英業達 (2356) 攜手勁揚。
2017-03-14T06:40:00.000Z,  權值股中，亞系外資出具報告維持金屬機殼大廠可成 (2474) 「買進」評等，且目標價自290元上修到310元，激勵今日股價終場以大漲17元，達273.5元作收，漲幅6.63%，表現最為亮眼；群光 (2385) 和創見 (2451) 漲幅分別為5.99%、4.3%；長榮航 (2618) 、元大金漲幅皆逾3%，統一 (1216) 、台塑化 (6505) 、華碩 (2357) 和美利達 (9914) 、英業達 (2356) 、中租-KY (5871) 、統一超 (2912) 、聯詠 (3034) 、健鼎 (3044) 、GIS-KY (6456) 漲幅皆逾2%。
2017-03-14T03:04:00.000Z,  台股權值股今日表現亮眼，創見 (2451) 大漲逾4%，美利達 (9914) 、群光 (2385) 、東元 (1504) 、台塑化 (6505) 、長榮航 (2618) 、統一超 (2912) 上漲逾3%，元大金 (2885) 、統一 (1216) 、聯詠 (3034) 、健鼎 (3044) 和英業達 (2356) 皆上漲逾2%。
