PublishDate,Sentence
2017-02-21T00:20:00.000Z,而今年台股的焦點，主軸仍在 iPhone8，但目前仍未多所表態，後續題材可再觀察，像是類載板景碩、華通；3D 觸控面板，業成、宸鴻；機殼鴻準、可成；雙鏡頭大立光、3D 感測聯均、揚聲器美律、康控等。
2017-02-23T04:22:00.000Z,  今年以來包括大立光 (3008) 、台郡 (6269) 、可成 (2474) 、美律 (2439) 、新普 (6121) 、景碩 (3189) 、玉晶光 (3406) 、TPK-KY (3673) 以及鴻海集團的臻鼎-KY (4958) 、GIS-KY (6456) 等等，漲幅幾乎都跑贏大盤。
2017-03-22T00:59:00.000Z,※未來注意事項1.週三(3/22)台股重要法說會公司：亞德客-KY (1590) 、日月光 (2311) 、仁寶 (2324) 、台積電 (2330) 、華碩 (2357) 、京元電子 (2449) 、聯發科 (2454) 、奇力新 (2456) 、義隆 (2458) 、可成 (2474) 、穩懋 (3105) 、景碩 (3189) 、新日興 (3376) 、譜瑞-KY (4966) 、GIS-KY (6456) 等。
2017-05-08T03:47:00.000Z,　上周五歐美股市連袂衝高，且法國總統大選結果符合市場預期，亞洲主要股市除陸股外，指數多上演走高，讓上周五殺低的台股在盤前展現樂觀氣氛，一開盤也在台積電股價開高，並登上200元關卡下以高盤開出，季報出色的GIS-KY (6456) 、大宇資 (6111) ，以及股價整理已久的雙鴻 (3324) 等盤中股價強攻漲停板，環球晶圓 (6488) 、景碩 (3189) 、先進光 (3362) 等盤中大漲，帶動台股指數一度衝高至9960點，不過，股王—大立光 (3008) 拉回，宏達電 (2498) 及同致 (3552) 等弱勢，且傳產股普遍走跌，加上萬點關前逢高減碼賣壓持續湧現，讓台股指數開高走低，指數回防9900點，截至11點30分，加權股價指數為9906.45點，小漲6.51點，成交量為497.35億元；OTC指數為131.97點，下跌0.29點，成交量為173.37億元。
2017-06-22T03:13:00.000Z,  富邦投顧給予「加碼」或「買進」的名單共有15檔，包括:台積電 (2330) 、鴻海 (2317) 、大立光 (3008) 、力成 (6239) 、日月光 (2311) 、穩懋 (3105) 、景碩 (3189) 、環球晶 (6488) 、瑞昱 (2379) 、樺漢 (6414) 、上銀 (2049) 、統一超 (2912) 、富邦媒 (8454) 、雄獅 (2731) 、百和 (9938) 等。
2017-08-07T02:28:00.000Z,台灣類載板廠商包括景碩(3189)等，MoneyDJ新聞7月10日報導，景碩(3189)上半年因蘋果未啟動拉貨以及中國手機市場疲軟，營收面臨衰退表現，第三季起開始啟動拉貨潮，法人估營收將有25%的季成長，第四季將登全年最高峰，而市場關心的類載板已於7月起開產，估今年佔比重可達10-15%的水準。
2017-08-15T06:43:00.000Z,蘋果i8上市在即，華通 (2313) 等有望迎來旺季，加上市場傳出明年量產的三星Galaxy S9與蘋果i8一樣，都將採用類載板(SLP)，景碩 (3189) 亦值得關注，今日雙雙量增價揚，華通成交量近3萬張，股價重返30元關卡之上、收30.3元，漲幅6.5%，景碩漲4.45%、收84.5元。
2017-08-17T00:48:00.000Z,5.電子類股：(1)PCB相關族群：近期銅價走揚中，有利於此族群報價，再加上PCB也進入下半年出貨旺季，Q3營收將逐漸升溫，先前外資大量買超的2313華通依舊持續走揚創高，也帶動此族群買盤延續中，包括8046南電、3229晟鈦、3189景碩、8358金居與8039台虹等股也走強，短線此族群買盤增溫中，未來仍可多留意。
2017-09-04T01:42:00.000Z,（中央社記者鍾榮峰台北2017年9月4日電）蘋果iPhone8將亮相，A11處理器、OLED材料、類載板SLP、3D感測模組、組裝等供應鏈漸浮出檯面，台積電、大立光和玉晶光、同欣電、景碩、鴻海、和碩等可望吃補。
2017-09-04T01:42:00.000Z,新款iPhone將採用類載板SLP（Substrate-LikePCB），台廠景碩 (3189) 和華通 (2313) 受到關注。
2017-09-04T01:42:00.000Z,（中央社記者鍾榮峰台北2017年9月4日電）蘋果iPhone8將亮相，A11處理器、OLED材料、類載板SLP、3D感測模組、組裝等供應鏈漸浮出檯面，台積電、大立光和玉晶光、同欣電、景碩、鴻海、和碩等可望吃補。
2017-09-04T01:42:00.000Z,新款iPhone將採用類載板SLP（Substrate-LikePCB），台廠景碩 (3189) 和華通 (2313) 受到關注。
2018-03-09T07:10:00.000Z,　蘋概股成為盤面領漲指標，龍頭股大立光 (3008) 、鴻海 (2317) 強勢走高，台積電 (2330) 平盤整理，受到躋入蘋果前200大供應鏈利多激勵，景碩 (3189) 、明安 (8938) 、谷崧 (3607) 全面漲停，新至陞 (3679) 及兆利 (3548) 跟進大漲；比特幣概念股因虛擬貨幣遇交易危安逆風，概念股青筍筍，青雲 (5386) 、麗臺 (2465) 、映泰 (2399) 打落跌停；二線光學族群出現輪漲行情，先進光 (3362) 、聯一光 (3441) 、亞光 (3019) 和今國光 (6209) 等攜手反彈。
2018-03-09T06:38:00.000Z,  蘋果最新200大供應鏈名單出爐，也成為今日面一大焦點，概念股也掀起慶祝行情，包括兆利 (3548) 、景碩(3198)、明安 (8938) 、谷崧 (3607) 盤中均亮燈漲停，多頭氣勢剽悍，也帶動盤面快速輪動；另外，二線光學族群今也出現輪漲行情，先進光 (3362) 收盤大漲逾7.5%，聯一光 (3441) 、亞光 (3019) 和今國光 (6209) 等也同步走揚。
2018-03-28T01:51:00.000Z,從供應鏈台廠來看，報告表示，主要台廠供應商包括處理器晶圓代工台積電 (2330) 、組裝廣達 (2382) 、金屬粉末射出成形MIM機構件新日興 (3376) ；軟板包括欣興 (3037) 、景碩 (3189) 、嘉聯益 (6153) ；石英元件晶技 (3042) 、以及系統級封裝（SiP）的日月光旗下環旭電子等。
2018-05-03T01:26:00.000Z,Apple Watch主要供應商包括負責處理器代工的台積電 (2330) 、軸承廠新日興 (3376) 、PCB廠嘉聯益 (6153) 、欣興 (3037) 、景碩 (3189) 以及石英元件廠晶技 (3042) ，面板則是韓廠三星負責供應，而下游組裝廠則是廣達 (2382) 獨家操刀。
2018-05-03T01:26:00.000Z,Apple Watch主要供應商包括負責處理器代工的台積電 (2330) 、軸承廠新日興 (3376) 、PCB廠嘉聯益 (6153) 、欣興 (3037) 、景碩 (3189) 以及石英元件廠晶技 (3042) ，面板則是韓廠三星負責供應，而下游組裝廠則是廣達 (2382) 獨家操刀。
2018-09-17T06:59:00.000Z,然近期震幅加劇的電子零組件也呈上漲態勢，其中IC載板暨印刷電路板(PCB)廠欣興 (3037) 、景碩 (3189) 、南電 (8046) 可望同步受惠，看好大單到手，下半年旺季營運可期，今股價同步樂漲。
2018-10-29T00:08:00.000Z,　據CMoney統計，3家以上機構法人對今年及明年EPS提出預估數中，信驊、美律、緯創、譜瑞-KY、為升、貿聯-KY、聯發科、大立光、廣達、景碩、台達電、瑞昱、穩懋、世界、豐泰、亞德客-KY、台積電等，預估明年EPS均有14～45％的年成長。
2018-11-15T07:20:00.000Z,IC基板易華電 (6552) 、景碩 (3189) 以及印刷電路柏承 (6141) 、金像電 (2368) 亦漲幅達逾半根停板。
2018-12-03T06:59:00.000Z,ABF載板產線大滿載，受惠股南電 (8046) 飆上漲停，欣興 (3037) 、景碩 (3189) 股價也強勢表態。
2018-12-03T06:59:00.000Z,ABF載板產線大滿載，受惠股南電 (8046) 飆上漲停，欣興 (3037) 、景碩 (3189) 股價也強勢表態。
2018-12-11T07:08:00.000Z,　中美貿易戰火在華為公主被捕後升高，iPhone手機侵犯高通專利遭大陸祭出禁售令，蘋果股價卻利空不跌，激勵概念股大立光 (3008) 、台積電 (2330) 、鴻海 (2317) 、玉晶光 (3406) 、台達電 (2308) 等聯袂反彈，5G概念股受惠大陸官方政策力挺，智邦 (2345) 、智易 (3596) 、台通 (8011) 、啟碁 (6285) 、正文 (4906) 等強強滾；PCB族群今日由南電 (8046) 發動攻勢強登漲停，華通 (2313) 、景碩 (3189) 、台光電 (2383) 、聯茂 (6213) 等緊跟在後。
2018-12-15T07:10:00.000Z,從供應鏈來看，本土投顧及外資法人報告分析，台灣有不少廠商與華為有關，包括台積電 (2330) 、大立光 (3008) 、聯發科 (2454) 、日月光投控 (3711) 、鴻海集團 (2317) 、南亞科 (2408) 、欣興電子 (3037) 、景碩 (3189) 、旺宏 (2337) 、聯亞 (3081) 、晶技 (3042) 等。
2018-12-15T07:10:00.000Z,海思晶片在日月光投控旗下矽品進行封測，也由京元電進行專業測試，相關載板由欣興或景碩提供。
2018-12-25T07:05:00.000Z,近期因轉機題材漲多的IC載板族群易華電 (6552) 、南電 (8046) 、欣興 (3037) 、景碩 (3189) 因調節賣壓出籠集體跳水。
2019-01-29T07:17:00.000Z,載板族群挾營運轉佳等題材加持，欣興 (3037) 、易華電 (6552) 、南電 (8046) 、景碩 (3189) 等持穩盤上。
2019-01-30T05:47:00.000Z,觀察晶片供應鏈，法人表示，海思晶片主要在台積電 (2330) 晶圓代工投片生產，也有採用台積電7奈米製程；後段封裝以日月光投控 (3711) 旗下矽品為主，後段晶圓測試和成品測試以京元電 (2449) 和日月光半導體為主；相關載板由欣興 (3037) 或景碩 (3189) 提供。
2019-01-30T05:47:00.000Z,從供應鏈來看，本土投顧及外資法人先前報告分析，台灣有不少廠商與華為有關，包括台積電、大立光 (3008) 、聯發科 (2454) 、日月光投控、鴻海集團 (2317) 、南亞科 (2408) 、欣興電子、景碩、旺宏 (2337) 、聯亞 (3081) 、晶技 (3042) 等。
2019-01-30T05:47:00.000Z,觀察晶片供應鏈，法人表示，海思晶片主要在台積電 (2330) 晶圓代工投片生產，也有採用台積電7奈米製程；後段封裝以日月光投控 (3711) 旗下矽品為主，後段晶圓測試和成品測試以京元電 (2449) 和日月光半導體為主；相關載板由欣興 (3037) 或景碩 (3189) 提供。
2019-01-30T05:47:00.000Z,從供應鏈來看，本土投顧及外資法人先前報告分析，台灣有不少廠商與華為有關，包括台積電、大立光 (3008) 、聯發科 (2454) 、日月光投控、鴻海集團 (2317) 、南亞科 (2408) 、欣興電子、景碩、旺宏 (2337) 、聯亞 (3081) 、晶技 (3042) 等。
2019-02-24T01:10:00.000Z,從供應鏈來看，本土投顧及外資法人先前報告分析，台灣有不少廠商與華為有關，包括台積電 (2330) 、大立光 (3008) 、聯發科 (2454) 、日月光投控 (3711) 、鴻海集團 (2317) 、南亞科 (2408) 、欣興電子、景碩 (3189) 、旺宏 (2337) 、聯亞 (3081) 、晶技 (3042) 等。
2019-03-07T07:10:00.000Z,2月營收陸續發布，光鋐 (4956) 雙增推升股價登漲停板；宏達電 (2498) 探底遭利空轟炸，挾2萬張量能嚇跌失守月線；景碩 (3189) 營收雙降創近8年低點，股價開低走低；南電 (8046) 同受淡季影響，營收雙衰寫近10年低點，股價力守平盤。
2019-04-17T02:08:00.000Z, 30.景碩 (3189) ：外資連日賣超後，昨轉站買方，激勵早盤爆量彈上漲停50.2元。
2019-04-18T07:18:00.000Z,其他和解受惠股或是高通概念股，如日月光投控 (3711) 、京元電子 (2449) 、億光 (2393) 、英業達 (2356) 、世芯-KY (3661) 、立積 (4968) 、華碩 (2357) 、聯電 (2303) 、晶技 (3042) 、和碩 (4938) 、盛群 (6202) 等股價也均走衰，碩 (3189) 則獲5G題材護體，股價續彈升。
2019-04-29T07:16:00.000Z,IC載板族群近期股價漲多，欣興 (3037) 、南電 (8046) 、景碩 (3189) 慘遭空頭襲擊成重災區。
2019-04-29T07:16:00.000Z,IC載板族群近期股價漲多，欣興 (3037) 、南電 (8046) 、景碩 (3189) 慘遭空頭襲擊成重災區。
2019-05-14T02:36:00.000Z,由於中美貿易戰再度升溫，亞系外資點名減碼可成 (2474) 、穩懋 (3105) 、景碩 (3189) 、和碩 (4938) 及和大 (1536) 等，今日全數壓低整理。
2019-05-16T07:15:00.000Z,　美國川普簽署行政命令，禁購華為設備，台廠相關概念股臉綠，台積電 (2330) 今處於平盤下停歇，收跌0.8%至247元，群創 (3481) 也重跌6.85%至8.02元，旺宏 (2337) 、正崴 (2392) 、緯創 (3231) 、聯鈞 (3450) 、華通 (2313) 、景碩 (3189) 等概念股皆遭空方襲擊而股價下挫，反之合勤控 (3704) 、啟碁 (6285) 可望受惠，則獲多方力挺而撐盤。
2019-05-16T06:04:00.000Z,從供應鏈來看，本土投顧及外資法人先前報告分析，台灣有不少廠商與華為有關，包括台積電 (2330) 、大立光 (3008) 、聯發科 (2454) 、日月光投控 (3711) 、鴻海集團 (2317) 、南亞科 (2408) 、欣興電子 (3037) 、景碩 (3189) 、旺宏 (2337) 、聯亞 (3081) 、晶技 (3042) 等。
2019-05-16T01:58:00.000Z,　但在美中貿易戰火升溫下，華為概念股近日來也成為法人倒貨的對象，景碩 （3189） 在5月三大法人大賣1.6萬張賣壓下，已吐回漲幅，今年以來由漲轉跌。
2019-05-17T04:51:00.000Z, 至於「華為手機概念」台股名單則有：晶技 (3042) 、嘉聯益 (6153) 、台光電 (2383) 、聯茂 (6213) 、台燿 (6274) 、群創 (3481) 、大立光 (3008) 、信驊科 (5274) 、璟德 (3152) 、敦泰 (3545) 、聯發科 (2454) 、聯詠 (3034) 、瑞昱 (2379) 、宏捷 (8086) 、環宇-KY (4991) 、台積電 (2330) 、穩懋 (3105) 、日月光投控 (3711) 、頎邦 (6147) 、京元電 (2449) 、大聯大 (3702) 、金像電 (2368) 、IET-KY (4971) 、聯亞 (3081) 、全新 (2455) 、雙鴻 (3324) 、奇鋐 (3017) 、超眾 (6230) 、景碩 (3189) 、健鼎 (3044) 、南電 (8046) 。
2019-05-17T04:36:00.000Z, 至於「華為手機概念」台股名單則有：晶技 (3042) 、嘉聯益 (6153) 、台光電 (2383) 、聯茂 (6213) 、台燿 (6274) 、群創 (3481) 、大立光 (3008) 、敦泰 (3545) 、聯發科 (2454) 、聯詠 (3034) 、瑞昱 (2379) 、台積電 (2330) 、日月光投控 (3711) 、京元電 (2449) 、大聯大 (3702) 、金像電 (2368) 、IET-KY (4971) 、聯亞 (3081) 、全新 (2455) 、雙鴻 (3324) 、奇鋐 (3017) 、超眾 (6230) 、景碩 (3189) 、健鼎 (3044) 、南電 (8046) 。
2019-05-18T04:33:00.000Z,展望台股下週重點，市場續聚焦華為概念股表現，外資法人報告點名華為供應鏈主要台廠包括台積電 (2330) 、大立光 (3008) 、聯發科 (2454) 、日月光投控 (3711) 、鴻海集團 (2317) 、精測 (6510) 、欣興電子 (3037) 、景碩 (3189) 、聯亞 (3081) 、晶技 (3042) 等。
2019-05-27T05:59:00.000Z,華為概念股相對弱勢，從供應鏈來看，本土投顧及外資法人先前報告分析，包括台積電 (2330) 、大立光 (3008) 、聯發科 (2454) 、日月光投控 (3711) 、鴻海集團 (2317) 、南亞科 (2408) 、欣興電子 (3037) 、景碩 (3189) 、旺宏 (2337) 、聯亞 (3081) 、晶技 (3042) 等，供應華為相關零組件產品。
2019-07-16T04:09:00.000Z,台積電法說會18日登場，其股價自8日起即持續向上墊高暖場，外資近3個交易日更積極回補買超25130張，連帶提振半導體族群士氣，今日包括富鼎 (8261) 、易華電 (6552) 、迅杰 (6243) 、同欣電 (6271) 、力成 (6239) 、南茂 (8150) 、矽創 (8016) 、景碩(9189)、茂矽 (2342) 等，皆各擁題材走揚同歡，推動半導體類指盤中達175.5點，登上近兩個月來高位，也支撐大盤今日守穩盤上。
2019-07-30T23:42:00.000Z,法人指出，台積電 (2330) 、仁寶 (2324) 、廣達 (2382) 、景碩 (3189) 、晶技 (3042) 與嘉聯益 (6153) 為Apple Watch供應商，今天股價表現將備受市場關注。
2019-07-30T23:42:00.000Z,法人指出，台積電 (2330) 、仁寶 (2324) 、廣達 (2382) 、景碩 (3189) 、晶技 (3042) 與嘉聯益 (6153) 為Apple Watch供應商，今天股價表現將備受市場關注。
2019-09-04T05:44:00.000Z,　以及半導體股為最大宗，包括台積電、聯電、旺宏、日月光投控、頎邦、京元電子、南茂、世界、南亞科、景碩、穩懋、聯發科、創意、環球晶、矽創、力成、立積、矽力-KY、譜瑞-KY、群聯、力旺、信驊、神盾、瑞昱、義隆、聯詠等。
2019-09-04T05:44:00.000Z,　以及半導體股為最大宗，包括台積電、聯電、旺宏、日月光投控、頎邦、京元電子、南茂、世界、南亞科、景碩、穩懋、聯發科、創意、環球晶、矽創、力成、立積、矽力-KY、譜瑞-KY、群聯、力旺、信驊、神盾、瑞昱、義隆、聯詠等。
2019-09-16T07:39:00.000Z, 今日集中市場十大漲幅個股為：原正二 (00715L) 漲14.37%、原油正 (00672L) 漲11.78%、台達化 (1309) 漲9.95%、吉祥全 (2491) 漲9.91%、楠梓電 (2316) 漲8.37%、中視 (9928) 漲8.30%、南電 (8046) 漲7.99%、台塑化 (6505) 漲7.44%、聖馬丁 (910482) 漲7.41%、景碩 (3189) 漲7.24%。
2019-09-16T07:39:00.000Z,景碩傳營運回春，且為蘋果耳機用SIP基板的最大供應商，加上股價處於相對低檔，今日成交量爆衝至2.7萬餘張，收45.2元。
2019-09-17T00:14:00.000Z,"　據統計，16日半導體股股價上漲，且法人近5個交易日買超500張以上的個股包括：台積電、南亞科、旺宏、世界、景碩、宏捷科、聯發科、日月光投控、漢磊、精材、立積、虹冠電等12檔，台積電獲法人近5日買超25,682張，另南亞科也獲買超逾1萬張，旺宏、世界及景碩等各獲法人買超6,000～8,000張以上。"
2019-10-17T07:17:02.000Z,然權值股台積電 (2330) 下午法說會登場，Q3獲利季增5成，每股盈餘衝新高，但在股價與市值屢創新高後，今日開低走低，收黑跌1.01%至193.5元，半導體類股指數收跌0.45%；而IC設計龍頭的聯發科 (2454) 5G實力護體，收漲3.06%至371元；京鼎 (3413) 本季營運拚今年高峰，尾盤成功收鎖133元漲停，法說24日登場的旺宏 (2337) 以及半導體個股的威盛 (2388) 、義隆 (2458) 、世芯-KY (3661) 、瑞昱 (2379) 、聯詠 (3034) 、盛群 (6202) 、景碩 (3189) 、祥碩 (5269) 等仍齊心上漲。
2019-10-17T07:17:00.000Z,然權值股台積電 (2330) 下午法說會登場，Q3獲利季增5成，每股盈餘衝新高，但在股價與市值屢創新高後，今日開低走低，收黑跌1.01%至193.5元，半導體類股指數收跌0.45%；而IC設計龍頭的聯發科 (2454) 5G實力護體，收漲3.06%至371元；京鼎 (3413) 本季營運拚今年高峰，尾盤成功收鎖133元漲停，法說24日登場的旺宏 (2337) 以及半導體個股的威盛 (2388) 、義隆 (2458) 、世芯-KY (3661) 、瑞昱 (2379) 、聯詠 (3034) 、盛群 (6202) 、景碩 (3189) 、祥碩 (5269) 等仍齊心上漲。
2019-11-19T07:03:05.000Z,"受惠周一美股走揚，台積電 (2330) ADR上漲0.24%，加上美系外資喊台股上看13,000點，開盤指數即拿下11600城池，蘋概三王台積電 (2330) 、鴻海 (2317) 、大立光 (3008) 堅守盤上坐鎮，其中台積電來到315元，突破本月6日所創311.5元，再創新高價，帶動盤面上集團股群起呼應，和碩集團中的景碩 (3189) Q4營運好轉，開高後衝漲逾5%，和碩力守高檔。"
2019-11-19T07:03:00.000Z,"受惠周一美股走揚，台積電 (2330) ADR上漲0.24%，加上美系外資喊台股上看13,000點，開盤指數即拿下11600城池，蘋概三王台積電 (2330) 、鴻海 (2317) 、大立光 (3008) 堅守盤上坐鎮，其中台積電來到315元，突破本月6日所創311.5元，再創新高價，帶動盤面上集團股群起呼應，和碩集團中的景碩 (3189) Q4營運好轉，開高後衝漲逾5%，和碩力守高檔。"
2019-11-19T06:55:46.000Z,美股昨夜小漲，台股受惠上市櫃營收穩健，加上外資看好有機會站上12000點，台股今日持續由蘋概三王坐鎮，泛鴻海族群助攻，指數多於高檔震盪，各大類股漲跌參半，尾盤買單拉抬鴻海 (2317) 、景碩 (3189) 、台積電 (2330) 、聯電 (2303) 、緯創 (3231) 、定穎 (6251) 等，其中權王台積電再度上演甩尾戲碼、股價飆上315元，續寫新天價，鴻海也攻抵92.8元，拉抬大盤最後再急漲22點，終場集中市場收11656.4點，漲56.62點，總成交值增至1211.96億元；店頭市場收143.78點，跌0.13點，總成交值300.66億元。
2019-11-19T06:55:46.000Z,"
盤面上，鴻海領軍，台郡 (6269) 、景碩及譜瑞-KY (4966) 等股紛紛跟上、創波段新高，終場漲幅在1.8%~3.6%之間；而鴻海在外資持續26日買超下，收盤股價來到92.8元，持續朝前波高點97.2元前進。"
2019-11-19T06:55:00.000Z,美股昨夜小漲，台股受惠上市櫃營收穩健，加上外資看好有機會站上12000點，台股今日持續由蘋概三王坐鎮，泛鴻海族群助攻，指數多於高檔震盪，各大類股漲跌參半，尾盤買單拉抬鴻海 (2317) 、景碩 (3189) 、台積電 (2330) 、聯電 (2303) 、緯創 (3231) 、定穎 (6251) 等，其中權王台積電再度上演甩尾戲碼、股價飆上315元，續寫新天價，鴻海也攻抵92.8元，拉抬大盤最後再急漲22點，終場集中市場收11656.4點，漲56.62點，總成交值增至1211.96億元；店頭市場收143.78點，跌0.13點，總成交值300.66億元。
2019-11-19T06:55:00.000Z, 盤面上，鴻海領軍，台郡 (6269) 、景碩及譜瑞-KY (4966) 等股紛紛跟上、創波段新高，終場漲幅在1.8%~3.6%之間；而鴻海在外資持續26日買超下，收盤股價來到92.8元，持續朝前波高點97.2元前進。
2019-11-19T02:36:53.000Z,集團股今日表現出色，和碩集團中的景碩 (3189) Q4營運好轉，開高後衝至53.1元，漲幅逾5%，和碩力守高檔。
2019-11-19T02:36:00.000Z,集團股今日表現出色，和碩集團中的景碩 (3189) Q4營運好轉，開高後衝至53.1元，漲幅逾5%，和碩力守高檔。
2019-11-19T02:21:07.000Z,"
4.景碩 (3189) ：三大法人連兩日買超計2576張，早盤爆量衝上53.1元、漲幅一度逾8%。"
