PublishDate,Sentence
2017-01-05T07:03:00.000Z,光電族群在股王大立光的帶領下表現不凡，類股漲幅居次；大陸三安光電將調漲部分晶片品項價格，激勵LED族群火熱，兆遠 (4944) 攻上漲停，尚志 (3579) 、晶電 (2448) 、東貝 (2499) 、聯茂 (6213) 也同步強漲。
2018-11-16T02:59:00.000Z,MOSFET族群的聯電 (2303) 、達能 (3686) 、尚志 (3579) 表現疲弱，股價下跌分別超過1%、2%、4%。
2018-12-13T07:13:00.000Z,今日外資(不含外資自營商)買超31.3579億元，投信賣超1.3324億元，自營商買超7.8695億元，三大法人買超37.89億元。
2018-12-13T05:03:00.000Z, 華碩去年就進行一次組織改革，今年又做第二次組織改革，希望能拉起營運表現，但第3季財報仍然未見起色，前三季稅後純益為70.5億元，年減39%，每股純益為9.5元，低於去年同期的15.48元，華碩1到11月營收為3579億元，年減9.8%，而華碩目標是年營收挑戰超過4000億元大關。
2018-12-14T07:18:00.000Z,國際情勢多空紛雜，美中貿易戰、華為事件餘波盪漾，令全球股市感到忐忑不安，台股受到大同集團利空消息轟炸，華映 (2475) 、大同 (2371) 與綠能 (3519) 、尚志 (3579) 、福華 (8085) 全數打落跌停，加上蘋概三雄台積電 (2330) 、大立光 (3008) 、鴻海 (2317) 同步熄火，華碩 (2357) 今年業績欠佳股價臉綠，衝擊指數盤中大跌近140點，回防9700點關卡，各類股一片綠油油，僅5G概念股與傳產中的水泥、玻璃股相對抗跌，終場加權指數下跌84.6點為9774.16點，失守9800點及月線關卡，成交值縮至955.49億元；周線收紅，本周上漲13.28點。
2018-12-14T07:18:00.000Z,　大同集團連環爆震憾台股，包括華映聲請重整、綠能債務協商，衝擊集團股華映 (2475) 、大同 (2371) 與綠能 (3519) 、尚志 (3579) 、福華 (8085) 全數跌停躺平，其餘精英 (2331) 、新美齊 (2442) 、大世科 (8099) 也一片青筍筍；而宣布出售旗下面板模組廠的面板廠凌巨 (8105) 則力甩悲情強拉漲停。
2018-12-14T07:12:00.000Z, 今日八大類股跌多漲少，盤面領跌題材股莫過於大同集團，旗下華映 (2475) 宣布申請重整，綠能 (3519) 亦向經濟部申請債權債務協商，衝擊整體家族股重挫，大同 (2371) 、華映、綠能、尚志 (3579) 、福華 (8085) 全數跌停，集體遭到空方轟炸；另外，被動元件指標股禾伸堂 (3026) 、國巨 (2327) 也重挫。
2018-12-17T07:09:00.000Z,市場仍聚焦驚爆財務危機的大同集團股表現，包括華映 (2475) 、綠能 (3519) 、福華 (8085) 及尚志 (3579) 等仍鎖跌停，惟指標股大同 (2371) 挾經營權爭奪戰題材呈現破底翻揚走勢，終場震盪收高近5%。
2019-03-21T07:05:00.000Z,大同 (2371) 集團旗下綠能 (3519) 去年淨值轉負數將下市，股價開盤即鎖死跌停，同集團的尚志 (3579) 也受累，每股淨值剩0.84元，該股價與華映 (2475) 雙雙鎖死跌停。
2019-03-28T06:59:00.000Z,大同 (2371) 去年大虧333億元，今股價仍力爭上游，收盤時跌幅收斂，子公司繼綠能 (3519) 之後華映 (2475) 也估將於5月8日下市，上述兩檔與尚志 (3579) 開盤即躺平打入跌停。
2019-03-28T06:45:00.000Z, 今日盤面多空消息分歧，汽車股受惠於中華車減資六成，退還股東83.04億元現金，股利加上現金減資返還，殖利率高達27%，股價跳空漲停，帶動母公司裕隆 (2201) 跟進漲約6%，裕日車 (2227) 、三陽 (2206) 都均逆勢走揚，汽車類為盤面重要多方指標；另外，大同 (2371) 集團因為旗下綠能、華映連續宣布因每股淨值轉負將下市，大同認列兩家公司虧損合計達99億元，使得去年每股虧損4.75元，今股價一度重挫逾6%，惟終場跌幅收斂到近0.5%，只是旗下華映 (2475) 、綠能 (3519) 、尚志 (3579) 則是難逃跌停命運。
2019-04-02T06:58:00.000Z,不過地雷區不平靜，市場點名尚志恐是大同集團下個被迫下市的地雷，集團中的華映、尚志、綠能跌停，大同 (2371) 股價則再創今年新低價，持續壓在5日線之下。
2019-04-02T02:24:00.000Z, 18.尚志 (3579) ：大同風波，去年每股淨損17.52元，負債比高達116.8%，股價連日重挫，連9根跌停、再摔低價。
2019-03-28T06:59:00.000Z,大同 (2371) 去年大虧333億元，今股價仍力爭上游，收盤時跌幅收斂，子公司繼綠能 (3519) 之後華映 (2475) 也估將於5月8日下市，上述兩檔與尚志 (3579) 開盤即躺平打入跌停。
2019-03-28T06:45:00.000Z, 今日盤面多空消息分歧，汽車股受惠於中華車減資六成，退還股東83.04億元現金，股利加上現金減資返還，殖利率高達27%，股價跳空漲停，帶動母公司裕隆 (2201) 跟進漲約6%，裕日車 (2227) 、三陽 (2206) 都均逆勢走揚，汽車類為盤面重要多方指標；另外，大同 (2371) 集團因為旗下綠能、華映連續宣布因每股淨值轉負將下市，大同認列兩家公司虧損合計達99億元，使得去年每股虧損4.75元，今股價一度重挫逾6%，惟終場跌幅收斂到近0.5%，只是旗下華映 (2475) 、綠能 (3519) 、尚志 (3579) 則是難逃跌停命運。
2019-04-02T06:58:00.000Z,不過地雷區不平靜，市場點名尚志恐是大同集團下個被迫下市的地雷，集團中的華映、尚志、綠能跌停，大同 (2371) 股價則再創今年新低價，持續壓在5日線之下。
2019-04-02T02:24:00.000Z, 18.尚志 (3579) ：大同風波，去年每股淨損17.52元，負債比高達116.8%，股價連日重挫，連9根跌停、再摔低價。
