PublishDate,Sentence
2017-04-10T07:01:00.000Z,今日外資賣超11.3592億元，投信賣超4.0146億元，自營商買超7.726億元，三大法人賣超7.64億元。
2017-04-10T07:01:00.000Z,　今日外資賣超11.3592億元，5日RSI為51.23，10日RSI為54.76，9日K值為57.37，9日D值為56.38，20日乖離率為0.29。
2019-04-12T04:24:00.000Z,回顧2018年台灣IC設計業表現，產值創新高逾新台幣6200億元，前十大業者中，聯發科 (2454) 、聯詠 (3034) 、瑞昱 (2379) 、奇景、創意 (3443) 、瑞鼎 (3592) 等公司營收皆有不錯表現，DIGITIMES Research分析師柴煥欣表示，2019年台灣IC設計產值可望續揚，然其中最大應用智慧型手機市場出貨量恐不易回升，反觀面板驅動IC及AI、5G等新應用將相對具成長性。
2019-04-12T04:24:00.000Z, IC設計龍頭廠聯發科致力於改善產品結構及穩定和大陸客戶合作關係，2018年營收止跌回穩，而第二大業者包括聯詠及奇景、瑞鼎等面板驅動IC設計公司受惠於電視用面板朝UHD(4K)解析度發展，營收均較2017年成長，其他如第三大業者網通IC設計公司瑞昱、IC後端設計代工服務公司創意營收成長率也都在1成上下。
2019-08-16T06:27:00.000Z, 熱門題材股方面，PCB族群中華通 (2313) 上漲約2.5%，5G題材股中，合勤控 (3704) 今歡慶30周年，力拚轉型成效未來1~2年浮現，今股價上揚逾2%，IC設計族群今也強勢點火，智原 (3035) 獲外資連2日低點進場，午盤後維持漲幅逾2%，力旺 (3592) 更是大漲4%，致新 (8081) 第三季三大產品線樂觀，股價最高達118元，創下逾5年新高；同欣電 (6271) 也在第三季旺季可期帶動下，大漲逾6%。
2021-04-06T01:30:51.000Z,采鈺今天以每股240元認購價登錄興櫃交易，股價表現強勁，一度達566元，一舉超越綠界 (6763) 與瑞鼎 (3592) ，登上興櫃股王寶座。
2021-04-06T23:44:50.000Z,認購每張大賺逾30萬元采鈺6日以每股240元認購價登錄興櫃，在台積電富爸爸庇蔭下，以「初生之犢不畏虎」之姿，一開盤就以368元開出，之後股價隨後一路狂飆，盤中最高價更衝上566元，每張認購人帳上大賺逾30萬元，並一舉超越興櫃「400元俱樂部」的綠界科技、瑞鼎，坐上興櫃股王寶座。
2021-04-06T23:44:50.000Z,不過，采鈺去年每股盈餘（EPS）僅7.18元，股價6日卻擠下去年EPS分別為14.11元、13.12元的綠界科技及瑞鼎，市場關注其後續是否真能站穩股王寶座。
2021-04-08T23:47:53.000Z,繼台積電旗下小金雞采鈺甫登錄興櫃，隨即搶下興櫃股王頭銜後，興櫃股后面板驅動IC廠瑞鼎8日股價展開「絕地大反攻」，單日大漲8.84％，最高價衝上490元；第三方支付龍頭綠界科技亦勁揚7.5％，均價達442.92元，並雙創掛牌後歷史新高價位，興櫃「股王爭霸戰」戰況火熱。
2021-04-08T23:47:53.000Z,采鈺6日掛牌興櫃，在台積電「金字招牌」下，一舉擠下瑞鼎，勇奪興櫃股王，成「500元俱樂部」唯一成員，8日均價為505.67元。
2021-04-08T23:47:53.000Z,不過，股后瑞鼎股價也不甘示弱，8日盤中股價衝刺，進逼「500元大關」，較前日均價大增63.97元，股價再創新高、成交量亦創近一個月來新大量；另一方面，股價6日曾一度超車瑞鼎的綠界科技，亦吹起反攻號角，單日勁揚7.5％，均價達442.92元，加上圓點奈米、富世達等緊追在後，興櫃股王之爭煙硝味濃。
2021-04-08T23:47:53.000Z,瑞鼎長久來皆為興櫃營收資優生，隨8吋晶圓代工價格飆上一千美元新天價，市場樂觀預期，驅動晶片有望再啟動新一輪漲價，帶動3月營收19.11億元，月增25.74％、年增66.65％，繳出雙率雙升成績；累計前三月營收達52.06億元，年增57.5％，去年每股盈餘（EPS）13.12元，創十年新高。
2021-06-24T02:18:48.000Z,共同投入此計畫的SEMI會員企業包含世界先進、漢民科技、家登、瑞鼎、高信、友上、台灣富士金閥門、光洋、喬越、穎崴、濾能、永光化學等。
2021-06-24T02:18:48.000Z,」瑞鼎董事長黃裕國表示：「有感於防疫需有長期抗疫的準備，響應SEMI與台積電慈善基金會號召『零接觸採檢站』捐贈計畫，力挺前線醫療人員，為防疫盡份心力。
2021-06-25T00:24:07.000Z,共同投入此計畫的SEMI會員企業包含世界先進、漢民科技、家登、瑞鼎、高信工程、友上科技、台灣富士金閥門、光洋科、喬越、穎崴、濾能、永光化學等。
2021-12-14T23:46:02.000Z,8.友達與佳世達轉投資的顯示器驅動IC廠瑞鼎（3592）擬於17日起辦理IPO競拍、27日起公開申購，競拍底價與承銷價分別訂為275元與308元，與14日興櫃均價558.81元相較，抽中一張價差高達25萬，有望挑戰今年興櫃股掛牌最大價差。
