PublishDate,Sentence
2018-07-20T02:03:00.000Z,  15.昇陽半導體 (8028) ：外資連兩日買超，吸引追價買盤湧入，帶動股價漲逾5%。
2018-11-21T07:13:00.000Z,功率半導體給力，嘉晶 (3016) 、昇陽半 (8028) 齊步高鎖漲停，半導體的南亞科 (2408) 也因庫藏股撐盤，翻紅穩於月線上。
2018-11-22T07:21:00.000Z,漲價概念股的漢磊 (3707) 、嘉晶 (3016) 仍有撐盤，昇陽半 (8028) 、富鼎 (8261) 以及被動元件的國巨 (2327) 、華新科 (2492) 股價則疲弱無力上揚。
2019-03-28T06:59:00.000Z,而受到英飛凌無預警下修財測，台廠半導體供應鏈恐受波及，權王台積電 (2330) 相對有撐，收漲0.21%至242元，然昇陽半 (8028) 、日月光 (2311) 、京元電 (2449) 則疲憊無力，收在平盤之下。
2019-03-28T06:59:00.000Z,而受到英飛凌無預警下修財測，台廠半導體供應鏈恐受波及，權王台積電 (2330) 相對有撐，收漲0.21%至242元，然昇陽半 (8028) 、日月光 (2311) 、京元電 (2449) 則疲憊無力，收在平盤之下。
2019-04-20T02:52:00.000Z,　　篩選今年第一季淡季時刻，營收仍較去年第四季逆勢走高者，顯示營運漸入佳境，搭配法人買盤進駐，且搶搭上基本面抬頭列車的優質股，可望力抗5月繳稅旺季賣壓，包括彩晶、廣明、康舒、聯茂、雙鴻、昇達科、合庫金、神盾、瑞昱、台灣高鐵、台橡、聚陽、技嘉、昇陽半導體、敦陽科等15檔強勢股。
2019-07-19T07:11:00.000Z, 台股今天呈現雙主流表現，第一個是半導體股，由於台積電 (2330) 昨日法說會釋出5G加速發展，里昂證券目標價一舉拉高到325元，加上台積電資本支出加碼，今年估逾110億美元創新高，使得半導體設備商也水漲船高，終場，台積電收漲1.97%，站上259元，穩懋 (3105) 、立積 (4968) 、聯詠 (3034) 、昇陽半導體 (8028) 、日月光投控 (3711) 和精材 (3374) 都放量大漲。
2019-07-19T02:13:00.000Z,其餘台積電合作的廠務系統廠帆宣 (6196) 、設備廠京鼎 (3413) 與再生晶圓廠昇陽半導體 (8028) 等股價也都有不錯表現；其中，昇陽半導體股價甚至一度強攻漲停，達60.1元，創上市來新高價。
2019-07-20T07:41:00.000Z,台積電 （2330） 對下半年營運看法樂觀，將提升資本支出衝刺7奈米及5奈米等先進製程，市場看好再生晶圓及晶圓薄化廠昇陽半 （8028） 受惠，特別是昇陽半再生晶圓出貨可望在下半年進入旺季，營收將逐季再創新高。
2019-07-22T07:22:00.000Z,集中市場今日在權值三帥台積電 (2330) 、鴻海 (2317) 、大立光 (3008) 攜手走多，加上創意 (3443) 、昇陽半導體 (8028) 、聯茂 (6213) 、智易 (3596) 聯袂攻頂，南亞科 (2408) 、台光電 (2383) 、旺宏 (2317) 、立積 (4968) 、超眾 (6230) 等電子族群及玉山金 (2884) 等金融股強漲助陣之下，大盤指數盤中最高衝上10949.76點，終場收10944.53點，上漲71.34點，惟總成交值縮減至1172.75億元。
2019-07-24T07:08:00.000Z,台股萬一關卡近關情怯，在台積電 (2330) 後繼無力，以及近期強勢的記憶體族群南亞科 (2408) 、旺宏 (2337) 、華邦電 (2344) 拉回整理，傳產股中的水泥、油電、航運、塑膠、貿易類也全數走疲，拖累指數開高走低，陷入10900點保衛戰，盤面上以矽晶圓族群的嘉晶 (3016) 、台勝科 (3532) 、昇陽半 (8028) 、環球晶 (6488) 以及IC族群中的智原 (3035) 、力成 (6239) 、致茂 (2360) 等表現相對吸睛，終場加權股價指數下跌11.5點為10935.76點，成交值為1319.01億元。
2019-07-24T07:08:00.000Z,漢磊 (3707) 及嘉晶 (3016) 母子檔在5G題材點火下雙雙亮燈漲停，激勵矽晶圓族群台勝科 (3532) 、昇陽半 (8028) 、環球晶 (6488) 漲聲響起。
2019-08-06T07:08:00.000Z, 另一個焦點是「中國去美化」商機，中美貿易戰殺到失控，更堅定中國去美國化決心，台企因此擁有轉單效應，在7月財報上也多有亮麗表現，主流股有穩懋 (3105) 、鈊象 (3293) 、雙鴻 (3324) 、立積 (4968) 、昇陽半 (8028) 、全新 (2455) 、泰鼎-KY (4927) ，收盤漲幅均逾5%。
