PublishDate,Sentence
2017-06-06T06:58:00.000Z,終場台股下跌20.66點，為10206.18點；今日外資買超6.5101億元，投信賣超3.8131億元，自營商賣超10.8742億元，三大法人賣超8.17億元。
2017-06-06T06:58:00.000Z,  今日外資買超6.5101億元，投信賣超3.8131億元，自營商賣超10.8742億元，三大法人賣超8.17億元；台股5日RSI為73.95，10日RSI為70.80，9日K值為93.32，9日D值為88.75，20日乖離率為1.55。
2019-03-13T23:43:00.000Z,　13日台股熱門的半導體股還有矽創、威盛、聯發科、力成、穩懋、聯詠、義隆、福懋科、晶宏、易華電、神盾等。
2019-08-26T02:13:04.000Z,1.福懋科 (8131) ：貿易戰升溫，轉單效益具想像空間，今早不理外資持續賣超，股價強勢逆漲逾1.5%。
2019-08-26T02:13:00.000Z,1.福懋科 (8131) ：貿易戰升溫，轉單效益具想像空間，今早不理外資持續賣超，股價強勢逆漲逾1.5%。
2019-12-16T09:14:29.000Z,"
2.福懋科 (8131) ：每股成交價35.65元，成交量7075萬6000股，成交金額25億2245萬1400元。"
2019-12-16T02:05:00.000Z,1.南亞科 (2408) ：擬投20億元躍居福懋科最大股東，早盤股價開高走高逾3%反應，突破80元關卡。
2020-02-11T06:54:07.000Z,此外，盤面上1月績優生台積電、世芯-KY (3661) 、福懋科 (8131) 、精材 (3374) 、瑞耘 (6532) 、網家 (8044) 等多檔爆量飆漲停，也成為盤面吸金焦點。
2020-02-11T06:54:00.000Z,此外，盤面上1月績優生台積電、世芯-KY (3661) 、福懋科 (8131) 、精材 (3374) 、瑞耘 (6532) 、網家 (8044) 等多檔爆量飆漲停，也成為盤面吸金焦點。
2020-02-14T02:01:00.000Z,  3.福懋科 (8131) ：1月營收續創新高，月增0.08%、年增22.58%，昨外資買超133張，帶動早盤股價收復40關，漲近2%。
2020-03-02T02:23:09.000Z,"
3.福懋科 (8131) ：擬配息2.2元，殖息率達5.37％，早盤股價開低走高，表現抗跌。"
2020-03-02T02:23:00.000Z,  3.福懋科 (8131) ：擬配息2.2元，殖息率達5.37％，早盤股價開低走高，表現抗跌。
2020-03-02T02:23:09.000Z,"
3.福懋科 (8131) ：擬配息2.2元，殖息率達5.37％，早盤股價開低走高，表現抗跌。"
2020-03-02T02:23:00.000Z,  3.福懋科 (8131) ：擬配息2.2元，殖息率達5.37％，早盤股價開低走高，表現抗跌。
