PublishDate,Sentence,Score
2018-05-09T02:26:00.000Z,台積電 （2330） 轉投資封測廠精材 （3374） 受淡季需求轉淡影響，2018年首季營運再度轉虧，稅後虧損1.71億元、每股虧損0.63元。,-2
2018-05-09T02:26:00.000Z,  精材今日股價開低，最低下跌1.63％至60.4元，惟隨後在買盤敲進下由黑翻紅，早盤最高上漲3.58％至63.6元，位居封測族群漲勢前段班。,1
2018-05-09T02:26:00.000Z,觀察法人動態，三大法人上周買超精材1435張，本周則轉戰空方、合計賣超594張。,0
2018-05-09T02:26:00.000Z,  精材2018年首季營收10.47億元，雖季減35.33％、仍年增39.53％。,0
2018-05-09T02:26:00.000Z,  精材首季受匯損影響，業外虧損0.11億元，年增幅度18.47％、但季減30.43％。,0
2018-05-09T02:26:00.000Z,  精材董事長陳家湘2月法說會時指出，由於市場需求出現消退、且疲軟趨勢估將持續，對精材首季及上半年營運釋出保守展望，預期精材首季營收將較去年第四季顯著下滑，且第二季將下滑至谷底。,0
2018-05-09T02:26:00.000Z,  陳家湘表示，精材今年將嚴控資本支出、在既有設備下持續開發新利基利用，改善成本結構，包括積極開發12吋晶圓級尺寸封裝（CSP）新客戶，致力提升既有產線稼動率。,4
2018-05-09T02:26:00.000Z,  陳家湘指出，IR影像感測及相關光學組件新應用，將是精材CSP封裝服務成長新動能，包括紅外線影像感測封裝，預期將是未來2～3年重要成長契機。,3
2018-05-09T02:26:00.000Z,而功率元件的後護層（PPI）技術服務去年暢旺，精材營運因此受惠，今年預期仍有機會成長。,4
2018-05-21T02:29:00.000Z,  6.精材 (3374) ：3D感測題材回溫+外資連兩日小幅買超，早盤挾量衝上68.5元、漲幅逾8%。,5
2018-05-31T04:40:00.000Z,台積電 （2330） 轉投資封測廠精材 （3374） 今（31）日召開股東常會，通過2017年財報及虧損撥補案。,1
2018-05-31T04:40:00.000Z,展望後市，董事長陳家湘維持第二季營運落底、下半年回溫預期不變，法人則預期精材下半年有望挑戰單季轉盈，全年表現將優於去年，能否轉盈則需觀察回溫動能。,4
2018-05-31T04:40:00.000Z,  精材2017年合併營收40.78億元，年增4.02％，毛利率負8.57％、營益率負17.64％，前年為負7.62％、負18.2％。,1
2018-05-31T04:40:00.000Z,  精材受淡季需求轉淡影響，2018年首季再度轉虧，稅後虧損1.71億元、每股虧損0.63元。,-3
2018-05-31T04:40:00.000Z,  法人指出，精材去年8吋車用WLCSP訂單需求不佳，今年已見回溫，預期全年車用需求可望回升至2016年水準。,1
2018-05-31T04:40:00.000Z,台積電 （2330） 轉投資封測廠精材 （3374） 今（31）日召開股東常會，通過2017年財報及虧損撥補案。,1
2018-05-31T04:40:00.000Z,展望後市，董事長陳家湘維持第二季營運落底、下半年回溫預期不變，法人則預期精材下半年有望挑戰單季轉盈，全年表現將優於去年，能否轉盈則需觀察回溫動能。,4
2018-05-31T04:40:00.000Z,  精材2017年合併營收40.78億元，年增4.02％，毛利率負8.57％、營益率負17.64％，前年為負7.62％、負18.2％。,1
2018-05-31T04:40:00.000Z,  精材受淡季需求轉淡影響，2018年首季再度轉虧，稅後虧損1.71億元、每股虧損0.63元。,-3
2018-05-31T04:40:00.000Z,  法人指出，精材去年8吋車用WLCSP訂單需求不佳，今年已見回溫，預期全年車用需求可望回升至2016年水準。,1
