PublishDate,Sentence,Score
2018-12-01T01:54:00.000Z,（中央社記者張建中新竹2018年12月1日電）台積電 (2330) 與譜瑞-KY (4966) 第4季受惠蘋果(Apple)訂單挹注，季營收可望同創歷史新高，只是兩家公司明年第1季營運恐將同步下滑，季減幅度都將有2位數百分點水準。,0
2018-12-01T01:54:00.000Z,高速傳輸介面晶片廠譜瑞-KY則是蘋果平板電腦iPad Pro的時脈控制器供應商，受惠蘋果推出新款平板電腦與筆記型電腦，譜瑞-KY第4季營收可望攀高到9400萬至1.04億美元，將季增10%至22%，並改寫歷史新高紀錄。,5
2018-12-01T01:54:00.000Z,台積電與譜瑞-KY在蘋果訂單挹注下，第4季營運表現都將優於同業，只是在業績基期墊高，明年第1季在蘋果訂單恐將減少，加上時序步入傳統淡季，兩家公司營運都將面臨下滑壓力。,0
2018-12-01T01:54:00.000Z,法人也普遍預期，譜瑞-KY明年第1季業績可能季減2位數百分點水準。,-1
2018-12-01T01:54:00.000Z,台積電與譜瑞-KY明年第1季營運雖同步面臨修正壓力，不過，法人仍對兩家公司明年整體營運展望樂觀，看好台積電在超微(AMD)與高通(Qualcomm)7奈米訂單挹注下，明年業績可望維持成長趨勢，將續創歷史新高。,6
2018-12-01T01:54:00.000Z,譜瑞-KY可望受惠高速傳輸發展趨勢，包括PCIe與Type C等高速傳輸晶片出貨將可同步成長，其餘時脈控制器與面板驅動及觸控整合單晶片(TDDI)也都是譜瑞-KY營運成長動能。,3
2018-12-01T01:54:00.000Z,（中央社記者張建中新竹2018年12月1日電）台積電 (2330) 與譜瑞-KY (4966) 第4季受惠蘋果(Apple)訂單挹注，季營收可望同創歷史新高，只是兩家公司明年第1季營運恐將同步下滑，季減幅度都將有2位數百分點水準。,0
2018-12-01T01:54:00.000Z,高速傳輸介面晶片廠譜瑞-KY則是蘋果平板電腦iPad Pro的時脈控制器供應商，受惠蘋果推出新款平板電腦與筆記型電腦，譜瑞-KY第4季營收可望攀高到9400萬至1.04億美元，將季增10%至22%，並改寫歷史新高紀錄。,5
2018-12-01T01:54:00.000Z,台積電與譜瑞-KY在蘋果訂單挹注下，第4季營運表現都將優於同業，只是在業績基期墊高，明年第1季在蘋果訂單恐將減少，加上時序步入傳統淡季，兩家公司營運都將面臨下滑壓力。,0
2018-12-01T01:54:00.000Z,法人也普遍預期，譜瑞-KY明年第1季業績可能季減2位數百分點水準。,-1
2018-12-01T01:54:00.000Z,台積電與譜瑞-KY明年第1季營運雖同步面臨修正壓力，不過，法人仍對兩家公司明年整體營運展望樂觀，看好台積電在超微(AMD)與高通(Qualcomm)7奈米訂單挹注下，明年業績可望維持成長趨勢，將續創歷史新高。,6
2018-12-01T01:54:00.000Z,譜瑞-KY可望受惠高速傳輸發展趨勢，包括PCIe與Type C等高速傳輸晶片出貨將可同步成長，其餘時脈控制器與面板驅動及觸控整合單晶片(TDDI)也都是譜瑞-KY營運成長動能。,3
